/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,16.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.121417
1;SP GFLOPS;2.061502
1;DP GFLOPS;0.175390
1;x87 GFLOPS;0.0
1;IPC;1.224929
1;Average CPU Frequency;3053822153.108818
1;Total Thread Count;
1;CPU Time;1.860129
0;Effective Physical Core Utilization;0.7% (0.471 out of 64)
1;Effective Logical Core Utilization;0.4% (0.451 out of 128)
0;Memory Bound;24.7
1;Cache Bound;20.8
1;DRAM Bound;3.8
1;NUMA: % of Remote Accesses;4.8
0;Vectorization;72.5
1;Instruction Mix;
2;SP FLOPs;7.5
3;Packed;92.9
4;128-bit;0.0
4;256-bit;20.4
4;512-bit;72.4
3;Scalar;7.1
2;DP FLOPs;3.2
3;Packed;24.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;24.1
3;Scalar;75.9
2;x87 FLOPs;0.0
2;Non-FP;89.4
1;FP Arith/Mem Rd Instr. Ratio;0.411280
1;FP Arith/Mem Wr Instr. Ratio;0.938869
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;9
1;Computer Name;instance-20220601-1914
1;Result Size;3286205
1;Collection start time;17:50:42 01/06/2022 UTC
1;Collection stop time;17:50:46 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979086
2;Logical CPU Count;128
