Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_size,MPI_Init,MPI_Comm_dup,MPI_Comm_rank,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Irecv,MPI_Cart_shift,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.chain-long,9.05,7.28,8.11,1.08,1.7,0.73,5.66,13.47,9.7,2.3,0.0,0.0,0.0,0.08,24.76,0.0,44.33,0.0,0.0,0.0,0.0,4.53,0.73,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.01,4.0,32.0
in.chain-long,27.16,17.91,23.51,1.97,3.96,0.94,20.27,8.71,3.91,1.95,0.0,0.0,0.0,0.06,14.65,0.0,67.94,0.0,0.0,0.0,0.0,2.3,0.43,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,8.0,32.0
in.chain-long,37.93,28.29,32.1,3.38,5.32,1.9,33.94,12.48,3.53,2.42,0.0,0.0,0.0,0.1,13.93,0.0,64.64,0.0,0.0,0.0,0.0,2.29,0.5,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.03,16.0,32.0
in.chain-long,57.44,46.98,50.47,4.99,7.03,3.73,86.42,14.74,2.36,2.03,0.0,0.0,0.0,0.15,16.86,0.0,61.53,0.0,0.0,0.0,0.0,1.77,0.44,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.06,32.0,32.0
in.chain-long,78.86,68.63,71.16,2.55,3.73,1.5,224.59,7.61,1.43,0.84,0.0,0.0,0.0,0.22,9.22,0.0,78.38,0.0,0.0,0.0,0.0,1.44,0.37,0.0,0.0,0.0,0.0,0.02,0.06,0.26,0.15,64.0,32.0
in.chain-long,4.19,2.36,3.14,0.78,1.25,0.57,17.86,19.51,10.08,0.8,0.0,0.0,0.0,0.04,28.45,0.0,13.38,0.0,0.0,0.0,0.0,27.33,0.34,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.03,4.0,256.0
in.chain-long,6.3,3.7,5.48,1.09,1.48,0.15,31.29,20.93,8.1,1.05,0.0,0.0,0.0,0.05,24.65,0.0,23.43,0.0,0.0,0.0,0.0,21.27,0.46,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,8.0,256.0
in.chain-long,10.12,7.86,8.84,1.64,2.36,0.79,52.96,20.66,6.8,1.58,0.0,0.0,0.0,0.07,22.23,0.0,37.21,0.0,0.0,0.0,0.0,10.89,0.48,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.04,16.0,256.0
in.chain-long,19.18,14.05,16.05,1.53,3.11,0.57,107.59,16.39,4.78,1.75,0.0,0.0,0.0,0.11,21.47,0.0,50.46,0.0,0.0,0.0,0.0,4.47,0.43,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.08,32.0,256.0
in.chain-long,39.17,31.72,34.79,3.82,5.53,2.39,331.99,16.54,3.28,0.35,0.0,0.0,0.0,0.21,24.39,0.0,51.26,0.0,0.0,0.0,0.0,2.96,0.32,0.0,0.0,0.0,0.0,0.01,0.07,0.35,0.25,64.0,256.0
in.chain-long,3.76,2.16,3.06,1.84,2.41,1.15,67.93,21.05,7.35,0.21,0.0,0.0,0.0,0.01,15.97,0.0,5.3,0.0,0.0,0.0,0.0,49.87,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,4.0,864.0
in.chain-long,5.1,2.91,4.61,2.33,2.66,1.04,99.55,23.42,5.9,0.41,0.0,0.0,0.0,0.01,18.03,0.0,5.61,0.0,0.0,0.0,0.0,46.27,0.31,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,8.0,864.0
in.chain-long,7.2,5.37,6.3,1.81,2.34,1.27,142.32,21.5,6.61,0.56,0.0,0.0,0.0,0.03,25.11,0.0,12.98,0.0,0.0,0.0,0.0,32.75,0.41,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,16.0,864.0
