Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Irecv,MPI_Bcast,MPI_Reduce,MPI_Cart_get,MPI_Scan,MPI_Finalize,MPI_Wait,MPI_Comm_free,MPI_Init,MPI_Barrier,MPI_Allreduce,MPI_Cart_create,MPI_Type_size,MPI_Comm_size,MPI_Send,MPI_Sendrecv,MPI_Cart_shift,MPI_Comm_rank,MPI_Cart_rank,Processes,Size
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.01,0.7,0.0,0.0,0.0,4.11,20.8,0.0,69.5,0.04,0.39,0.02,0.0,0.0,3.32,1.11,0.0,0.0,0.0,2.0,32.0
in.lj,84.66,55.38,72.18,18.24,29.0,2.45,2.13,0.02,1.96,0.0,0.0,0.01,1.05,27.59,0.0,65.96,0.01,0.45,0.04,0.0,0.0,0.59,2.33,0.0,0.0,0.0,4.0,32.0
in.lj,93.79,79.96,88.35,9.6,13.59,0.98,6.15,0.02,2.37,0.0,0.0,0.01,2.25,9.12,0.0,83.73,0.01,1.23,0.03,0.0,0.0,0.57,0.65,0.0,0.0,0.0,8.0,32.0
in.lj,97.74,95.61,96.15,5.07,6.78,0.44,20.39,0.01,1.41,0.0,0.0,0.01,0.21,5.23,0.0,92.72,0.01,0.1,0.05,0.0,0.0,0.22,0.03,0.0,0.0,0.0,16.0,32.0
in.lj,99.36,96.6,98.27,3.47,4.31,0.67,54.56,0.01,1.39,0.0,0.0,0.01,0.26,2.46,0.0,94.79,0.01,0.06,0.27,0.0,0.0,0.2,0.55,0.0,0.0,0.0,32.0,32.0
in.lj,99.73,97.66,99.16,1.74,2.47,0.04,152.21,0.01,0.72,0.0,0.0,0.01,0.32,1.02,0.0,97.14,0.01,0.62,0.04,0.0,0.0,0.09,0.03,0.0,0.0,0.0,64.0,32.0
in.lj,60.11,9.43,36.54,20.87,38.83,0.21,3.58,0.01,0.1,0.0,0.0,0.0,0.05,56.25,0.0,38.58,0.02,1.37,0.01,0.0,0.0,1.33,2.27,0.0,0.0,0.0,2.0,256.0
in.lj,61.29,35.1,51.56,28.37,39.45,3.55,5.98,0.02,0.83,0.01,0.0,0.0,0.1,57.61,0.0,30.7,0.01,1.92,0.02,0.0,0.0,8.33,0.45,0.0,0.0,0.0,4.0,256.0
in.lj,74.96,38.06,63.24,26.06,32.76,2.78,9.9,0.02,2.17,0.0,0.0,0.0,0.16,42.83,0.0,53.17,0.01,0.39,0.01,0.0,0.0,0.88,0.34,0.0,0.0,0.0,8.0,256.0
in.lj,82.05,80.32,80.99,17.47,20.88,0.34,23.85,0.02,2.62,0.0,0.0,0.01,0.18,20.27,0.0,74.63,0.01,1.74,0.04,0.0,0.0,0.45,0.04,0.0,0.0,0.0,16.0,256.0
in.lj,95.92,84.5,91.39,9.54,10.86,0.6,61.14,0.01,1.65,0.0,0.0,0.01,0.23,9.28,0.0,87.32,0.01,0.82,0.03,0.0,0.0,0.24,0.4,0.0,0.0,0.0,32.0,256.0
in.lj,98.68,93.98,96.57,4.32,5.0,0.09,159.4,0.01,0.78,0.01,0.0,0.01,0.32,4.44,0.0,93.73,0.01,0.46,0.03,0.0,0.0,0.16,0.05,0.0,0.0,0.0,64.0,256.0
