Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj,32,2,Pair,0.25846,0.32855,0.39865,12.2,55.25
in.lj,32,2,Neigh,0.02429,0.029763,0.035235,3.2,5.01
in.lj,32,2,Comm,0.14752,0.22207,0.29663,15.8,37.35
in.lj,32,2,Output,5.673e-05,5.7401e-05,5.8073e-05,0.0,0.01
in.lj,32,2,Modify,0.010226,0.010979,0.011732,0.7,1.85
in.lj,32,2,Other,,0.003194,,,0.54
in.lj,32,4,Pair,0.12927,0.15538,0.23,10.9,47.91
in.lj,32,4,Neigh,0.010023,0.012042,0.012899,1.1,3.71
in.lj,32,4,Comm,0.078135,0.14997,0.17538,10.7,46.24
in.lj,32,4,Output,3.3561e-05,4.0486e-05,4.877e-05,0.0,0.01
in.lj,32,4,Modify,0.0048491,0.0054714,0.0058511,0.5,1.69
in.lj,32,4,Other,,0.001419,,,0.44
in.lj,32,8,Pair,0.063314,0.068816,0.10071,4.6,45.59
in.lj,32,8,Neigh,0.0053446,0.0064132,0.0067445,0.5,4.25
in.lj,32,8,Comm,0.041807,0.072123,0.077485,4.3,47.78
in.lj,32,8,Output,2.5854e-05,2.7509e-05,3.302e-05,0.0,0.02
in.lj,32,8,Modify,0.0024631,0.0028684,0.0030159,0.3,1.90
in.lj,32,8,Other,,0.000685,,,0.45
in.lj,32,16,Pair,0.02525,0.032034,0.035153,1.3,29.55
in.lj,32,16,Neigh,0.0026931,0.0034599,0.0038663,0.4,3.19
in.lj,32,16,Comm,0.067605,0.070884,0.078808,1.0,65.39
in.lj,32,16,Output,3.0731e-05,3.3677e-05,3.8418e-05,0.0,0.03
in.lj,32,16,Modify,0.0012802,0.0015763,0.0016933,0.3,1.45
in.lj,32,16,Other,,0.0004162,,,0.38
in.lj,32,32,Pair,0.013355,0.016475,0.019808,1.0,21.96
in.lj,32,32,Neigh,0.0014964,0.0018729,0.002087,0.3,2.50
in.lj,32,32,Comm,0.052004,0.055518,0.059174,0.6,73.99
in.lj,32,32,Output,2.548e-05,3.753e-05,8.5067e-05,0.0,0.05
in.lj,32,32,Modify,0.00070125,0.00088368,0.0010555,0.0,1.18
in.lj,32,32,Other,,0.0002424,,,0.32
in.lj,32,64,Pair,0.0070966,0.0086793,0.011246,1.0,22.84
in.lj,32,64,Neigh,0.00087891,0.0010781,0.0014882,0.4,2.84
in.lj,32,64,Comm,0.024335,0.027509,0.02932,0.7,72.38
in.lj,32,64,Output,2.6702e-05,3.1398e-05,3.6018e-05,0.0,0.08
in.lj,32,64,Modify,0.00046654,0.00054925,0.00073422,0.0,1.45
in.lj,32,64,Other,,0.0001597,,,0.42
in.lj,256,2,Pair,1.6479,2.4487,3.2496,51.2,61.41
in.lj,256,2,Neigh,0.14327,0.21545,0.28764,15.6,5.40
in.lj,256,2,Comm,0.21196,1.1476,2.0832,87.3,28.78
in.lj,256,2,Output,0.00031649,0.00031727,0.00031804,0.0,0.01
in.lj,256,2,Modify,0.09246,0.15529,0.21812,15.9,3.89
in.lj,256,2,Other,,0.02036,,,0.51
in.lj,256,4,Pair,0.99818,1.1197,1.4239,16.7,48.82
in.lj,256,4,Neigh,0.084776,0.10075,0.13719,6.7,4.39
in.lj,256,4,Comm,0.67415,1.0122,1.1518,19.6,44.14
in.lj,256,4,Output,0.00019816,0.00020936,0.00022028,0.0,0.01
in.lj,256,4,Modify,0.047216,0.04911,0.053328,1.1,2.14
in.lj,256,4,Other,,0.0114,,,0.50
in.lj,256,8,Pair,0.51643,0.56463,0.89158,16.4,46.79
in.lj,256,8,Neigh,0.046967,0.050169,0.069593,3.3,4.16
in.lj,256,8,Comm,0.15177,0.552,0.61134,20.4,45.75
in.lj,256,8,Output,0.0001143,0.00012253,0.00013923,0.0,0.01
in.lj,256,8,Modify,0.024297,0.033455,0.087773,11.2,2.77
in.lj,256,8,Other,,0.006232,,,0.52
in.lj,256,16,Pair,0.25809,0.27108,0.43116,7.9,42.34
in.lj,256,16,Neigh,0.024112,0.025098,0.035223,1.7,3.92
in.lj,256,16,Comm,0.15929,0.32021,0.34183,7.5,50.02
in.lj,256,16,Output,0.00012141,0.0078172,0.015506,8.7,1.22
in.lj,256,16,Modify,0.0112,0.012493,0.013282,0.4,1.95
in.lj,256,16,Other,,0.003475,,,0.54
in.lj,256,32,Pair,0.10639,0.13317,0.23232,5.0,38.22
in.lj,256,32,Neigh,0.010048,0.013171,0.026012,2.1,3.78
in.lj,256,32,Comm,0.082341,0.19339,0.22424,4.7,55.51
in.lj,256,32,Output,6.1401e-05,6.9674e-05,9.7858e-05,0.0,0.02
in.lj,256,32,Modify,0.0061761,0.0069655,0.0077638,0.4,2.00
in.lj,256,32,Other,,0.001642,,,0.47
in.lj,256,64,Pair,0.052592,0.060402,0.085635,2.6,32.14
in.lj,256,64,Neigh,0.0051517,0.0060661,0.0071154,0.9,3.23
in.lj,256,64,Comm,0.092935,0.11742,0.12656,2.1,62.49
in.lj,256,64,Output,5.4088e-05,9.7623e-05,0.00014085,0.0,0.05
in.lj,256,64,Modify,0.0027745,0.0032223,0.00376,0.5,1.71
in.lj,256,64,Other,,0.0006976,,,0.37
in.lj,864,2,Pair,5.8884,8.4737,11.059,88.8,60.08
