Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Alltoall,MPI_Waitany,MPI_Bcast,MPI_Cart_create,MPI_Comm_size,MPI_Finalize,MPI_Comm_rank,MPI_Comm_dup,MPI_Barrier,MPI_Reduce,MPI_Wait,MPI_Sendrecv,MPI_Init,MPI_Alltoallv,MPI_Cart_get,MPI_Irecv,MPI_Allreduce,MPI_Allgather,MPI_Comm_free,MPI_Cart_rank,MPI_Send,Processes,Size
in.rhodo,50.71,3.97,27.15,23.97,48.22,0.12,21.44,0.08,1.61,1.27,0.02,0.0,0.07,0.0,0.01,0.08,0.0,71.56,1.82,6.08,0.0,0.0,0.02,16.61,0.0,0.0,0.0,0.77,2.0,32.0
in.rhodo,51.53,11.09,40.89,35.23,48.08,0.42,34.02,0.09,4.06,2.79,0.01,0.0,0.01,0.0,0.01,0.0,0.0,69.43,1.75,4.09,0.0,0.0,0.08,16.19,0.0,0.0,0.0,1.48,4.0,32.0
in.rhodo,56.56,15.2,49.82,39.9,47.0,2.08,47.46,0.01,3.37,3.72,0.02,0.0,0.06,0.0,0.02,0.0,0.0,59.1,1.38,9.65,0.01,0.0,0.06,21.42,0.01,0.0,0.0,1.16,8.0,32.0
in.rhodo,65.57,36.32,58.61,41.52,46.46,3.09,70.3,0.01,22.66,5.73,0.02,0.0,0.07,0.0,0.03,0.0,0.0,35.96,1.47,15.13,0.06,0.0,0.12,17.39,0.01,0.0,0.0,1.33,16.0,32.0
in.rhodo,76.98,50.73,69.56,38.03,43.64,3.21,133.86,0.32,17.26,7.79,0.05,0.0,0.1,0.0,0.04,0.0,0.0,20.63,0.12,31.96,0.11,0.0,0.12,20.0,0.19,0.0,0.0,1.32,32.0,32.0
in.rhodo,88.4,60.89,79.44,28.18,30.43,2.21,271.05,0.12,14.31,3.53,0.02,0.0,0.17,0.0,0.04,0.01,0.0,13.35,0.31,53.14,0.89,0.0,0.15,12.43,0.27,0.0,0.0,1.25,64.0,32.0
in.rhodo,50.9,1.57,26.38,24.42,48.5,0.05,28.71,0.14,1.65,1.12,0.05,0.0,0.05,0.0,0.0,0.1,0.0,72.03,2.0,4.35,0.12,0.0,0.01,17.6,0.0,0.0,0.0,0.8,2.0,256.0
in.rhodo,51.5,3.14,38.9,36.29,49.23,0.4,43.91,0.31,2.39,2.3,0.01,0.0,0.04,0.0,0.01,0.01,0.0,67.33,2.08,4.09,0.01,0.0,0.01,18.97,0.0,0.0,0.0,2.44,4.0,256.0
in.rhodo,53.58,7.6,45.93,40.0,46.38,0.52,55.08,0.02,2.13,3.74,0.01,0.0,0.02,0.0,0.02,0.2,0.0,63.83,1.95,7.95,0.21,0.0,0.02,19.1,0.0,0.0,0.0,0.81,8.0,256.0
in.rhodo,59.32,16.17,50.93,37.66,43.7,1.21,69.76,0.28,14.63,6.92,0.05,0.0,0.07,0.0,0.03,0.01,0.0,40.12,1.88,18.14,0.06,0.0,0.03,16.7,0.01,0.0,0.0,1.06,16.0,256.0
