Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_dup,MPI_Init,MPI_Comm_size,MPI_Comm_rank,MPI_Sendrecv,MPI_Irecv,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.rhodo,51.53,11.09,40.89,35.23,48.08,0.42,34.02,16.19,1.48,2.79,0.0,0.0,0.0,0.01,69.43,0.01,4.09,0.0,0.0,1.75,0.08,4.06,0.0,0.0,0.01,0.09,0.0,0.0,4.0,32.0
in.rhodo,56.56,15.2,49.82,39.9,47.0,2.08,47.46,21.42,1.16,3.72,0.0,0.0,0.01,0.06,59.1,0.02,9.65,0.0,0.0,1.38,0.06,3.37,0.0,0.0,0.02,0.01,0.0,0.01,8.0,32.0
in.rhodo,65.57,36.32,58.61,41.52,46.46,3.09,70.3,17.39,1.33,5.73,0.0,0.0,0.01,0.07,35.96,0.03,15.13,0.0,0.0,1.47,0.12,22.66,0.0,0.0,0.02,0.01,0.0,0.06,16.0,32.0
in.rhodo,76.98,50.73,69.56,38.03,43.64,3.21,133.86,20.0,1.32,7.79,0.0,0.0,0.19,0.1,20.63,0.04,31.96,0.0,0.0,0.12,0.12,17.26,0.0,0.0,0.05,0.32,0.0,0.11,32.0,32.0
in.rhodo,88.4,60.89,79.44,28.18,30.43,2.21,271.05,12.43,1.25,3.53,0.0,0.0,0.27,0.17,13.35,0.04,53.14,0.0,0.0,0.31,0.15,14.31,0.0,0.0,0.02,0.12,0.01,0.89,64.0,32.0
in.rhodo,51.5,3.14,38.9,36.29,49.23,0.4,43.91,18.97,2.44,2.3,0.0,0.0,0.0,0.04,67.33,0.01,4.09,0.0,0.0,2.08,0.01,2.39,0.0,0.0,0.01,0.31,0.01,0.01,4.0,256.0
in.rhodo,53.58,7.6,45.93,40.0,46.38,0.52,55.08,19.1,0.81,3.74,0.0,0.0,0.0,0.02,63.83,0.02,7.95,0.0,0.0,1.95,0.02,2.13,0.0,0.0,0.01,0.02,0.2,0.21,8.0,256.0
in.rhodo,59.32,16.17,50.93,37.66,43.7,1.21,69.76,16.7,1.06,6.92,0.0,0.0,0.01,0.07,40.12,0.03,18.14,0.0,0.0,1.88,0.03,14.63,0.0,0.0,0.05,0.28,0.01,0.06,16.0,256.0
in.rhodo,71.71,34.03,60.04,33.49,39.03,2.08,111.62,8.61,1.16,10.22,0.0,0.0,0.37,0.11,26.14,0.04,33.5,0.0,0.0,0.83,0.04,17.81,0.0,0.0,0.07,0.14,0.45,0.51,32.0,256.0
in.rhodo,85.5,57.35,75.36,26.72,29.76,2.46,260.62,7.62,0.71,4.23,0.0,0.0,0.01,0.19,12.71,0.04,57.03,0.0,0.0,1.28,0.04,14.69,0.0,0.0,0.03,0.4,0.02,0.99,64.0,256.0
