Benchmark,MPI_(%),MPI_Time,MPI_Reduce,MPI_Bcast,MPI_Cart_create,MPI_Waitany,MPI_Cart_get,MPI_Cart_shift,MPI_Send,MPI_Irecv,MPI_Comm_free,MPI_Alltoall,MPI_Allreduce,MPI_Alltoallv,MPI_Barrier,MPI_Comm_dup,MPI_Init,MPI_Cart_rank,MPI_Finalize,MPI_Sendrecv,MPI_Comm_size,MPI_Wait,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo,0.27,0.11,0.02,0.24,0.13,0.0,0.0,0.0,0.0,0.0,1.51,0.03,3.9,1.29,0.51,0.26,87.0,0.0,5.07,0.0,0.0,0.0,0.01,0.01,1.0,32.0
in.rhodo,27.15,21.44,0.0,1.27,0.02,1.61,0.0,0.0,0.77,0.02,0.0,0.08,16.61,0.0,0.08,0.01,6.08,0.0,0.07,1.82,0.0,71.56,0.0,0.0,2.0,32.0
in.rhodo,40.89,34.02,0.0,2.79,0.01,4.06,0.0,0.0,1.48,0.08,0.0,0.09,16.19,0.0,0.0,0.01,4.09,0.0,0.01,1.75,0.0,69.43,0.0,0.0,4.0,32.0
in.rhodo,49.82,47.46,0.0,3.72,0.02,3.37,0.0,0.0,1.16,0.06,0.0,0.01,21.42,0.01,0.0,0.02,9.65,0.0,0.06,1.38,0.0,59.1,0.0,0.01,8.0,32.0
in.rhodo,58.61,70.3,0.0,5.73,0.02,22.66,0.0,0.0,1.33,0.12,0.0,0.01,17.39,0.06,0.0,0.03,15.13,0.0,0.07,1.47,0.0,35.96,0.0,0.01,16.0,32.0
in.rhodo,69.56,133.86,0.0,7.79,0.05,17.26,0.0,0.0,1.32,0.12,0.0,0.32,20.0,0.11,0.0,0.04,31.96,0.0,0.1,0.12,0.0,20.63,0.0,0.19,32.0,32.0
in.rhodo,79.44,271.05,0.0,3.53,0.02,14.31,0.0,0.0,1.25,0.15,0.0,0.12,12.43,0.89,0.01,0.04,53.14,0.0,0.17,0.31,0.0,13.35,0.0,0.27,64.0,32.0
in.rhodo,0.13,0.07,0.03,1.1,0.27,0.0,0.01,0.01,0.0,0.0,1.61,0.07,2.92,3.79,0.08,0.86,81.46,0.0,7.75,0.0,0.0,0.0,0.01,0.03,1.0,256.0
in.rhodo,26.38,28.71,0.0,1.12,0.05,1.65,0.0,0.0,0.8,0.01,0.0,0.14,17.6,0.12,0.1,0.0,4.35,0.0,0.05,2.0,0.0,72.03,0.0,0.0,2.0,256.0
in.rhodo,38.9,43.91,0.0,2.3,0.01,2.39,0.0,0.0,2.44,0.01,0.0,0.31,18.97,0.01,0.01,0.01,4.09,0.0,0.04,2.08,0.0,67.33,0.0,0.0,4.0,256.0
in.rhodo,45.93,55.08,0.0,3.74,0.01,2.13,0.0,0.0,0.81,0.02,0.0,0.02,19.1,0.21,0.2,0.02,7.95,0.0,0.02,1.95,0.0,63.83,0.0,0.0,8.0,256.0
in.rhodo,50.93,69.76,0.0,6.92,0.05,14.63,0.0,0.0,1.06,0.03,0.0,0.28,16.7,0.06,0.01,0.03,18.14,0.0,0.07,1.88,0.0,40.12,0.0,0.01,16.0,256.0
in.rhodo,60.04,111.62,0.0,10.22,0.07,17.81,0.0,0.0,1.16,0.04,0.0,0.14,8.61,0.51,0.45,0.04,33.5,0.0,0.11,0.83,0.0,26.14,0.0,0.37,32.0,256.0
in.rhodo,75.36,260.62,0.0,4.23,0.03,14.69,0.0,0.0,0.71,0.04,0.0,0.4,7.62,0.99,0.02,0.04,57.03,0.0,0.19,1.28,0.0,12.71,0.0,0.01,64.0,256.0
in.rhodo,0.04,0.08,0.04,1.04,0.25,0.0,0.01,0.01,0.0,0.0,2.1,0.09,3.44,7.0,0.05,1.19,77.08,0.0,7.66,0.0,0.0,0.0,0.01,0.03,1.0,864.0
in.rhodo,25.53,93.75,0.0,0.29,0.03,1.74,0.0,0.0,0.52,0.0,0.0,0.15,19.25,0.0,0.11,0.0,1.43,0.0,0.02,2.65,0.0,73.81,0.0,0.0,2.0,864.0
in.rhodo,38.22,142.8,0.0,0.74,0.03,1.27,0.0,0.0,3.71,0.02,0.0,0.19,19.41,0.01,0.05,0.0,1.19,0.0,0.01,2.75,0.0,70.63,0.0,0.0,4.0,864.0
in.rhodo,44.84,171.23,0.0,1.4,0.01,2.46,0.0,0.0,3.15,0.02,0.0,0.3,18.92,0.03,0.06,0.01,3.47,0.0,0.02,2.42,0.0,67.73,0.0,0.0,8.0,864.0
in.rhodo,48.48,195.72,0.0,2.64,0.01,18.27,0.0,0.0,2.22,0.03,0.0,0.14,18.93,0.15,0.12,0.01,5.7,0.0,0.15,1.41,0.0,50.21,0.0,0.0,16.0,864.0
in.rhodo,56.02,275.71,0.0,4.11,0.03,21.07,0.0,0.0,1.38,0.03,0.0,0.2,16.5,0.23,0.19,0.02,23.54,0.0,0.04,1.41,0.0,31.25,0.0,0.01,32.0,864.0
in.rhodo,63.19,419.44,0.0,2.36,0.02,18.37,0.0,0.0,1.19,0.04,0.0,0.11,20.06,0.7,0.25,0.02,35.73,0.0,0.3,0.97,0.0,19.85,0.0,0.01,64.0,864.0
in.rhodo,0.75,0.07,0.0,1.05,0.27,0.0,0.01,0.01,0.0,0.0,0.03,0.8,0.31,14.66,0.03,2.61,80.18,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0,2048.0
in.rhodo,30.9,3.96,0.0,8.89,1.27,0.0,0.0,0.0,0.14,0.0,0.0,8.81,12.73,0.17,2.69,0.03,30.19,0.0,0.0,25.5,0.0,9.23,0.0,0.35,2.0,2048.0
in.rhodo,38.33,338.06,0.0,0.33,0.02,0.21,0.0,0.0,5.46,0.0,0.0,0.17,19.35,0.03,0.1,0.0,0.6,0.0,0.0,3.25,0.0,70.47,0.0,0.0,4.0,2048.0
in.rhodo,44.4,396.81,0.0,0.62,0.02,1.33,0.0,0.0,4.02,0.02,0.0,0.23,19.77,0.02,0.08,0.0,1.29,0.0,0.01,2.78,0.0,69.8,0.0,0.0,8.0,2048.0
in.rhodo,47.5,434.99,0.0,1.16,0.01,19.23,0.0,0.0,3.56,0.02,0.0,0.15,20.01,0.11,0.07,0.0,2.54,0.0,0.01,1.96,0.0,51.17,0.0,0.0,16.0,2048.0
in.rhodo,51.1,517.25,0.0,2.3,0.01,28.51,0.0,0.0,2.25,0.03,0.0,0.04,20.15,0.25,0.14,0.01,8.56,0.0,0.03,0.94,0.0,36.7,0.0,0.08,32.0,2048.0
in.rhodo,55.2,704.93,0.0,1.21,0.01,29.76,0.0,0.0,1.42,0.04,0.0,0.11,20.14,0.8,0.03,0.01,20.35,0.0,0.07,0.36,0.0,25.69,0.0,0.0,64.0,2048.0
in.rhodo-e-5,0.42,0.18,0.01,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.91,0.02,3.01,1.03,0.33,0.24,91.44,0.0,2.62,0.0,0.0,0.0,0.01,0.01,1.0,32.0
in.rhodo-e-5,5.14,2.34,0.0,2.24,0.1,4.31,0.0,0.0,7.92,0.21,0.0,0.01,7.06,0.03,0.05,0.12,62.23,0.0,0.07,0.93,0.0,14.7,0.0,0.01,2.0,32.0
in.rhodo-e-5,9.36,4.69,0.0,4.08,0.07,8.0,0.0,0.0,10.5,0.28,0.0,0.03,7.99,0.11,0.02,0.12,39.73,0.0,0.08,1.33,0.0,27.61,0.0,0.02,4.0,32.0
in.rhodo-e-5,17.21,10.25,0.0,4.7,0.1,8.74,0.0,0.0,8.02,0.31,0.0,0.07,6.26,0.09,0.01,0.11,44.88,0.0,0.11,0.92,0.0,25.65,0.0,0.02,8.0,32.0
in.rhodo-e-5,28.21,23.42,0.0,4.84,0.11,8.5,0.0,0.0,6.78,0.35,0.0,0.06,8.55,0.18,0.01,0.15,49.77,0.0,0.16,0.57,0.0,19.93,0.0,0.03,16.0,32.0
in.rhodo-e-5,60.82,105.97,0.0,3.48,0.08,3.15,0.0,0.0,2.2,0.18,0.0,0.03,5.92,0.13,0.01,0.05,78.31,0.0,0.12,0.17,0.0,6.16,0.0,0.01,32.0,32.0
in.rhodo-e-5,71.84,197.36,0.0,1.27,0.03,2.58,0.0,0.0,1.91,0.19,0.0,0.14,8.59,0.64,0.34,0.05,77.59,0.0,0.25,0.19,0.0,6.22,0.0,0.02,64.0,32.0
in.rhodo-e-5,0.11,0.06,0.02,1.29,0.3,0.0,0.01,0.01,0.0,0.0,1.8,0.07,3.41,4.25,0.11,1.48,77.37,0.0,9.82,0.0,0.0,0.0,0.01,0.03,1.0,256.0
