Benchmark,MPI_(%),MPI_Time,MPI_Finalize,MPI_Comm_rank,MPI_Reduce,MPI_Comm_free,MPI_Send,MPI_Comm_dup,MPI_Cart_create,MPI_Irecv,MPI_Barrier,MPI_Waitany,MPI_Comm_size,MPI_Alltoall,MPI_Bcast,MPI_Cart_get,MPI_Cart_rank,MPI_Init,MPI_Cart_shift,MPI_Alltoallv,MPI_Sendrecv,MPI_Allgather,MPI_Allreduce,MPI_Wait,Processes,Size
in.rhodo,0.0,0.27,5.07,0.01,0.02,1.51,0.0,0.26,0.13,0.0,0.51,0.0,0.0,0.03,0.24,0.0,0.0,87.0,0.0,1.29,0.0,0.01,3.9,0.0,1.0,32.0
in.rhodo,23.97,27.15,0.07,0.0,0.0,0.0,0.77,0.01,0.02,0.02,0.08,1.61,0.0,0.08,1.27,0.0,0.0,6.08,0.0,0.0,1.82,0.0,16.61,71.56,2.0,32.0
in.rhodo,35.23,40.89,0.01,0.0,0.0,0.0,1.48,0.01,0.01,0.08,0.0,4.06,0.0,0.09,2.79,0.0,0.0,4.09,0.0,0.0,1.75,0.0,16.19,69.43,4.0,32.0
in.rhodo,39.9,49.82,0.06,0.0,0.0,0.0,1.16,0.02,0.02,0.06,0.0,3.37,0.0,0.01,3.72,0.0,0.0,9.65,0.0,0.01,1.38,0.01,21.42,59.1,8.0,32.0
in.rhodo,41.52,58.61,0.07,0.0,0.0,0.0,1.33,0.03,0.02,0.12,0.0,22.66,0.0,0.01,5.73,0.0,0.0,15.13,0.0,0.06,1.47,0.01,17.39,35.96,16.0,32.0
in.rhodo,38.03,69.56,0.1,0.0,0.0,0.0,1.32,0.04,0.05,0.12,0.0,17.26,0.0,0.32,7.79,0.0,0.0,31.96,0.0,0.11,0.12,0.19,20.0,20.63,32.0,32.0
in.rhodo,28.18,79.44,0.17,0.0,0.0,0.0,1.25,0.04,0.02,0.15,0.01,14.31,0.0,0.12,3.53,0.0,0.0,53.14,0.0,0.89,0.31,0.27,12.43,13.35,64.0,32.0
in.rhodo,0.0,0.13,7.75,0.01,0.03,1.61,0.0,0.86,0.27,0.0,0.08,0.0,0.0,0.07,1.1,0.01,0.0,81.46,0.01,3.79,0.0,0.03,2.92,0.0,1.0,256.0
in.rhodo,24.42,26.38,0.05,0.0,0.0,0.0,0.8,0.0,0.05,0.01,0.1,1.65,0.0,0.14,1.12,0.0,0.0,4.35,0.0,0.12,2.0,0.0,17.6,72.03,2.0,256.0
in.rhodo,36.29,38.9,0.04,0.0,0.0,0.0,2.44,0.01,0.01,0.01,0.01,2.39,0.0,0.31,2.3,0.0,0.0,4.09,0.0,0.01,2.08,0.0,18.97,67.33,4.0,256.0
in.rhodo,40.0,45.93,0.02,0.0,0.0,0.0,0.81,0.02,0.01,0.02,0.2,2.13,0.0,0.02,3.74,0.0,0.0,7.95,0.0,0.21,1.95,0.0,19.1,63.83,8.0,256.0
in.rhodo,37.66,50.93,0.07,0.0,0.0,0.0,1.06,0.03,0.05,0.03,0.01,14.63,0.0,0.28,6.92,0.0,0.0,18.14,0.0,0.06,1.88,0.01,16.7,40.12,16.0,256.0
in.rhodo,33.49,60.04,0.11,0.0,0.0,0.0,1.16,0.04,0.07,0.04,0.45,17.81,0.0,0.14,10.22,0.0,0.0,33.5,0.0,0.51,0.83,0.37,8.61,26.14,32.0,256.0
in.rhodo,26.72,75.36,0.19,0.0,0.0,0.0,0.71,0.04,0.03,0.04,0.02,14.69,0.0,0.4,4.23,0.0,0.0,57.03,0.0,0.99,1.28,0.01,7.62,12.71,64.0,256.0
