Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Wait,MPI_Sendrecv,MPI_Bcast,MPI_Cart_get,MPI_Cart_shift,MPI_Alltoallv,MPI_Waitany,MPI_Init,MPI_Allreduce,MPI_Comm_size,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Finalize,MPI_Irecv,MPI_Comm_free,MPI_Cart_rank,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo,0.27,0.27,0.27,0.0,0.0,0.0,0.11,0.0,0.0,0.24,0.0,0.0,1.29,0.0,87.0,3.9,0.0,0.26,0.02,0.0,0.13,0.03,0.51,5.07,0.0,1.51,0.0,0.01,0.01,1.0,32.0
in.rhodo,50.71,3.97,27.15,23.97,48.22,0.12,21.44,71.56,1.82,1.27,0.0,0.0,0.0,1.61,6.08,16.61,0.0,0.01,0.0,0.77,0.02,0.08,0.08,0.07,0.02,0.0,0.0,0.0,0.0,2.0,32.0
in.rhodo,51.53,11.09,40.89,35.23,48.08,0.42,34.02,69.43,1.75,2.79,0.0,0.0,0.0,4.06,4.09,16.19,0.0,0.01,0.0,1.48,0.01,0.09,0.0,0.01,0.08,0.0,0.0,0.0,0.0,4.0,32.0
in.rhodo,56.56,15.2,49.82,39.9,47.0,2.08,47.46,59.1,1.38,3.72,0.0,0.0,0.01,3.37,9.65,21.42,0.0,0.02,0.0,1.16,0.02,0.01,0.0,0.06,0.06,0.0,0.0,0.0,0.01,8.0,32.0
in.rhodo,65.57,36.32,58.61,41.52,46.46,3.09,70.3,35.96,1.47,5.73,0.0,0.0,0.06,22.66,15.13,17.39,0.0,0.03,0.0,1.33,0.02,0.01,0.0,0.07,0.12,0.0,0.0,0.0,0.01,16.0,32.0
in.rhodo,76.98,50.73,69.56,38.03,43.64,3.21,133.86,20.63,0.12,7.79,0.0,0.0,0.11,17.26,31.96,20.0,0.0,0.04,0.0,1.32,0.05,0.32,0.0,0.1,0.12,0.0,0.0,0.0,0.19,32.0,32.0
in.rhodo,88.4,60.89,79.44,28.18,30.43,2.21,271.05,13.35,0.31,3.53,0.0,0.0,0.89,14.31,53.14,12.43,0.0,0.04,0.0,1.25,0.02,0.12,0.01,0.17,0.15,0.0,0.0,0.0,0.27,64.0,32.0
in.rhodo,0.13,0.13,0.13,0.0,0.0,0.0,0.07,0.0,0.0,1.1,0.01,0.01,3.79,0.0,81.46,2.92,0.0,0.86,0.03,0.0,0.27,0.07,0.08,7.75,0.0,1.61,0.0,0.01,0.03,1.0,256.0
in.rhodo,50.9,1.57,26.38,24.42,48.5,0.05,28.71,72.03,2.0,1.12,0.0,0.0,0.12,1.65,4.35,17.6,0.0,0.0,0.0,0.8,0.05,0.14,0.1,0.05,0.01,0.0,0.0,0.0,0.0,2.0,256.0
in.rhodo,51.5,3.14,38.9,36.29,49.23,0.4,43.91,67.33,2.08,2.3,0.0,0.0,0.01,2.39,4.09,18.97,0.0,0.01,0.0,2.44,0.01,0.31,0.01,0.04,0.01,0.0,0.0,0.0,0.0,4.0,256.0
in.rhodo,53.58,7.6,45.93,40.0,46.38,0.52,55.08,63.83,1.95,3.74,0.0,0.0,0.21,2.13,7.95,19.1,0.0,0.02,0.0,0.81,0.01,0.02,0.2,0.02,0.02,0.0,0.0,0.0,0.0,8.0,256.0
in.rhodo,59.32,16.17,50.93,37.66,43.7,1.21,69.76,40.12,1.88,6.92,0.0,0.0,0.06,14.63,18.14,16.7,0.0,0.03,0.0,1.06,0.05,0.28,0.01,0.07,0.03,0.0,0.0,0.0,0.01,16.0,256.0
in.rhodo,71.71,34.03,60.04,33.49,39.03,2.08,111.62,26.14,0.83,10.22,0.0,0.0,0.51,17.81,33.5,8.61,0.0,0.04,0.0,1.16,0.07,0.14,0.45,0.11,0.04,0.0,0.0,0.0,0.37,32.0,256.0
in.rhodo,85.5,57.35,75.36,26.72,29.76,2.46,260.62,12.71,1.28,4.23,0.0,0.0,0.99,14.69,57.03,7.62,0.0,0.04,0.0,0.71,0.03,0.4,0.02,0.19,0.04,0.0,0.0,0.0,0.01,64.0,256.0
in.rhodo,0.04,0.04,0.04,0.0,0.0,0.0,0.08,0.0,0.0,1.04,0.01,0.01,7.0,0.0,77.08,3.44,0.0,1.19,0.04,0.0,0.25,0.09,0.05,7.66,0.0,2.1,0.0,0.01,0.03,1.0,864.0
in.rhodo,50.2,0.94,25.53,24.69,49.46,0.02,93.75,73.81,2.65,0.29,0.0,0.0,0.0,1.74,1.43,19.25,0.0,0.0,0.0,0.52,0.03,0.15,0.11,0.02,0.0,0.0,0.0,0.0,0.0,2.0,864.0
