Benchmark,MPI_(%),MPI_Time,MPI_Allreduce,MPI_Waitany,MPI_Sendrecv,MPI_Bcast,MPI_Alltoall,MPI_Allgather,MPI_Cart_get,MPI_Comm_rank,MPI_Barrier,MPI_Finalize,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Comm_size,MPI_Init,MPI_Comm_free,MPI_Irecv,MPI_Cart_rank,MPI_Alltoallv,MPI_Wait,MPI_Cart_shift,MPI_Cart_create,Processes,Size
in.rhodo,0.27,0.11,3.9,0.0,0.0,0.24,0.03,0.01,0.0,0.01,0.51,5.07,0.26,0.02,0.0,0.0,87.0,1.51,0.0,0.0,1.29,0.0,0.0,0.13,1.0,32.0
in.rhodo,27.15,21.44,16.61,1.61,1.82,1.27,0.08,0.0,0.0,0.0,0.08,0.07,0.01,0.0,0.77,0.0,6.08,0.0,0.02,0.0,0.0,71.56,0.0,0.02,2.0,32.0
in.rhodo,40.89,34.02,16.19,4.06,1.75,2.79,0.09,0.0,0.0,0.0,0.0,0.01,0.01,0.0,1.48,0.0,4.09,0.0,0.08,0.0,0.0,69.43,0.0,0.01,4.0,32.0
in.rhodo,49.82,47.46,21.42,3.37,1.38,3.72,0.01,0.01,0.0,0.0,0.0,0.06,0.02,0.0,1.16,0.0,9.65,0.0,0.06,0.0,0.01,59.1,0.0,0.02,8.0,32.0
in.rhodo,58.61,70.3,17.39,22.66,1.47,5.73,0.01,0.01,0.0,0.0,0.0,0.07,0.03,0.0,1.33,0.0,15.13,0.0,0.12,0.0,0.06,35.96,0.0,0.02,16.0,32.0
in.rhodo,69.56,133.86,20.0,17.26,0.12,7.79,0.32,0.19,0.0,0.0,0.0,0.1,0.04,0.0,1.32,0.0,31.96,0.0,0.12,0.0,0.11,20.63,0.0,0.05,32.0,32.0
in.rhodo,79.44,271.05,12.43,14.31,0.31,3.53,0.12,0.27,0.0,0.0,0.01,0.17,0.04,0.0,1.25,0.0,53.14,0.0,0.15,0.0,0.89,13.35,0.0,0.02,64.0,32.0
in.rhodo,0.13,0.07,2.92,0.0,0.0,1.1,0.07,0.03,0.01,0.01,0.08,7.75,0.86,0.03,0.0,0.0,81.46,1.61,0.0,0.0,3.79,0.0,0.01,0.27,1.0,256.0
in.rhodo,26.38,28.71,17.6,1.65,2.0,1.12,0.14,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.8,0.0,4.35,0.0,0.01,0.0,0.12,72.03,0.0,0.05,2.0,256.0
in.rhodo,38.9,43.91,18.97,2.39,2.08,2.3,0.31,0.0,0.0,0.0,0.01,0.04,0.01,0.0,2.44,0.0,4.09,0.0,0.01,0.0,0.01,67.33,0.0,0.01,4.0,256.0
in.rhodo,45.93,55.08,19.1,2.13,1.95,3.74,0.02,0.0,0.0,0.0,0.2,0.02,0.02,0.0,0.81,0.0,7.95,0.0,0.02,0.0,0.21,63.83,0.0,0.01,8.0,256.0
in.rhodo,50.93,69.76,16.7,14.63,1.88,6.92,0.28,0.01,0.0,0.0,0.01,0.07,0.03,0.0,1.06,0.0,18.14,0.0,0.03,0.0,0.06,40.12,0.0,0.05,16.0,256.0
in.rhodo,60.04,111.62,8.61,17.81,0.83,10.22,0.14,0.37,0.0,0.0,0.45,0.11,0.04,0.0,1.16,0.0,33.5,0.0,0.04,0.0,0.51,26.14,0.0,0.07,32.0,256.0
in.rhodo,75.36,260.62,7.62,14.69,1.28,4.23,0.4,0.01,0.0,0.0,0.02,0.19,0.04,0.0,0.71,0.0,57.03,0.0,0.04,0.0,0.99,12.71,0.0,0.03,64.0,256.0
in.rhodo,0.04,0.08,3.44,0.0,0.0,1.04,0.09,0.03,0.01,0.01,0.05,7.66,1.19,0.04,0.0,0.0,77.08,2.1,0.0,0.0,7.0,0.0,0.01,0.25,1.0,864.0
