Benchmark,MPI_(%),MPI_Time,MPI_Init,MPI_Comm_size,MPI_Send,MPI_Cart_rank,MPI_Cart_create,MPI_Allgather,MPI_Comm_rank,MPI_Barrier,MPI_Cart_get,MPI_Finalize,MPI_Alltoallv,MPI_Allreduce,MPI_Wait,MPI_Comm_dup,MPI_Comm_free,MPI_Reduce,MPI_Bcast,MPI_Alltoall,MPI_Irecv,MPI_Cart_shift,MPI_Sendrecv,MPI_Waitany,Processes,Size
in.rhodo,0.27,0.11,87.0,0.0,0.0,0.0,0.13,0.01,0.01,0.51,0.0,5.07,1.29,3.9,0.0,0.26,1.51,0.02,0.24,0.03,0.0,0.0,0.0,0.0,1.0,32.0
in.rhodo,27.15,21.44,6.08,0.0,0.77,0.0,0.02,0.0,0.0,0.08,0.0,0.07,0.0,16.61,71.56,0.01,0.0,0.0,1.27,0.08,0.02,0.0,1.82,1.61,2.0,32.0
in.rhodo,40.89,34.02,4.09,0.0,1.48,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,16.19,69.43,0.01,0.0,0.0,2.79,0.09,0.08,0.0,1.75,4.06,4.0,32.0
in.rhodo,49.82,47.46,9.65,0.0,1.16,0.0,0.02,0.01,0.0,0.0,0.0,0.06,0.01,21.42,59.1,0.02,0.0,0.0,3.72,0.01,0.06,0.0,1.38,3.37,8.0,32.0
in.rhodo,58.61,70.3,15.13,0.0,1.33,0.0,0.02,0.01,0.0,0.0,0.0,0.07,0.06,17.39,35.96,0.03,0.0,0.0,5.73,0.01,0.12,0.0,1.47,22.66,16.0,32.0
in.rhodo,69.56,133.86,31.96,0.0,1.32,0.0,0.05,0.19,0.0,0.0,0.0,0.1,0.11,20.0,20.63,0.04,0.0,0.0,7.79,0.32,0.12,0.0,0.12,17.26,32.0,32.0
in.rhodo,79.44,271.05,53.14,0.0,1.25,0.0,0.02,0.27,0.0,0.01,0.0,0.17,0.89,12.43,13.35,0.04,0.0,0.0,3.53,0.12,0.15,0.0,0.31,14.31,64.0,32.0
in.rhodo,0.13,0.07,81.46,0.0,0.0,0.0,0.27,0.03,0.01,0.08,0.01,7.75,3.79,2.92,0.0,0.86,1.61,0.03,1.1,0.07,0.0,0.01,0.0,0.0,1.0,256.0
in.rhodo,26.38,28.71,4.35,0.0,0.8,0.0,0.05,0.0,0.0,0.1,0.0,0.05,0.12,17.6,72.03,0.0,0.0,0.0,1.12,0.14,0.01,0.0,2.0,1.65,2.0,256.0
in.rhodo,38.9,43.91,4.09,0.0,2.44,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.01,18.97,67.33,0.01,0.0,0.0,2.3,0.31,0.01,0.0,2.08,2.39,4.0,256.0
in.rhodo,45.93,55.08,7.95,0.0,0.81,0.0,0.01,0.0,0.0,0.2,0.0,0.02,0.21,19.1,63.83,0.02,0.0,0.0,3.74,0.02,0.02,0.0,1.95,2.13,8.0,256.0
in.rhodo,50.93,69.76,18.14,0.0,1.06,0.0,0.05,0.01,0.0,0.01,0.0,0.07,0.06,16.7,40.12,0.03,0.0,0.0,6.92,0.28,0.03,0.0,1.88,14.63,16.0,256.0
in.rhodo,60.04,111.62,33.5,0.0,1.16,0.0,0.07,0.37,0.0,0.45,0.0,0.11,0.51,8.61,26.14,0.04,0.0,0.0,10.22,0.14,0.04,0.0,0.83,17.81,32.0,256.0
in.rhodo,75.36,260.62,57.03,0.0,0.71,0.0,0.03,0.01,0.0,0.02,0.0,0.19,0.99,7.62,12.71,0.04,0.0,0.0,4.23,0.4,0.04,0.0,1.28,14.69,64.0,256.0
in.rhodo,0.02,0.11,58.4,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.0,31.76,4.7,2.82,0.0,0.46,0.97,0.02,0.62,0.08,0.0,0.0,0.0,0.0,1.0,864.0
in.rhodo,0.03,0.1,49.46,0.0,0.0,0.0,0.12,0.01,0.01,0.04,0.0,22.13,22.09,2.9,0.0,0.2,2.21,0.55,0.2,0.08,0.0,0.0,0.0,0.0,1.0,864.0
in.rhodo,0.04,0.08,77.08,0.0,0.0,0.0,0.25,0.03,0.01,0.05,0.01,7.66,7.0,3.44,0.0,1.19,2.1,0.04,1.04,0.09,0.0,0.01,0.0,0.0,1.0,864.0
in.rhodo,5.87,28.7,3.97,0.0,17.53,0.0,0.07,0.02,0.0,0.11,0.0,0.09,0.31,28.39,28.09,0.01,0.0,0.0,5.21,0.64,0.01,0.0,2.08,13.48,2.0,864.0
in.rhodo,7.84,29.53,3.96,0.0,14.8,0.0,0.15,0.0,0.0,0.43,0.0,0.1,1.02,27.83,23.92,0.01,0.0,0.0,10.42,0.71,0.01,0.0,2.33,14.32,2.0,864.0
in.rhodo,25.53,93.75,1.43,0.0,0.52,0.0,0.03,0.0,0.0,0.11,0.0,0.02,0.0,19.25,73.81,0.0,0.0,0.0,0.29,0.15,0.0,0.0,2.65,1.74,2.0,864.0
in.rhodo,33.92,178.45,0.68,0.0,10.44,0.0,0.02,0.18,0.0,0.15,0.0,0.05,0.0,19.53,55.95,0.14,0.0,0.0,4.55,0.25,0.01,0.0,2.28,5.75,4.0,864.0
