Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.rhodo,32,1,Pair,26.507,26.507,26.507,0.0,69.50
in.rhodo,32,1,Bond,1.5759,1.5759,1.5759,0.0,4.13
in.rhodo,32,1,Kspace,3.7471,3.7471,3.7471,0.0,9.82
in.rhodo,32,1,Neigh,3.2032,3.2032,3.2032,0.0,8.40
in.rhodo,32,1,Comm,0.72989,0.72989,0.72989,0.0,1.91
in.rhodo,32,1,Output,0.0011135,0.0011135,0.0011135,0.0,0.00
in.rhodo,32,1,Modify,2.2719,2.2719,2.2719,0.0,5.96
in.rhodo,32,1,Other,,0.1051,,,0.28
in.rhodo,32,2,Pair,13.092,19.512,25.933,145.3,51.20
in.rhodo,32,2,Bond,0.75382,1.2381,1.7224,43.5,3.25
in.rhodo,32,2,Kspace,3.7224,10.651,17.579,212.3,27.95
in.rhodo,32,2,Neigh,3.0947,3.1028,3.1109,0.5,8.14
in.rhodo,32,2,Comm,0.90328,1.0685,1.2336,16.0,2.80
in.rhodo,32,2,Output,0.0006401,0.00074526,0.00085043,0.0,0.00
in.rhodo,32,2,Modify,2.0471,2.34,2.6329,19.1,6.14
in.rhodo,32,2,Other,,0.1995,,,0.52
in.rhodo,32,4,Pair,6.7234,8.1678,12.336,84.2,41.24
in.rhodo,32,4,Bond,0.38105,0.49677,0.82579,27.0,2.51
in.rhodo,32,4,Kspace,2.7914,7.3052,8.8826,96.4,36.89
in.rhodo,32,4,Neigh,1.5487,1.5723,1.5805,1.1,7.94
in.rhodo,32,4,Comm,0.76066,0.83261,0.91858,6.3,4.20
in.rhodo,32,4,Output,0.0005801,0.00063944,0.00081631,0.0,0.00
in.rhodo,32,4,Modify,1.0325,1.2075,1.4447,13.6,6.10
in.rhodo,32,4,Other,,0.2217,,,1.12
in.rhodo,32,8,Pair,3.3601,3.8343,6.4527,50.6,35.71
in.rhodo,32,8,Bond,0.19359,0.21923,0.31352,7.8,2.04
in.rhodo,32,8,Kspace,1.7344,4.5314,5.0163,49.7,42.20
in.rhodo,32,8,Neigh,0.81264,0.82621,0.82861,0.6,7.69
in.rhodo,32,8,Comm,0.37886,0.40447,0.46121,4.6,3.77
in.rhodo,32,8,Output,0.00049894,0.00053396,0.00075698,0.0,0.00
in.rhodo,32,8,Modify,0.71809,0.80823,0.87545,4.5,7.53
in.rhodo,32,8,Other,,0.1133,,,1.05
in.rhodo,32,16,Pair,1.7211,1.8733,2.8489,18.7,29.92
in.rhodo,32,16,Bond,0.095834,0.11124,0.13828,3.0,1.78
in.rhodo,32,16,Kspace,1.9302,2.9645,3.1555,15.9,47.35
in.rhodo,32,16,Neigh,0.4907,0.49893,0.50723,1.1,7.97
in.rhodo,32,16,Comm,0.22998,0.32616,0.37281,9.3,5.21
in.rhodo,32,16,Output,0.00054344,0.00056425,0.00079467,0.0,0.01
in.rhodo,32,16,Modify,0.38085,0.44965,0.48081,3.6,7.18
in.rhodo,32,16,Other,,0.03598,,,0.57
in.rhodo,32,32,Pair,0.85235,0.99504,1.6342,12.9,24.82
in.rhodo,32,32,Bond,0.015381,0.059621,0.094237,11.7,1.49
in.rhodo,32,32,Kspace,1.2075,1.9211,2.0664,10.0,47.93
