Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chain.timer,32,1,Pair,0.27766,0.27766,0.27766,0.0,98.7,29.80
in.chain.timer,32,1,Bond,0.051506,0.051506,0.051506,0.0,99.8,5.53
in.chain.timer,32,1,Neigh,0.21768,0.21768,0.21768,0.0,98.8,23.36
in.chain.timer,32,1,Comm,0.11251,0.11251,0.11251,0.0,99.1,12.07
in.chain.timer,32,1,Output,0.00013509,0.00013509,0.00013509,0.0,100.0,0.01
in.chain.timer,32,1,Modify,0.23577,0.23577,0.23577,0.0,99.2,25.30
in.chain.timer,32,1,Other,,0.03655,,,,3.92
in.chain.timer,32,2,Pair,0.13627,0.13665,0.13703,0.1,98.3,29.50
in.chain.timer,32,2,Bond,0.025559,0.025666,0.025772,0.1,98.3,5.54
in.chain.timer,32,2,Neigh,0.11298,0.11299,0.113,0.0,98.9,24.39
in.chain.timer,32,2,Comm,0.06391,0.06423,0.064551,0.1,98.7,13.86
in.chain.timer,32,2,Output,7.032e-05,7.8102e-05,8.5884e-05,0.0,100.0,0.02
in.chain.timer,32,2,Modify,0.10482,0.10502,0.10522,0.1,98.0,22.67
in.chain.timer,32,2,Other,,0.01862,,,,4.02
in.chain.timer,32,4,Pair,0.070557,0.071422,0.072439,0.3,98.9,30.58
in.chain.timer,32,4,Bond,0.011263,0.011387,0.011533,0.1,99.5,4.87
in.chain.timer,32,4,Neigh,0.05549,0.055541,0.0556,0.0,99.4,23.78
in.chain.timer,32,4,Comm,0.033967,0.035369,0.036919,0.7,98.6,15.14
in.chain.timer,32,4,Output,5.2035e-05,5.767e-05,6.7478e-05,0.0,100.0,0.02
in.chain.timer,32,4,Modify,0.050941,0.051763,0.052293,0.2,99.4,22.16
in.chain.timer,32,4,Other,,0.008036,,,,3.44
in.chain.timer,32,8,Pair,0.032415,0.03297,0.033648,0.2,95.9,27.11
in.chain.timer,32,8,Bond,0.0055028,0.0055613,0.0057422,0.1,95.2,4.57
in.chain.timer,32,8,Neigh,0.029465,0.02955,0.029618,0.0,96.2,24.30
in.chain.timer,32,8,Comm,0.022969,0.023429,0.023963,0.2,94.2,19.26
in.chain.timer,32,8,Output,4.2177e-05,4.7418e-05,5.9671e-05,0.0,100.0,0.04
in.chain.timer,32,8,Modify,0.024869,0.025066,0.025319,0.1,96.1,20.61
in.chain.timer,32,8,Other,,0.004999,,,,4.11
in.chain.timer,32,16,Pair,0.013649,0.015829,0.016313,0.5,95.1,25.52
in.chain.timer,32,16,Bond,0.0022669,0.0027319,0.0028311,0.2,95.2,4.40
in.chain.timer,32,16,Neigh,0.015524,0.015535,0.01557,0.0,94.4,25.04
in.chain.timer,32,16,Comm,0.012359,0.012967,0.016045,0.7,93.2,20.90
in.chain.timer,32,16,Output,4.5623e-05,4.9894e-05,7.1043e-05,0.0,100.0,0.08
in.chain.timer,32,16,Modify,0.010158,0.012304,0.012517,0.5,95.3,19.83
in.chain.timer,32,16,Other,,0.002615,,,,4.22
