;EXEC_TIME;PERFORMANCE;POWER;NAME;GPU;MPI;SIZE;PAREFF
300;11.182251715660096;143.99074074074073;189.18525894347198;rhodo;1;6;32;100.0
301;15.635610747337342;167.8709490740741;272.0596151987334;rhodo;2;12;32;58.292272201144634
302;15.098504304885864;243.8501157407407;424.3332240028491;rhodo;4;12;32;42.3378118770497
303;22.166129398345948;276.33275462962956;581.7679414767747;rhodo;6;18;32;31.98501436134868
304;31.524340891838072;298.71643518518516;734.7210919058737;rhodo;8;24;32;25.931913542537455
285;38.92611827850342;40.88599537037037;223.35139550562226;rhodo;1;16;256;100.0
288;49.11325414180756;56.72858796296296;295.01339661397674;rhodo;2;28;256;69.37410652361609
291;52.368195700645444;76.96238425925925;468.7676319837856;rhodo;4;32;256;47.05913575179403
294;76.85897197723389;91.03125;630.5632955196127;rhodo;6;48;256;37.10775502116036
297;92.79929461479188;101.42534722222223;789.8580870546557;rhodo;8;48;256;31.008584450326254
287;120.93622965812683;16.276041666666668;259.9491718109745;rhodo;1;36;864;100.0
289;113.75593266487121;24.122106481481485;395.3417528585766;rhodo;2;36;864;74.10311111111112
292;127.78854484558106;28.078703703703702;503.99589508883264;rhodo;4;36;864;43.12888888888888
296;186.30758595466614;34.07465277777778;645.5367571449553;rhodo;6;48;864;34.89244444444444
299;246.3672914505005;35.24363425925926;801.1361175768676;rhodo;8;48;864;27.06711111111111
286;284.95216784477236;5.9155092592592595;262.90316990640457;rhodo;1;16;2048;100.0
290;352.3756082057953;12.523148148148149;383.3615663292149;rhodo;2;48;2048;105.85012717667774
293;376.39629302024844;14.489583333333334;519.0180616243244;rhodo;4;48;2048;61.23557033848562
295;424.9805875301361;15.616898148148149;691.8867526336383;rhodo;6;48;2048;43.99986956238179
298;509.9456843137741;16.091435185185187;833.0139003857787;rhodo;8;48;2048;34.00264136176874
191;11.55543212890625;122.72106481481484;;rhodo-double;1;6;32;100.0
192;16.264957618713378;152.1232638888889;;rhodo-double;2;12;32;61.97927964463222
193;14.926191210746765;225.67303240740745;;rhodo-double;4;12;32;45.97275796700965
194;20.14514968395233;254.1174768518519;;rhodo-double;6;18;32;34.51152650325533
195;25.374682593345643;263.74189814814815;;rhodo-double;8;24;32;26.86395959672171
256;19.572715210914613;31.31944444444445;;rhodo-double;1;16;256;100.0
258;29.8019597530365;44.99074074074074;;rhodo-double;2;28;256;71.82557280118255
261;32.65986552238464;62.739583333333336;;rhodo-double;4;32;256;50.08037694013303
265;48.178568387031554;72.3576388888889;;rhodo-double;6;48;256;38.50517368810052
268;47.766528081893924;84.12210648148148;;rhodo-double;8;48;256;33.57423318551367
257;45.098980402946474;12.52662037037037;;rhodo-double;1;36;864;100.0
259;41.47271816730499;19.75115740740741;;rhodo-double;2;36;864;78.8367365795066
262;39.942925691604614;26.48784722222222;;rhodo-double;4;36;864;52.86311558717546
266;50.839626860618594;33.6255787037037;;rhodo-double;6;48;864;44.73882780498321
269;50.510329723358154;35.57581018518518;;rhodo-double;8;48;864;35.50020789060334
255;38.01894013881683;5.112268518518518;;rhodo-double;1;16;2048;100.0
260;59.82800776958466;9.857638888888888;;rhodo-double;2;48;2048;96.4115915779941
263;56.9874746799469;12.559027777777779;;rhodo-double;4;48;2048;61.416119538148074
264;55.19694871902466;15.689814814814817;;rhodo-double;6;48;2048;51.15085653912913
267;54.81303927898407;16.563078703703706;;rhodo-double;8;48;2048;40.4983586144442
250;10.776033091545106;145.7002314814815;;rhodo-single;1;6;32;100.0
251;15.92288556098938;168.92071759259258;;rhodo-single;2;12;32;57.96858243635062
252;14.765042686462403;240.39988425925927;;rhodo-single;4;12;32;41.249056678714695
253;19.90478277206421;271.2795138888889;;rhodo-single;6;18;32;31.031695595186083
254;25.151984524726867;292.8599537037037;;rhodo-single;8;24;32;25.12521348850141
271;18.669449901580812;41.99074074074074;;rhodo-single;1;16;256;100.0
273;29.019561958312988;56.37210648148148;;rhodo-single;2;28;256;67.12444873208379
276;32.35326352119446;72.91956018518519;;rhodo-single;4;32;256;43.41407111356119
280;47.81280670166016;86.54745370370371;;rhodo-single;6;48;256;34.35180080852628
283;47.616304183006285;93.2482638888889;;rhodo-single;8;48;256;27.75857910694598
272;42.361075687408444;17.23263888888889;;rhodo-single;1;36;864;100.0
274;39.768859314918515;25.97222222222222;;rhodo-single;2;36;864;75.35764658472698
277;38.884853982925414;30.32928240740741;;rhodo-single;4;36;864;43.99976492712741
281;50.00668134689331;35.96701388888889;;rhodo-single;6;48;864;34.785747867553226
284;50.03130135536194;36.70775462962963;;rhodo-single;8;48;864;26.62662032372893
270;33.8174861907959;6.359375;;rhodo-single;1;16;2048;100.0
275;56.467015051841734;13.622685185185185;;rhodo-single;2;48;2048;107.10710710710711
278;54.88917047977448;15.924189814814815;;rhodo-single;4;48;2048;62.6012376012376
279;54.28910582065582;16.79861111111111;;rhodo-single;6;48;2048;44.02584402584402
282;54.08105597496033;17.111689814814813;;rhodo-single;8;48;2048;33.63477113477113
