Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.eam,32,1,Pair,0.14839,0.1581,0.16412,1.3,71.41
in.eam,32,1,Neigh,0.00016913,0.00019205,0.00020931,0.0,0.09
in.eam,32,1,Comm,0.03605,0.040554,0.046965,1.8,18.32
in.eam,32,1,Output,0.00024967,0.00083242,0.0014036,0.0,0.38
in.eam,32,1,Modify,0.0021511,0.0022114,0.0022977,0.1,1.00
in.eam,32,1,Other,,0.0195,,,8.81
in.eam,32,2,Pair,0.14026,0.149,0.15834,1.2,71.15
in.eam,32,2,Neigh,8.9319e-05,0.00010364,0.00011987,0.0,0.05
in.eam,32,2,Comm,0.033613,0.039587,0.044343,1.6,18.90
in.eam,32,2,Output,0.00023691,0.00082886,0.0014785,0.0,0.40
in.eam,32,2,Modify,0.0012633,0.0014328,0.0016043,0.3,0.68
in.eam,32,2,Other,,0.01847,,,8.82
in.eam,32,4,Pair,0.085031,0.091579,0.096674,1.1,67.44
in.eam,32,4,Neigh,0.0001178,0.00012607,0.00013855,0.0,0.09
in.eam,32,4,Comm,0.029666,0.032809,0.036048,1.1,24.16
in.eam,32,4,Output,0.0001208,0.00044813,0.00072321,0.0,0.33
in.eam,32,4,Modify,0.001447,0.0015383,0.0017228,0.2,1.13
in.eam,32,4,Other,,0.009288,,,6.84
in.eam,32,6,Pair,0.07942,0.08366,0.087652,0.7,66.14
in.eam,32,6,Neigh,7.5803e-05,9.0561e-05,0.00010543,0.0,0.07
in.eam,32,6,Comm,0.029817,0.032515,0.034761,0.7,25.71
in.eam,32,6,Output,0.00014674,0.00044363,0.00072229,0.0,0.35
in.eam,32,6,Modify,0.0010325,0.0011724,0.0014062,0.2,0.93
in.eam,32,6,Other,,0.008599,,,6.80
in.eam,32,8,Pair,0.080528,0.08645,0.089748,0.7,65.94
in.eam,32,8,Neigh,6.095e-05,7.1434e-05,7.9543e-05,0.0,0.05
in.eam,32,8,Comm,0.032444,0.034778,0.039924,1.0,26.53
in.eam,32,8,Output,0.00013235,0.00043205,0.00071729,0.0,0.33
in.eam,32,8,Modify,0.00090978,0.0010045,0.0011353,0.2,0.77
in.eam,32,8,Other,,0.008373,,,6.39
in.eam,256,1,Pair,0.3965,0.40803,0.42265,1.3,68.90
in.eam,256,1,Neigh,0.00082333,0.00086876,0.0009663,0.0,0.15
in.eam,256,1,Comm,0.10616,0.11579,0.12399,1.6,19.55
in.eam,256,1,Output,0.0012332,0.0023933,0.0038551,1.6,0.40
in.eam,256,1,Modify,0.0089055,0.0095215,0.01033,0.4,1.61
in.eam,256,1,Other,,0.05563,,,9.39
in.eam,256,2,Pair,0.30318,0.32066,0.33341,1.2,68.04
in.eam,256,2,Neigh,0.00045247,0.00053409,0.000598,0.0,0.11
in.eam,256,2,Comm,0.090917,0.099452,0.10848,1.4,21.10
in.eam,256,2,Output,0.00026934,0.0022592,0.004494,2.4,0.48
in.eam,256,2,Modify,0.0043636,0.0047914,0.0053592,0.4,1.02
in.eam,256,2,Other,,0.04359,,,9.25
in.eam,256,4,Pair,0.21525,0.22624,0.2415,1.5,65.38
in.eam,256,4,Neigh,0.00042547,0.00047268,0.00078089,0.0,0.14
in.eam,256,4,Comm,0.0714,0.082727,0.092106,1.8,23.91
in.eam,256,4,Output,0.00042565,0.0019639,0.0035383,1.7,0.57
in.eam,256,4,Modify,0.0037447,0.0041475,0.0052029,0.5,1.20
in.eam,256,4,Other,,0.0305,,,8.81
in.eam,256,6,Pair,0.19441,0.20647,0.22805,1.6,65.11
in.eam,256,6,Neigh,0.00026732,0.00031511,0.00054626,0.0,0.10
in.eam,256,6,Comm,0.061856,0.076459,0.08601,1.9,24.11
in.eam,256,6,Output,0.00057898,0.0018306,0.0026877,1.2,0.58
in.eam,256,6,Modify,0.0026883,0.0029878,0.0032671,0.2,0.94
in.eam,256,6,Other,,0.02906,,,9.16
in.eam,256,8,Pair,0.16442,0.17218,0.181,0.8,64.41
in.eam,256,8,Neigh,0.00026275,0.00030012,0.00033084,0.0,0.11
in.eam,256,8,Comm,0.061653,0.068074,0.07359,0.9,25.47
in.eam,256,8,Output,0.00021909,0.0012106,0.0020339,1.3,0.45
in.eam,256,8,Modify,0.0028357,0.0030696,0.0032771,0.2,1.15
in.eam,256,8,Other,,0.02248,,,8.41
in.eam,864,1,Pair,1.2058,1.2771,1.3408,2.7,70.94
in.eam,864,1,Neigh,0.0030712,0.0033024,0.0035203,0.1,0.18
in.eam,864,1,Comm,0.2846,0.32694,0.36542,3.1,18.16
in.eam,864,1,Output,0.0015565,0.0087066,0.016895,4.3,0.48
in.eam,864,1,Modify,0.020801,0.021577,0.022432,0.3,1.20
in.eam,864,1,Other,,0.1627,,,9.04
in.eam,864,1,Pair,0.94431,0.97252,1.0175,1.7,71.08
in.eam,864,1,Neigh,0.0031735,0.0033399,0.0035594,0.2,0.24
in.eam,864,1,Comm,0.21164,0.24949,0.27503,2.7,18.23
in.eam,864,1,Output,0.0013303,0.0058037,0.009903,2.9,0.42
in.eam,864,1,Modify,0.020098,0.021022,0.022233,0.3,1.54
in.eam,864,1,Other,,0.1161,,,8.49
in.eam,864,1,Pair,0.97154,1.0111,1.0548,2.3,70.47
in.eam,864,1,Neigh,0.0029564,0.0031376,0.0033753,0.1,0.22
in.eam,864,1,Comm,0.23174,0.26543,0.29773,3.2,18.50
in.eam,864,1,Output,0.003276,0.0072598,0.013424,3.2,0.51
in.eam,864,1,Modify,0.020829,0.021775,0.024032,0.4,1.52
in.eam,864,1,Other,,0.1261,,,8.79
in.eam,864,2,Pair,0.76805,0.81523,0.84202,1.7,70.58
in.eam,864,2,Neigh,0.0030973,0.0032697,0.0033985,0.1,0.28
in.eam,864,2,Comm,0.18841,0.2122,0.2419,2.3,18.37
in.eam,864,2,Output,0.0018687,0.0064988,0.011649,3.1,0.56
in.eam,864,2,Modify,0.021042,0.021894,0.022624,0.3,1.90
in.eam,864,2,Other,,0.09592,,,8.30
in.eam,864,2,Pair,0.5555,0.57275,0.593,1.4,67.48
in.eam,864,2,Neigh,0.0031149,0.0032689,0.0034835,0.2,0.39
in.eam,864,2,Comm,0.16122,0.17611,0.1896,1.9,20.75
in.eam,864,2,Output,0.0013698,0.0037743,0.0069323,2.2,0.44
in.eam,864,2,Modify,0.020232,0.021443,0.023065,0.4,2.53
in.eam,864,2,Other,,0.0714,,,8.41
in.eam,864,2,Pair,0.59509,0.61292,0.63675,1.3,67.36
in.eam,864,2,Neigh,0.0031075,0.0032646,0.0033911,0.1,0.36
in.eam,864,2,Comm,0.16863,0.18581,0.20406,1.8,20.42
in.eam,864,2,Output,0.00071036,0.0064923,0.010464,3.0,0.71
in.eam,864,2,Modify,0.02092,0.02184,0.023276,0.4,2.40
in.eam,864,2,Other,,0.07962,,,8.75
in.eam,864,4,Pair,0.60142,0.64454,0.69202,2.4,70.56
in.eam,864,4,Neigh,0.0026657,0.0029986,0.0041711,0.4,0.33
in.eam,864,4,Comm,0.14281,0.16828,0.19047,2.5,18.42
in.eam,864,4,Output,0.00053743,0.00621,0.011427,4.1,0.68
in.eam,864,4,Modify,0.02132,0.022568,0.029224,0.8,2.47
in.eam,864,4,Other,,0.06881,,,7.53
in.eam,864,4,Pair,0.39885,0.41184,0.42723,1.1,65.07
in.eam,864,4,Neigh,0.0030085,0.0032699,0.0034944,0.2,0.52
in.eam,864,4,Comm,0.12945,0.14011,0.14835,1.3,22.14
in.eam,864,4,Output,0.0008576,0.0034035,0.0061636,2.5,0.54
in.eam,864,4,Modify,0.021084,0.021911,0.02322,0.3,3.46
in.eam,864,4,Other,,0.0524,,,8.28
in.eam,864,4,Pair,0.42927,0.46467,0.51815,3.6,63.91
in.eam,864,4,Neigh,0.0029918,0.0032605,0.003362,0.1,0.45
in.eam,864,4,Comm,0.13387,0.16241,0.18414,3.4,22.34
in.eam,864,4,Output,0.0011349,0.0061975,0.012001,3.9,0.85
in.eam,864,4,Modify,0.021665,0.022437,0.02335,0.3,3.09
in.eam,864,4,Other,,0.06807,,,9.36
in.eam,864,6,Pair,0.43402,0.45987,0.48889,2.1,67.36
in.eam,864,6,Neigh,0.0029252,0.003121,0.0033297,0.1,0.46
in.eam,864,6,Comm,0.11911,0.14104,0.15824,2.4,20.66
in.eam,864,6,Output,0.001175,0.0051788,0.0078893,2.7,0.76
in.eam,864,6,Modify,0.015526,0.016228,0.017023,0.3,2.38
in.eam,864,6,Other,,0.05731,,,8.39
in.eam,864,6,Pair,0.28994,0.30377,0.31872,1.2,60.90
in.eam,864,6,Neigh,0.0027601,0.003058,0.0038094,0.3,0.61
in.eam,864,6,Comm,0.11637,0.12554,0.13551,1.2,25.17
in.eam,864,6,Output,0.00085182,0.002886,0.0042398,1.7,0.58
in.eam,864,6,Modify,0.015371,0.016085,0.017017,0.3,3.22
in.eam,864,6,Other,,0.04749,,,9.52
in.eam,864,6,Pair,0.29435,0.32678,0.36827,3.3,59.74
in.eam,864,6,Neigh,0.0027629,0.0030367,0.0033073,0.2,0.56
in.eam,864,6,Comm,0.11088,0.13987,0.16081,3.1,25.57
in.eam,864,6,Output,0.0015501,0.0057132,0.0086844,2.3,1.04
in.eam,864,6,Modify,0.015826,0.016617,0.017573,0.3,3.04
in.eam,864,6,Other,,0.05503,,,10.06
in.eam,864,8,Pair,0.36695,0.38276,0.39478,1.1,66.11
in.eam,864,8,Neigh,0.0028856,0.0030387,0.0031503,0.1,0.52
in.eam,864,8,Comm,0.11842,0.12621,0.13678,1.2,21.80
in.eam,864,8,Output,0.00062378,0.0032085,0.005716,2.6,0.55
in.eam,864,8,Modify,0.015822,0.016813,0.01792,0.3,2.90
in.eam,864,8,Other,,0.04691,,,8.10
in.eam,864,8,Pair,0.25305,0.25971,0.27578,0.9,59.06
in.eam,864,8,Neigh,0.0028002,0.0030388,0.0032465,0.2,0.69
in.eam,864,8,Comm,0.10858,0.11707,0.12246,0.9,26.62
in.eam,864,8,Output,0.00073827,0.0017246,0.002795,1.3,0.39
in.eam,864,8,Modify,0.016702,0.017563,0.019813,0.4,3.99
in.eam,864,8,Other,,0.04062,,,9.24
in.eam,864,8,Pair,0.26334,0.27985,0.30224,1.8,59.42
in.eam,864,8,Neigh,0.0029251,0.0030887,0.0032312,0.1,0.66
in.eam,864,8,Comm,0.10782,0.12392,0.13375,1.8,26.31
in.eam,864,8,Output,0.00042435,0.0031948,0.0058172,2.9,0.68
in.eam,864,8,Modify,0.016188,0.016787,0.017947,0.3,3.56
in.eam,864,8,Other,,0.04412,,,9.37
in.eam,2048,1,Pair,1.5433,1.6199,1.7226,4.3,61.97
in.eam,2048,1,Neigh,0.013771,0.01418,0.016334,0.5,0.54
in.eam,2048,1,Comm,0.46118,0.55156,0.61115,6.0,21.10
in.eam,2048,1,Output,0.0014757,0.015569,0.028756,6.4,0.60
in.eam,2048,1,Modify,0.1196,0.12621,0.13022,0.8,4.83
in.eam,2048,1,Other,,0.2865,,,10.96
in.eam,2048,1,Pair,1.007,1.0455,1.1059,2.5,57.29
in.eam,2048,1,Neigh,0.01364,0.014005,0.015563,0.4,0.77
in.eam,2048,1,Comm,0.37092,0.41566,0.43418,2.5,22.78
in.eam,2048,1,Output,0.0039766,0.0086113,0.014197,2.9,0.47
in.eam,2048,1,Modify,0.12698,0.13201,0.13661,0.9,7.23
in.eam,2048,1,Other,,0.2092,,,11.46
in.eam,2048,1,Pair,1.0753,1.114,1.1563,2.2,57.62
in.eam,2048,1,Neigh,0.013832,0.014097,0.01432,0.1,0.73
in.eam,2048,1,Comm,0.42115,0.43977,0.46612,2.0,22.75
in.eam,2048,1,Output,0.0064896,0.015801,0.023394,4.1,0.82
in.eam,2048,1,Modify,0.12885,0.13369,0.14201,1.0,6.91
in.eam,2048,1,Other,,0.216,,,11.17
in.eam,2048,2,Pair,1.3473,1.4025,1.4684,2.3,68.25
in.eam,2048,2,Neigh,0.010234,0.010916,0.012252,0.3,0.53
in.eam,2048,2,Comm,0.34809,0.40027,0.43754,3.2,19.48
in.eam,2048,2,Output,0.0028518,0.015484,0.027799,5.5,0.75
in.eam,2048,2,Modify,0.042535,0.043842,0.045166,0.3,2.13
in.eam,2048,2,Other,,0.182,,,8.86
in.eam,2048,2,Pair,0.93844,0.97135,1.0245,2.1,65.67
in.eam,2048,2,Neigh,0.0097906,0.01079,0.011798,0.4,0.73
in.eam,2048,2,Comm,0.28119,0.30845,0.33347,2.3,20.85
in.eam,2048,2,Output,0.0028173,0.0093265,0.015579,3.0,0.63
in.eam,2048,2,Modify,0.042021,0.043525,0.045333,0.4,2.94
in.eam,2048,2,Other,,0.1356,,,9.17
in.eam,2048,2,Pair,0.99706,1.0501,1.1051,2.3,64.63
in.eam,2048,2,Neigh,0.010136,0.010848,0.011372,0.3,0.67
in.eam,2048,2,Comm,0.30055,0.34726,0.3803,2.9,21.37
in.eam,2048,2,Output,0.0025191,0.015601,0.026108,4.3,0.96
in.eam,2048,2,Modify,0.041714,0.043043,0.045216,0.4,2.65
in.eam,2048,2,Other,,0.1579,,,9.72
in.eam,2048,4,Pair,1.2021,1.3041,1.4331,5.6,69.14
in.eam,2048,4,Neigh,0.0099158,0.01079,0.012091,0.6,0.57
in.eam,2048,4,Comm,0.25468,0.348,0.41128,6.5,18.45
in.eam,2048,4,Output,0.0017173,0.011984,0.024253,6.4,0.64
in.eam,2048,4,Modify,0.043689,0.045598,0.049349,0.5,2.42
in.eam,2048,4,Other,,0.1656,,,8.78
in.eam,2048,4,Pair,0.70985,0.74398,0.77216,2.1,62.21
in.eam,2048,4,Neigh,0.010283,0.010918,0.011689,0.3,0.91
in.eam,2048,4,Comm,0.24996,0.26943,0.29208,2.1,22.53
in.eam,2048,4,Output,0.0017463,0.0088152,0.015388,3.8,0.74
in.eam,2048,4,Modify,0.046485,0.051238,0.056534,1.5,4.28
in.eam,2048,4,Other,,0.1116,,,9.33
in.eam,2048,4,Pair,0.80004,0.88559,0.99951,6.9,61.38
in.eam,2048,4,Neigh,0.0099956,0.010857,0.011799,0.4,0.75
in.eam,2048,4,Comm,0.27784,0.33489,0.38982,6.5,23.21
in.eam,2048,4,Output,0.0016254,0.012763,0.029016,7.6,0.88
in.eam,2048,4,Modify,0.043394,0.044766,0.047292,0.4,3.10
in.eam,2048,4,Other,,0.1538,,,10.66
in.eam,2048,6,Pair,0.81465,0.89612,0.99112,5.5,64.47
in.eam,2048,6,Neigh,0.01021,0.010892,0.011763,0.3,0.78
in.eam,2048,6,Comm,0.23827,0.28875,0.33437,5.1,20.77
in.eam,2048,6,Output,0.0016795,0.010561,0.018969,5.5,0.76
in.eam,2048,6,Modify,0.045457,0.052096,0.060146,2.2,3.75
in.eam,2048,6,Other,,0.1315,,,9.46
in.eam,2048,6,Pair,0.51661,0.54681,0.5825,2.6,56.45
in.eam,2048,6,Neigh,0.0099264,0.010701,0.011427,0.4,1.10
in.eam,2048,6,Comm,0.20088,0.22385,0.23787,1.6,23.11
in.eam,2048,6,Output,0.0018066,0.0066363,0.010158,2.8,0.69
in.eam,2048,6,Modify,0.072229,0.084384,0.098216,3.0,8.71
in.eam,2048,6,Other,,0.09635,,,9.95
in.eam,2048,6,Pair,0.52448,0.60214,0.70912,7.4,55.17
in.eam,2048,6,Neigh,0.010435,0.010863,0.011529,0.3,1.00
in.eam,2048,6,Comm,0.23258,0.28886,0.32088,5.2,26.47
in.eam,2048,6,Output,0.0012994,0.010458,0.019341,5.7,0.96
in.eam,2048,6,Modify,0.04733,0.056037,0.069793,3.5,5.13
in.eam,2048,6,Other,,0.123,,,11.27
in.eam,2048,8,Pair,0.72328,0.78298,0.83575,3.9,64.52
in.eam,2048,8,Neigh,0.010218,0.010892,0.011967,0.3,0.90
in.eam,2048,8,Comm,0.22148,0.25055,0.28482,3.6,20.65
in.eam,2048,8,Output,0.00132,0.0059455,0.01424,5.2,0.49
in.eam,2048,8,Modify,0.054091,0.057789,0.060606,0.6,4.76
in.eam,2048,8,Other,,0.1053,,,8.68
in.eam,2048,8,Pair,0.4366,0.46445,0.49393,1.9,51.75
in.eam,2048,8,Neigh,0.0098388,0.01073,0.011429,0.4,1.20
in.eam,2048,8,Comm,0.20347,0.21869,0.23371,1.4,24.37
in.eam,2048,8,Output,0.0021099,0.0047557,0.0075251,2.2,0.53
