Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
62.7,23863307946,12,1988608995.5,1842330411,2076425200,82335243.0,CUDA_API,cuCtxCreate_v2,in.rhodo,32,1
20.9,7958348134,12,663195677.8,635438156,723809040,28355094.8,CUDA_API,cuCtxDestroy_v2,in.rhodo,32,1
8.2,3121781470,49548,63005.2,1471,6240399,404662.2,CUDA_API,cuEventSynchronize,in.rhodo,32,1
1.3,505241464,3606,140111.3,132128,162880,3733.9,CUDA_KERNEL,k_charmm_long,in.rhodo,32,1
1.2,446027912,3606,123690.5,113985,156800,5620.7,CUDA_KERNEL,make_rho,in.rhodo,32,1
0.8,286929001,12846,22336.1,1568,55904,12046.8,MEMORY_OPER,[CUDA memcpy HtoD],in.rhodo,32,1
0.7,271549772,1224,221854.4,10925,689894,152688.8,CUDA_API,cuMemcpyHtoD_v2,in.rhodo,32,1
0.7,256545743,402,638173.5,620063,747360,23331.4,CUDA_KERNEL,calc_neigh_list_cell,in.rhodo,32,1
0.7,252356719,91968,2744.0,1631,73290,1287.2,CUDA_API,cuEventRecord,in.rhodo,32,1
0.4,151839997,18108,8385.2,1855,27744,5689.6,MEMORY_OPER,[CUDA memcpy DtoH],in.rhodo,32,1
0.4,140778086,15708,8962.2,4845,77086,3317.4,CUDA_API,cuLaunchKernel,in.rhodo,32,1
0.3,97853449,42,2329844.0,6528,14920480,4612894.7,CUDA_API,cuMemHostAlloc,in.rhodo,32,1
0.3,96996216,11622,8345.9,3796,158413,3413.3,CUDA_API,cuMemcpyHtoDAsync_v2,in.rhodo,32,1
0.2,94194061,18096,5205.2,3272,17568,1294.0,CUDA_API,cuMemcpyDtoHAsync_v2,in.rhodo,32,1
0.2,92007287,3606,25515.1,22848,40512,1833.2,CUDA_KERNEL,interp,in.rhodo,32,1
0.2,72417687,402,180143.5,171713,214913,6080.1,CUDA_KERNEL,kernel_special,in.rhodo,32,1
