Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.rhodo,32,1,Pair,0.49166,0.54017,0.60014,5.8,12.82
in.rhodo,32,1,Bond,1.0224,1.1082,1.1902,5.9,26.30
in.rhodo,32,1,Kspace,0.84963,0.92764,1.0327,7.0,22.02
in.rhodo,32,1,Neigh,0.09074,0.093904,0.096023,0.7,2.23
in.rhodo,32,1,Comm,0.28007,0.31152,0.33404,3.4,7.39
in.rhodo,32,1,Output,0.00083837,0.00089392,0.0011162,0.0,0.02
in.rhodo,32,1,Modify,1.0916,1.1646,1.2654,6.4,27.64
in.rhodo,32,1,Other,,0.06674,,,1.58
in.rhodo,32,2,Pair,0.78445,0.82655,0.88416,2.8,22.76
in.rhodo,32,2,Bond,0.46468,0.55557,0.642,6.5,15.30
in.rhodo,32,2,Kspace,1.0479,1.1342,1.2352,4.5,31.23
in.rhodo,32,2,Neigh,0.051897,0.052408,0.05308,0.1,1.44
in.rhodo,32,2,Comm,0.22869,0.24319,0.27007,3.5,6.70
in.rhodo,32,2,Output,0.00092137,0.00094992,0.0012149,0.0,0.03
in.rhodo,32,2,Modify,0.68496,0.77512,0.83903,5.4,21.34
in.rhodo,32,2,Other,,0.04357,,,1.20
in.rhodo,32,4,Pair,0.31309,0.35576,0.39396,4.0,13.73
in.rhodo,32,4,Bond,0.50278,0.57388,0.63013,5.6,22.15
in.rhodo,32,4,Kspace,0.58302,0.64849,0.69803,5.1,25.03
in.rhodo,32,4,Neigh,0.045745,0.046613,0.04728,0.2,1.80
in.rhodo,32,4,Comm,0.23147,0.2449,0.27268,3.6,9.45
in.rhodo,32,4,Output,0.00089287,0.00092687,0.0011928,0.0,0.04
in.rhodo,32,4,Modify,0.60428,0.67409,0.71579,4.3,26.02
in.rhodo,32,4,Other,,0.04577,,,1.77
in.rhodo,32,6,Pair,0.27607,0.31278,0.36244,4.4,13.26
in.rhodo,32,6,Bond,0.2258,0.38913,0.65387,25.7,16.49
in.rhodo,32,6,Kspace,0.56599,0.82137,0.98805,17.4,34.81
in.rhodo,32,6,Neigh,0.042156,0.04337,0.044279,0.2,1.84
in.rhodo,32,6,Comm,0.20923,0.22033,0.25241,3.2,9.34
in.rhodo,32,6,Output,0.00081829,0.0008433,0.0010988,0.0,0.04
in.rhodo,32,6,Modify,0.45758,0.53386,0.58466,5.7,22.63
in.rhodo,32,6,Other,,0.0378,,,1.60
in.rhodo,32,8,Pair,0.25406,0.29673,0.33826,4.2,13.64
in.rhodo,32,8,Bond,0.16024,0.30105,0.51753,22.3,13.83
in.rhodo,32,8,Kspace,0.61214,0.82545,0.97251,13.5,37.93
in.rhodo,32,8,Neigh,0.036474,0.03816,0.039302,0.4,1.75
in.rhodo,32,8,Comm,0.19552,0.2278,0.24646,3.6,10.47
in.rhodo,32,8,Output,0.0018246,0.0018471,0.0021166,0.1,0.08
in.rhodo,32,8,Modify,0.36442,0.42632,0.51031,6.3,19.59
in.rhodo,32,8,Other,,0.05875,,,2.70
in.rhodo,256,1,Pair,0.49366,0.50886,0.5259,1.1,20.51
in.rhodo,256,1,Bond,0.51413,0.53855,0.57701,2.8,21.71
in.rhodo,256,1,Kspace,0.46196,0.50175,0.52563,2.9,20.22
in.rhodo,256,1,Neigh,0.074897,0.076492,0.077201,0.2,3.08
