Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.lj,32,1,Pair,0.042971,0.055854,0.064412,2.9,48.75
in.lj,32,1,Neigh,1.734e-06,1.9333e-06,2.227e-06,0.0,0.00
in.lj,32,1,Comm,0.045738,0.053711,0.066592,2.9,46.88
in.lj,32,1,Output,5.5147e-05,0.00057865,0.0010932,0.0,0.51
in.lj,32,1,Modify,0.0020905,0.0025128,0.0029977,0.5,2.19
in.lj,32,1,Other,,0.001922,,,1.68
in.lj,32,2,Pair,0.037332,0.048868,0.062997,3.0,45.90
in.lj,32,2,Neigh,1.585e-06,1.9685e-06,2.664e-06,0.0,0.00
in.lj,32,2,Comm,0.039965,0.054455,0.066384,2.9,51.15
in.lj,32,2,Output,5.5588e-05,0.00059863,0.0010901,0.0,0.56
in.lj,32,2,Modify,0.0011852,0.0014727,0.0016784,0.4,1.38
in.lj,32,2,Other,,0.001061,,,1.00
in.lj,32,4,Pair,0.027273,0.032223,0.038967,2.0,43.37
in.lj,32,4,Neigh,1.799e-06,2.1588e-06,2.658e-06,0.0,0.00
in.lj,32,4,Comm,0.032375,0.038686,0.04344,1.8,52.07
in.lj,32,4,Output,5.7436e-05,0.00028936,0.00045662,0.0,0.39
in.lj,32,4,Modify,0.0016809,0.0018469,0.0020106,0.2,2.49
in.lj,32,4,Other,,0.001255,,,1.69
in.lj,32,6,Pair,0.017741,0.023112,0.033071,2.4,33.14
in.lj,32,6,Neigh,2.016e-06,2.7927e-06,4.139e-06,0.0,0.00
in.lj,32,6,Comm,0.033164,0.043838,0.049084,1.7,62.85
in.lj,32,6,Output,8.106e-05,0.00032503,0.00054499,0.0,0.47
in.lj,32,6,Modify,0.0012456,0.0014054,0.0018072,0.3,2.02
in.lj,32,6,Other,,0.001063,,,1.52
in.lj,32,8,Pair,0.019236,0.025574,0.03194,1.9,37.02
in.lj,32,8,Neigh,2.367e-06,3.0625e-06,4.179e-06,0.0,0.00
in.lj,32,8,Comm,0.034583,0.041109,0.047342,1.5,59.51
in.lj,32,8,Output,6.134e-05,0.00037658,0.00058879,0.0,0.55
in.lj,32,8,Modify,0.0010535,0.0011356,0.0012265,0.1,1.64
in.lj,32,8,Other,,0.0008768,,,1.27
in.lj,256,1,Pair,0.12107,0.13781,0.15575,2.9,45.70
in.lj,256,1,Neigh,2.025e-06,2.8434e-06,3.803e-06,0.0,0.00
in.lj,256,1,Comm,0.13028,0.14666,0.16227,2.8,48.63
in.lj,256,1,Output,0.00013278,0.001718,0.0033005,2.3,0.57
in.lj,256,1,Modify,0.0091072,0.0095076,0.01027,0.3,3.15
in.lj,256,1,Other,,0.005876,,,1.95
in.lj,256,2,Pair,0.06713,0.088922,0.13041,5.4,35.21
in.lj,256,2,Neigh,2.602e-06,3.474e-06,4.731e-06,0.0,0.00
in.lj,256,2,Comm,0.10634,0.15247,0.17444,4.5,60.38
in.lj,256,2,Output,9.682e-05,0.0013947,0.0023209,1.9,0.55
in.lj,256,2,Modify,0.004652,0.0053556,0.0075501,1.0,2.12
in.lj,256,2,Other,,0.004385,,,1.74
in.lj,256,4,Pair,0.047624,0.073104,0.11487,5.0,35.81
in.lj,256,4,Neigh,2.499e-06,3.5324e-06,4.685e-06,0.0,0.00
in.lj,256,4,Comm,0.077181,0.1216,0.14763,4.1,59.56
in.lj,256,4,Output,0.00010414,0.00090227,0.0013848,0.0,0.44
in.lj,256,4,Modify,0.0042542,0.0047723,0.0059171,0.6,2.34
in.lj,256,4,Other,,0.003773,,,1.85
in.lj,256,6,Pair,0.046677,0.06156,0.091506,3.8,33.87
in.lj,256,6,Neigh,2.641e-06,3.7768e-06,4.992e-06,0.0,0.00
in.lj,256,6,Comm,0.082978,0.1134,0.12753,2.8,62.39
in.lj,256,6,Output,8.0024e-05,0.0010641,0.0019486,1.5,0.59
in.lj,256,6,Modify,0.0028923,0.0032386,0.0038519,0.4,1.78
in.lj,256,6,Other,,0.002507,,,1.38
in.lj,256,8,Pair,0.042799,0.054397,0.067729,2.0,34.44
in.lj,256,8,Neigh,2.668e-06,3.9718e-06,5.007e-06,0.0,0.00
in.lj,256,8,Comm,0.083185,0.096924,0.10856,1.6,61.36
in.lj,256,8,Output,0.00018209,0.00086964,0.0014416,0.0,0.55
in.lj,256,8,Modify,0.0028383,0.0032369,0.0036726,0.3,2.05
in.lj,256,8,Other,,0.00253,,,1.60
in.lj,864,1,Pair,0.44869,0.49726,0.54906,3.3,55.01
in.lj,864,1,Neigh,3.934e-06,5.663e-06,1.3818e-05,0.0,0.00
in.lj,864,1,Comm,0.31344,0.36683,0.41525,4.0,40.58
in.lj,864,1,Output,0.00028702,0.0051685,0.01054,4.2,0.57
in.lj,864,1,Modify,0.020609,0.021218,0.022854,0.3,2.35
in.lj,864,1,Other,,0.01342,,,1.48
in.lj,864,1,Pair,0.35435,0.40166,0.44689,3.1,51.82
in.lj,864,1,Neigh,3.206e-06,4.6745e-06,9.405e-06,0.0,0.00
in.lj,864,1,Comm,0.29056,0.33449,0.37736,3.3,43.15
in.lj,864,1,Output,0.00024463,0.004705,0.0095043,3.9,0.61
in.lj,864,1,Modify,0.02021,0.021037,0.021687,0.2,2.71
in.lj,864,1,Other,,0.01325,,,1.71
