Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.chain,32,1,Pair,0.086183,0.1004,0.10999,2.6,43.99
in.chain,32,1,Bond,0.016883,0.017038,0.017471,0.2,7.46
in.chain,32,1,Neigh,0.0037465,0.0038741,0.0040073,0.2,1.70
in.chain,32,1,Comm,0.022031,0.025875,0.027859,1.3,11.34
in.chain,32,1,Output,6.2015e-05,0.00045002,0.00078579,0.0,0.20
in.chain,32,1,Modify,0.044155,0.045085,0.04659,0.4,19.75
in.chain,32,1,Other,,0.03553,,,15.56
in.chain,32,2,Pair,0.084216,0.093581,0.10135,1.9,48.09
in.chain,32,2,Bond,0.0088009,0.0089193,0.009016,0.1,4.58
in.chain,32,2,Neigh,0.0021883,0.0022332,0.0022683,0.0,1.15
in.chain,32,2,Comm,0.024806,0.027136,0.031382,1.1,13.94
in.chain,32,2,Output,5.4266e-05,0.00050646,0.001026,0.0,0.26
in.chain,32,2,Modify,0.02356,0.02405,0.024394,0.2,12.36
in.chain,32,2,Other,,0.03819,,,19.62
in.chain,32,4,Pair,0.04276,0.050046,0.057369,2.0,37.88
in.chain,32,4,Bond,0.0085788,0.0090023,0.0094279,0.3,6.81
in.chain,32,4,Neigh,0.0021879,0.0022719,0.0023419,0.1,1.72
in.chain,32,4,Comm,0.023462,0.026604,0.028975,1.2,20.14
in.chain,32,4,Output,6.7144e-05,0.0001563,0.00018501,0.0,0.12
in.chain,32,4,Modify,0.023293,0.024611,0.025849,0.5,18.63
in.chain,32,4,Other,,0.01941,,,14.69
in.chain,32,6,Pair,0.045287,0.050277,0.05728,1.3,39.66
in.chain,32,6,Bond,0.0067962,0.0072854,0.008148,0.3,5.75
in.chain,32,6,Neigh,0.0021179,0.0022141,0.0022948,0.1,1.75
in.chain,32,6,Comm,0.02397,0.026977,0.030398,1.0,21.28
in.chain,32,6,Output,4.5362e-05,0.00018187,0.00027663,0.0,0.14
in.chain,32,6,Modify,0.019579,0.020388,0.021261,0.4,16.08
in.chain,32,6,Other,,0.01944,,,15.34
in.chain,32,8,Pair,0.046905,0.050515,0.054415,1.1,42.11
in.chain,32,8,Bond,0.0053546,0.0055553,0.0059935,0.2,4.63
in.chain,32,8,Neigh,0.001911,0.0020349,0.0021875,0.2,1.70
in.chain,32,8,Comm,0.024331,0.027101,0.029099,0.7,22.59
in.chain,32,8,Output,7.3112e-05,0.0003339,0.00064097,0.0,0.28
in.chain,32,8,Modify,0.015217,0.015716,0.016724,0.3,13.10
in.chain,32,8,Other,,0.01871,,,15.60
in.chain,256,1,Pair,0.17655,0.19516,0.2134,1.9,32.19
in.chain,256,1,Bond,0.055441,0.057036,0.06325,0.7,9.41
in.chain,256,1,Neigh,0.023086,0.023846,0.02449,0.3,3.93
in.chain,256,1,Comm,0.068197,0.077596,0.08642,1.5,12.80
in.chain,256,1,Output,0.00013299,0.0010349,0.0041189,4.0,0.17
in.chain,256,1,Modify,0.118,0.13223,0.13967,1.2,21.81
in.chain,256,1,Other,,0.1193,,,19.69
in.chain,256,2,Pair,0.16036,0.18394,0.20844,2.5,37.24
in.chain,256,2,Bond,0.031554,0.03315,0.034753,0.4,6.71
in.chain,256,2,Neigh,0.01314,0.014453,0.015573,0.4,2.93
in.chain,256,2,Comm,0.061764,0.076055,0.094636,3.5,15.40
in.chain,256,2,Output,8.4611e-05,0.0007708,0.001186,0.0,0.16
in.chain,256,2,Modify,0.069666,0.077791,0.082751,1.6,15.75
in.chain,256,2,Other,,0.1078,,,21.82
in.chain,256,4,Pair,0.089894,0.1135,0.14214,4.0,27.88
in.chain,256,4,Bond,0.027623,0.030933,0.05139,3.6,7.60
in.chain,256,4,Neigh,0.016441,0.020884,0.02209,1.0,5.13
in.chain,256,4,Comm,0.066074,0.09808,0.11474,4.3,24.09
in.chain,256,4,Output,0.00010871,0.00058442,0.00096242,0.0,0.14
in.chain,256,4,Modify,0.06623,0.073652,0.088585,1.8,18.09
in.chain,256,4,Other,,0.06949,,,17.07
in.chain,256,6,Pair,0.1108,0.12788,0.14475,2.4,38.80
in.chain,256,6,Bond,0.018808,0.019728,0.021855,0.3,5.99
in.chain,256,6,Neigh,0.0086926,0.009215,0.0097298,0.3,2.80
in.chain,256,6,Comm,0.050569,0.05802,0.064439,1.3,17.60
in.chain,256,6,Output,8.4634e-05,0.00052774,0.00073414,0.0,0.16
in.chain,256,6,Modify,0.047008,0.050137,0.052664,0.5,15.21
in.chain,256,6,Other,,0.06406,,,19.44
in.chain,256,8,Pair,0.088187,0.10012,0.11334,2.0,35.29
in.chain,256,8,Bond,0.017381,0.020142,0.021044,0.3,7.10
in.chain,256,8,Neigh,0.0087963,0.0094611,0.010031,0.3,3.34
in.chain,256,8,Comm,0.046494,0.052273,0.058117,1.2,18.43
in.chain,256,8,Output,8.4313e-05,0.00040046,0.00060253,0.0,0.14
in.chain,256,8,Modify,0.044508,0.051105,0.056037,0.7,18.02
in.chain,256,8,Other,,0.05018,,,17.69
in.chain,864,1,Pair,0.44431,0.48879,0.52696,2.7,39.25
in.chain,864,1,Bond,0.094239,0.096666,0.10394,0.6,7.76
in.chain,864,1,Neigh,0.043285,0.04558,0.046612,0.4,3.66
in.chain,864,1,Comm,0.13502,0.14814,0.16298,2.0,11.90
in.chain,864,1,Output,0.00017988,0.0022735,0.0040766,2.5,0.18
in.chain,864,1,Modify,0.17486,0.17852,0.18937,1.1,14.34
in.chain,864,1,Other,,0.2853,,,22.91
in.chain,864,2,Pair,0.28146,0.30377,0.33345,2.2,31.50
in.chain,864,2,Bond,0.092981,0.097395,0.10241,0.6,10.10
in.chain,864,2,Neigh,0.043891,0.046275,0.048035,0.4,4.80
in.chain,864,2,Comm,0.12554,0.13863,0.14891,1.7,14.37
in.chain,864,2,Output,0.0001614,0.0014227,0.0020628,1.5,0.15
in.chain,864,2,Modify,0.16791,0.18528,0.1956,1.9,19.21
in.chain,864,2,Other,,0.1917,,,19.88
in.chain,864,4,Pair,0.20799,0.23754,0.27514,5.0,27.25
in.chain,864,4,Bond,0.095159,0.099532,0.10693,0.8,11.42
in.chain,864,4,Neigh,0.045433,0.047319,0.048921,0.4,5.43
in.chain,864,4,Comm,0.13174,0.14426,0.15589,1.6,16.55
