Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
69.5,24304991181,12,2025415931.8,1975426380,2043991879,18871741.6,CUDA_API,cuCtxCreate_v2
28.1,9806177908,12,817181492.3,780139186,828989528,15998916.3,CUDA_API,cuCtxDestroy_v2
1.0,336697961,3642,92448.6,1589,1304228,211895.0,CUDA_API,cuEventSynchronize
0.5,164709143,486,338907.7,8434,700541,216688.9,CUDA_API,cuMemcpyHtoD_v2
0.3,97755303,30,3258510.1,9017,16166507,5615159.0,CUDA_API,cuMemHostAlloc
0.2,83521641,66,1265479.4,7592,8668876,2369318.5,CUDA_API,cuMemFreeHost
0.1,36795532,156,235868.8,5203,2912048,637728.1,CUDA_API,cuMemFree_v2
0.1,22331843,1470,15191.7,1568,34881,11026.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,16710867,6168,2709.3,1790,16718,1130.5,CUDA_API,cuEventRecord
0.0,15689039,156,100570.8,4492,1057948,233036.2,CUDA_API,cuMemAlloc_v2
0.0,11721816,1152,10175.2,5081,41508,4021.2,CUDA_API,cuLaunchKernel
0.0,9803443,36,272317.9,6892,1636894,596034.2,CUDA_API,cuMemAllocHost_v2
0.0,9659153,696,13878.1,1920,25792,4698.3,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,8613164,156,55212.6,52512,59456,2167.2,CUDA_KERNEL,calc_neigh_list_cell
0.0,8067615,984,8198.8,3550,23274,2640.8,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,6656305,606,10984.0,8480,26368,1951.4,CUDA_KERNEL,k_lj_fast
0.0,3984877,684,5825.8,3658,18454,1691.7,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,3582897,24,149287.4,74913,204831,46308.3,CUDA_API,cuModuleLoadDataEx
0.0,3582432,132,27139.6,2084,602938,80874.4,CUDA_API,cuStreamSynchronize
0.0,1248227,156,8001.5,7296,9024,412.6,CUDA_KERNEL,kernel_special
0.0,968408,6,161401.3,69529,230778,61211.4,CUDA_API,cuMemGetInfo_v2
0.0,756325,156,4848.2,4512,5920,290.8,CUDA_KERNEL,transpose
0.0,469572,12,39131.0,32107,43166,3122.9,CUDA_API,cuMemcpyDtoH_v2
0.0,233920,66,3544.2,3296,4289,154.0,CUDA_KERNEL,kernel_zero
0.0,213522,192,1112.1,530,6676,1072.2,CUDA_API,cuEventCreate
0.0,107502,192,559.9,307,1805,261.1,CUDA_API,cuEventDestroy_v2
0.0,72881,6,12146.8,11086,13080,804.5,CUDA_API,cuMemsetD8Async
0.0,44831,12,3735.9,3584,4000,133.8,CUDA_KERNEL,kernel_info
0.0,27877,6,4646.2,3043,6099,1196.1,CUDA_API,cuInit
0.0,11071,6,1845.2,1824,1888,26.0,MEMORY_OPER,[CUDA memset]

