Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
64.3,89774812567,24,3740617190.3,3591694749,3767215461,39021613.8,CUDA_API,cuCtxCreate_v2
34.6,48316698544,24,2013195772.7,1945038507,2090070102,50221340.9,CUDA_API,cuCtxDestroy_v2
0.3,465622234,72,6466975.5,6993,35728153,11812294.3,CUDA_API,cuMemHostAlloc
0.2,279182698,144,1938768.7,7753,15006123,3944957.3,CUDA_API,cuMemFreeHost
0.2,252418072,7284,34653.8,1582,607147,83248.0,CUDA_API,cuEventSynchronize
0.1,167801210,972,172635.0,16268,548083,106289.4,CUDA_API,cuMemcpyHtoD_v2
0.1,87844551,314,279759.7,5394,6082766,1013753.4,CUDA_API,cuMemFree_v2
0.0,51960705,314,165480.0,4166,3335802,492131.2,CUDA_API,cuMemAlloc_v2
0.0,35534918,12336,2880.6,1785,25637,1304.1,CUDA_API,cuEventRecord
0.0,29141822,2940,9912.2,1504,33344,7123.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,26016306,72,361337.6,6274,2606203,802105.4,CUDA_API,cuMemAllocHost_v2
0.0,25213331,2304,10943.3,4744,694545,15014.6,CUDA_API,cuLaunchKernel
0.0,16400648,1968,8333.7,3584,27088,3251.0,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,9548215,312,30603.3,27840,32448,1312.2,CUDA_KERNEL,calc_neigh_list_cell
0.0,8783025,1212,7246.7,6336,14112,668.8,CUDA_KERNEL,k_lj_fast
0.0,8510315,1368,6221.0,3622,23060,1600.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,7130721,48,148556.7,76586,270309,46883.1,CUDA_API,cuModuleLoadDataEx
0.0,5838585,1392,4194.4,1632,16128,960.3,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,3556813,264,13472.8,2053,274444,31334.3,CUDA_API,cuStreamSynchronize
0.0,3220519,12,268376.6,75765,433984,118219.1,CUDA_API,cuMemGetInfo_v2
0.0,2097375,312,6722.4,5920,8768,415.6,CUDA_KERNEL,kernel_special
0.0,1399202,312,4484.6,3583,7039,711.9,CUDA_KERNEL,transpose
0.0,1185072,24,49378.0,31702,139906,24561.1,CUDA_API,cuMemcpyDtoH_v2
0.0,534276,132,4047.5,3136,5056,590.9,CUDA_KERNEL,kernel_zero
0.0,382830,384,997.0,469,7384,831.2,CUDA_API,cuEventCreate
0.0,224555,384,584.8,310,15717,810.3,CUDA_API,cuEventDestroy_v2
0.0,151372,12,12614.3,11067,15869,1451.4,CUDA_API,cuMemsetD8Async
0.0,91711,24,3821.3,3328,4160,221.3,CUDA_KERNEL,kernel_info
0.0,68608,12,5717.3,5254,6774,388.3,CUDA_API,cuInit
0.0,24065,12,2005.4,1760,2336,209.2,MEMORY_OPER,[CUDA memset]

