Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.3,665382328810,64,10396598887.7,9890699146,10574439510,133545702.5,CUDA_API,cuCtxCreate_v2
35.5,372866409296,64,5826037645.3,5635418153,5895171224,40456925.4,CUDA_API,cuCtxDestroy_v2
0.3,3431500799,160,21446880.0,7495,110678976,39480092.5,CUDA_API,cuMemHostAlloc
0.3,3030373726,19424,156011.8,1472,1805007,329184.6,CUDA_API,cuEventSynchronize
0.2,2250823239,352,6394384.2,7191,47641713,12034186.4,CUDA_API,cuMemFreeHost
0.1,1296279828,2592,500108.0,7437,1196326,281888.0,CUDA_API,cuMemcpyHtoD_v2
0.1,1058407582,844,1254037.4,3437,41536709,5006830.4,CUDA_API,cuMemAlloc_v2
0.1,1039106853,844,1231169.3,4762,33076555,3813628.2,CUDA_API,cuMemFree_v2
0.0,392362683,7840,50046.3,1472,148736,47389.5,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,121321588,3712,32683.6,1792,114464,22911.8,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,101242503,32896,3077.7,1589,43767,1791.6,CUDA_API,cuEventRecord
0.0,78284221,192,407730.3,5462,4276233,904049.4,CUDA_API,cuMemAllocHost_v2
0.0,77248883,6144,12573.1,4629,78463,6200.9,CUDA_API,cuLaunchKernel
0.0,57383451,3232,17754.8,8704,87264,12121.4,CUDA_KERNEL,k_lj_fast
0.0,54594098,5248,10402.8,3554,690425,10483.7,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,49896673,832,59972.0,56896,74048,2332.6,CUDA_KERNEL,calc_neigh_list_cell
0.0,23880341,3648,6546.1,3553,34759,2318.9,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,22427699,32,700865.6,126946,1320533,340766.1,CUDA_API,cuMemGetInfo_v2
0.0,22108043,128,172719.1,77201,334473,43536.4,CUDA_API,cuModuleLoadDataEx
0.0,21120621,704,30000.9,1860,739323,81894.6,CUDA_API,cuStreamSynchronize
0.0,7601331,832,9136.2,7744,20223,1143.4,CUDA_KERNEL,kernel_special
0.0,4906749,832,5897.5,4543,62079,3533.5,CUDA_KERNEL,transpose
0.0,2921105,64,45642.3,32026,123574,20275.0,CUDA_API,cuMemcpyDtoH_v2
0.0,1400033,352,3977.4,2911,5760,626.8,CUDA_KERNEL,kernel_zero
0.0,1359664,1024,1327.8,398,19399,1702.4,CUDA_API,cuEventCreate
0.0,690802,1024,674.6,255,3275,378.4,CUDA_API,cuEventDestroy_v2
0.0,410108,32,12815.9,10686,17208,1605.4,CUDA_API,cuMemsetD8Async
0.0,240194,64,3753.0,3296,4256,275.8,CUDA_KERNEL,kernel_info
0.0,188969,32,5905.3,5400,7446,571.6,CUDA_API,cuInit
0.0,66814,32,2087.9,1696,2560,252.4,MEMORY_OPER,[CUDA memset]

