Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.8,495084193728,56,8840789173.7,8614766440,9030296200,120584263.1,CUDA_API,cuCtxCreate_v2
35.9,282483510253,56,5044348397.4,4866105025,5107902726,41285499.1,CUDA_API,cuCtxDestroy_v2
0.4,3309636518,16996,194730.3,1470,3290699,461404.4,CUDA_API,cuEventSynchronize
0.3,2312293210,168,13763650.1,5774,87395032,29250301.4,CUDA_API,cuMemHostAlloc
0.2,1682015285,336,5005997.9,7487,41302775,9936580.4,CUDA_API,cuMemFreeHost
0.1,831424023,734,1132730.3,3453,30532313,4599959.2,CUDA_API,cuMemAlloc_v2
0.1,787148289,2268,347067.1,14620,789844,158926.9,CUDA_API,cuMemcpyHtoD_v2
0.1,771762027,734,1051446.9,4884,18651850,3199519.6,CUDA_API,cuMemFree_v2
0.0,140024289,6860,20411.7,1472,54208,13050.9,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,90133226,28784,3131.4,1559,117334,1989.7,CUDA_API,cuEventRecord
0.0,68616646,5376,12763.5,4823,144923,6188.4,CUDA_API,cuLaunchKernel
0.0,51735950,168,307952.1,5394,2120755,666795.4,CUDA_API,cuMemAllocHost_v2
0.0,47768504,4592,10402.5,3416,95649,4869.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,43675072,3248,13446.8,1984,40288,5444.0,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,40621712,728,55799.1,53152,60671,1705.2,CUDA_KERNEL,calc_neigh_list_cell
0.0,31066270,616,50432.3,1905,1315114,153827.5,CUDA_API,cuStreamSynchronize
0.0,28976745,2828,10246.4,6784,37951,2422.4,CUDA_KERNEL,k_lj_fast
0.0,20953438,3192,6564.4,3489,49304,2081.5,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,19011630,112,169746.7,90026,358148,38010.3,CUDA_API,cuModuleLoadDataEx
0.0,16931900,28,604710.7,165482,1157703,290420.2,CUDA_API,cuMemGetInfo_v2
0.0,6616635,728,9088.8,8224,11360,412.0,CUDA_KERNEL,kernel_special
0.0,4023367,728,5526.6,4159,19680,1071.5,CUDA_KERNEL,transpose
0.0,2615427,56,46704.1,32762,127507,22786.6,CUDA_API,cuMemcpyDtoH_v2
0.0,1047760,896,1169.4,397,12949,1421.9,CUDA_API,cuEventCreate
0.0,1022578,308,3320.1,2688,4127,201.4,CUDA_KERNEL,kernel_zero
0.0,627970,896,700.9,253,7048,560.9,CUDA_API,cuEventDestroy_v2
0.0,380180,28,13577.9,10001,28480,3511.5,CUDA_API,cuMemsetD8Async
0.0,202979,56,3624.6,3327,4064,247.3,CUDA_KERNEL,kernel_info
0.0,169954,28,6069.8,2965,17658,2341.0,CUDA_API,cuInit
0.0,60290,28,2153.2,2080,2464,88.7,MEMORY_OPER,[CUDA memset]

