Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.3,1614570037525,96,16818437890.9,16290501803,17226798730,307545363.7,CUDA_API,cuCtxCreate_v2
35.2,896950623915,96,9343235665.8,8835627164,9741580945,277526771.0,CUDA_API,cuCtxDestroy_v2
0.3,8740752709,288,30349835.8,6313,194357349,64531411.1,CUDA_API,cuMemHostAlloc
0.3,7541030990,576,13092067.7,7076,105630371,23819713.8,CUDA_API,cuMemFreeHost
0.3,6614750946,1271,5204367.4,5220,51394880,10315339.6,CUDA_API,cuMemFree_v2
0.2,4917672631,4320,1138350.1,15525,2716787,585332.5,CUDA_API,cuMemcpyHtoD_v2
0.2,4508945855,1271,3547557.7,4136,64501338,9854886.1,CUDA_API,cuMemAlloc_v2
0.1,2802239359,30000,93408.0,1477,2377674,288877.7,CUDA_API,cuEventSynchronize
0.1,1714578274,12480,137386.1,1472,984481,120458.1,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,1377449366,5568,247386.7,1760,1411009,150200.0,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,405262080,288,1407160.0,4943,8532822,2135495.7,CUDA_API,cuMemAllocHost_v2
0.0,273002068,1392,196122.2,168575,326079,19943.4,CUDA_KERNEL,calc_neigh_list_cell
0.0,249392268,51072,4883.2,1561,77202,6318.3,CUDA_API,cuEventRecord
0.0,217656600,4848,44896.2,14561,206944,24524.2,CUDA_KERNEL,k_lj_fast
0.0,190420091,9648,19736.7,4715,126283,14002.1,CUDA_API,cuLaunchKernel
0.0,161354041,8160,19773.8,3866,82750,12511.0,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,45531547,48,948573.9,137027,1795450,474799.9,CUDA_API,cuMemGetInfo_v2
0.0,43747892,5472,7994.9,3500,49562,3247.0,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,41305307,1392,29673.4,16512,162688,18891.7,CUDA_KERNEL,kernel_special
0.0,38994583,192,203096.8,85548,442226,65996.6,CUDA_API,cuModuleLoadDataEx
0.0,32136750,1056,30432.5,1782,702644,84032.4,CUDA_API,cuStreamSynchronize
0.0,17211398,1392,12364.5,10657,32384,1619.5,CUDA_KERNEL,transpose
0.0,5014834,96,52237.9,32313,127244,19361.1,CUDA_API,cuMemcpyDtoH_v2
0.0,2065507,1536,1344.7,400,15048,1437.4,CUDA_API,cuEventCreate
0.0,2012247,528,3811.1,3136,5088,482.4,CUDA_KERNEL,kernel_zero
0.0,1367836,1536,890.5,256,14062,877.5,CUDA_API,cuEventDestroy_v2
0.0,761289,48,15860.2,10852,27744,3974.2,CUDA_API,cuMemsetD8Async
0.0,369791,96,3852.0,3391,4544,267.1,CUDA_KERNEL,kernel_info
0.0,284565,48,5928.4,3366,7481,667.9,CUDA_API,cuInit
0.0,95747,48,1994.7,1696,2592,235.9,MEMORY_OPER,[CUDA memset]

