Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
64.0,515797051199,56,9210661628.6,8593235674,9797151384,490580852.1,CUDA_API,cuCtxCreate_v2
34.6,279043042200,56,4982911467.9,4852384208,5075280729,53901653.6,CUDA_API,cuCtxDestroy_v2
0.4,3383376650,16996,199069.0,1471,3246842,466993.8,CUDA_API,cuEventSynchronize
0.3,2338748176,168,13921120.1,6041,88386889,29592810.5,CUDA_API,cuMemHostAlloc
0.2,1691603119,336,5034533.1,6608,41065773,10020159.5,CUDA_API,cuMemFreeHost
0.1,887572871,734,1209227.3,4703,25081579,3739122.5,CUDA_API,cuMemFree_v2
0.1,830497482,734,1131468.0,3586,42519111,4721810.3,CUDA_API,cuMemAlloc_v2
0.1,792058623,2268,349232.2,14267,772195,158031.0,CUDA_API,cuMemcpyHtoD_v2
0.0,144926521,6860,21126.3,1472,68095,13828.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,89483423,28784,3108.8,1555,55134,1889.9,CUDA_API,cuEventRecord
0.0,83680246,3248,25763.6,1984,62560,11149.6,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,68960345,5376,12827.4,4855,86446,6056.2,CUDA_API,cuLaunchKernel
0.0,51955396,168,309258.3,5520,2202063,665334.7,CUDA_API,cuMemAllocHost_v2
0.0,49048040,4592,10681.2,3375,1680083,25078.4,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,40224458,728,55253.4,52672,58911,852.0,CUDA_KERNEL,calc_neigh_list_cell
0.0,30116867,2828,10649.5,7488,42207,3141.7,CUDA_KERNEL,k_lj_fast
0.0,30107556,616,48875.9,1850,1214722,146689.0,CUDA_API,cuStreamSynchronize
0.0,21113037,3192,6614.4,3544,27870,2003.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,20080101,112,179286.6,87521,419040,51466.9,CUDA_API,cuModuleLoadDataEx
0.0,16403645,28,585844.5,106319,992602,269380.2,CUDA_API,cuMemGetInfo_v2
0.0,6630314,728,9107.6,8064,12769,555.2,CUDA_KERNEL,kernel_special
0.0,4051641,728,5565.4,4768,18048,1145.8,CUDA_KERNEL,transpose
0.0,2346217,56,41896.7,31194,114701,12143.3,CUDA_API,cuMemcpyDtoH_v2
0.0,1066934,896,1190.8,397,14322,1446.7,CUDA_API,cuEventCreate
0.0,1028034,308,3337.8,2880,4640,199.3,CUDA_KERNEL,kernel_zero
0.0,620120,896,692.1,249,14622,625.8,CUDA_API,cuEventDestroy_v2
0.0,385243,28,13758.7,10506,23579,3722.6,CUDA_API,cuMemsetD8Async
0.0,206912,56,3694.9,3391,4287,276.4,CUDA_KERNEL,kernel_info
0.0,157264,28,5616.6,3138,6648,589.1,CUDA_API,cuInit
0.0,58910,28,2103.9,2047,2560,95.3,MEMORY_OPER,[CUDA memset]

