Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.9,1485412547321,96,15473047367.9,15121059709,15628993136,102056901.6,CUDA_API,cuCtxCreate_v2
36.8,883333930955,96,9201395114.1,8956076423,9346502857,123497592.0,CUDA_API,cuCtxDestroy_v2
0.4,9699793875,240,40415807.8,7470,213470489,74128302.3,CUDA_API,cuMemHostAlloc
0.3,6863388536,528,12998841.9,5469,106446292,25590279.4,CUDA_API,cuMemFreeHost
0.2,3797920956,1266,2999937.6,4814,45590209,7504281.2,CUDA_API,cuMemFree_v2
0.1,3399110312,29136,116663.6,1508,1589206,286573.2,CUDA_API,cuEventSynchronize
0.1,2746814226,1266,2169679.5,4060,67150810,7122546.1,CUDA_API,cuMemAlloc_v2
0.1,2710758447,3888,697211.5,8340,1739398,454573.6,CUDA_API,cuMemcpyHtoD_v2
0.1,1431037764,11760,121686.9,1568,428382,113659.8,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,552724462,5568,99268.0,1888,328031,60801.8,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,227309834,288,789270.3,5498,6092026,1787186.5,CUDA_API,cuMemAllocHost_v2
0.0,208050268,4848,42914.7,13408,147775,24760.1,CUDA_KERNEL,k_lj_fast
0.0,196722776,49344,3986.8,1587,61351,3906.1,CUDA_API,cuEventRecord
0.0,158206850,1248,126768.3,112096,154656,6748.8,CUDA_KERNEL,calc_neigh_list_cell
0.0,157377191,9216,17076.5,5116,69795,8717.7,CUDA_API,cuLaunchKernel
0.0,119763548,7872,15213.9,3969,58750,7549.3,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,48873169,48,1018191.0,132035,1887356,490926.3,CUDA_API,cuMemGetInfo_v2
0.0,41037871,192,213738.9,88370,533028,72761.8,CUDA_API,cuModuleLoadDataEx
0.0,40764386,5472,7449.6,3553,27107,2469.0,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,26543650,1056,25136.0,1922,629063,68082.0,CUDA_API,cuStreamSynchronize
0.0,18057933,1248,14469.5,10592,51200,4045.0,CUDA_KERNEL,kernel_special
0.0,9592105,1248,7686.0,6687,12704,642.0,CUDA_KERNEL,transpose
0.0,5045952,96,52562.0,33171,136461,25006.8,CUDA_API,cuMemcpyDtoH_v2
0.0,2412892,1536,1570.9,416,29215,1947.1,CUDA_API,cuEventCreate
0.0,2124360,528,4023.4,3136,9504,547.5,CUDA_KERNEL,kernel_zero
0.0,1092006,1536,710.9,258,5845,489.0,CUDA_API,cuEventDestroy_v2
0.0,857759,48,17870.0,11435,46150,6653.9,CUDA_API,cuMemsetD8Async
0.0,375684,96,3913.4,3520,4512,221.8,CUDA_KERNEL,kernel_info
0.0,293980,48,6124.6,5406,7588,652.4,CUDA_API,cuInit
0.0,98308,48,2048.1,1824,2689,196.6,MEMORY_OPER,[CUDA memset]

