Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.9,826932606626,72,11485175092.0,11047222990,11678737933,142226372.5,CUDA_API,cuCtxCreate_v2
36.6,489615893647,72,6800220745.1,6585039288,6975327380,156791529.9,CUDA_API,cuCtxDestroy_v2
0.4,4819926278,216,22314473.5,5917,147506024,48557983.2,CUDA_API,cuMemHostAlloc
0.4,4689866192,22068,212518.9,1464,4937450,546401.3,CUDA_API,cuEventSynchronize
0.3,3542218838,432,8199580.6,6316,74720915,17114332.4,CUDA_API,cuMemFreeHost
0.2,2829726281,3024,935756.0,15152,1930606,429281.4,CUDA_API,cuMemcpyHtoD_v2
0.1,1814242115,946,1917803.5,4875,24977928,5000879.6,CUDA_API,cuMemFree_v2
0.1,1269039438,946,1341479.3,3600,44159878,5640997.4,CUDA_API,cuMemAlloc_v2
0.0,427895913,9000,47544.0,1472,124991,31495.7,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,153129989,4176,36669.1,1952,97376,18529.1,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,143921661,37440,3844.1,1568,52617,3324.2,CUDA_API,cuEventRecord
0.0,116986951,7020,16664.8,4854,69125,8719.4,CUDA_API,cuLaunchKernel
0.0,105522087,972,108561.8,103904,117088,1785.8,CUDA_KERNEL,calc_neigh_list_cell
0.0,88656391,5976,14835.4,3870,76792,7417.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,67035915,216,310351.5,5165,1994233,666036.1,CUDA_API,cuMemAllocHost_v2
0.0,56620677,3636,15572.2,8288,59424,7795.8,CUDA_KERNEL,k_lj_fast
0.0,48231319,792,60898.1,1905,1610787,186824.9,CUDA_API,cuStreamSynchronize
0.0,30302418,4104,7383.6,3570,37886,2400.5,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,26482030,36,735611.9,170427,1429341,355646.5,CUDA_API,cuMemGetInfo_v2
0.0,25469864,144,176874.1,88135,416866,44088.7,CUDA_API,cuModuleLoadDataEx
0.0,14258971,972,14669.7,12416,23937,887.2,CUDA_KERNEL,kernel_special
0.0,8873686,972,9129.3,7392,33088,2288.3,CUDA_KERNEL,transpose
0.0,3056478,72,42451.1,32026,114172,16145.8,CUDA_API,cuMemcpyDtoH_v2
0.0,1445390,1152,1254.7,395,65696,2551.2,CUDA_API,cuEventCreate
0.0,1326524,396,3349.8,2688,4928,227.8,CUDA_KERNEL,kernel_zero
0.0,795986,1152,691.0,260,13988,611.7,CUDA_API,cuEventDestroy_v2
0.0,496939,36,13803.9,10361,25636,3204.1,CUDA_API,cuMemsetD8Async
0.0,264545,72,3674.2,3295,4576,278.4,CUDA_KERNEL,kernel_info
0.0,209782,36,5827.3,5438,7506,461.4,CUDA_API,cuInit
0.0,76031,36,2112.0,2048,2400,68.0,MEMORY_OPER,[CUDA memset]

