Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
64.4,89277543962,24,3719897665.1,3606949478,3756561289,37046935.3,CUDA_API,cuCtxCreate_v2
34.2,47499723609,24,1979155150.4,1913103087,2006702655,27826134.8,CUDA_API,cuCtxDestroy_v2
0.5,657688969,7284,90292.3,1609,1294100,200469.9,CUDA_API,cuEventSynchronize
0.3,427532336,72,5937949.1,7025,35651944,11794440.0,CUDA_API,cuMemHostAlloc
0.2,294870865,972,303365.1,15616,905429,222622.6,CUDA_API,cuMemcpyHtoD_v2
0.2,277034529,144,1923850.9,7332,15569047,3932037.0,CUDA_API,cuMemFreeHost
0.1,85576735,314,272537.4,5378,6236109,999598.4,CUDA_API,cuMemFree_v2
0.0,37534081,314,119535.3,4317,2644068,350369.4,CUDA_API,cuMemAlloc_v2
0.0,34294803,12336,2780.1,1732,26325,1328.4,CUDA_API,cuEventRecord
0.0,23547331,2304,10220.2,4964,39722,4242.2,CUDA_API,cuLaunchKernel
0.0,22747421,2940,7737.2,1536,22400,4483.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,22568187,72,313447.0,5991,1912691,684086.9,CUDA_API,cuMemAllocHost_v2
0.0,15859268,1968,8058.6,3537,30805,3067.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,10596550,1392,7612.5,1792,18080,2195.2,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,9129548,312,29261.4,26656,32160,1403.8,CUDA_KERNEL,calc_neigh_list_cell
0.0,8584694,1212,7083.1,6271,18208,1104.5,CUDA_KERNEL,k_lj_fast
0.0,8080419,1368,5906.7,3805,21990,1381.0,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,7558193,48,157462.4,76770,209851,40370.8,CUDA_API,cuModuleLoadDataEx
0.0,6890442,264,26100.2,2057,594798,75996.0,CUDA_API,cuStreamSynchronize
0.0,3147381,12,262281.8,82383,427366,115236.8,CUDA_API,cuMemGetInfo_v2
0.0,1980554,312,6347.9,5728,10944,415.3,CUDA_KERNEL,kernel_special
0.0,1220119,312,3910.6,3423,5217,293.3,CUDA_KERNEL,transpose
0.0,1087182,24,45299.3,32195,112298,21055.5,CUDA_API,cuMemcpyDtoH_v2
0.0,470719,132,3566.1,3200,4417,192.8,CUDA_KERNEL,kernel_zero
0.0,397978,384,1036.4,474,14920,1246.0,CUDA_API,cuEventCreate
0.0,206822,384,538.6,304,2119,245.4,CUDA_API,cuEventDestroy_v2
0.0,153976,12,12831.3,12203,14060,669.0,CUDA_API,cuMemsetD8Async
0.0,90302,24,3762.6,3488,4128,193.7,CUDA_KERNEL,kernel_info
0.0,66958,12,5579.8,2606,6346,994.1,CUDA_API,cuInit
0.0,21667,12,1805.6,1728,1856,48.0,MEMORY_OPER,[CUDA memset]

