Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.0,201399671985,36,5594435332.9,5444002828,5707511085,76510808.1,CUDA_API,cuCtxCreate_v2
35.7,114043861393,36,3167885038.7,3087889570,3198880894,31141085.4,CUDA_API,cuCtxDestroy_v2
0.4,1348619833,180,7492332.4,6715,70613820,18702596.0,CUDA_API,cuMemHostAlloc
0.3,991630573,324,3060588.2,6079,58960512,9238285.6,CUDA_API,cuMemFreeHost
0.3,937169587,16596,56469.6,1586,1240865,115321.3,CUDA_API,cuEventSynchronize
0.1,256654361,486,528095.4,4303,10190374,1898322.6,CUDA_API,cuMemFree_v2
0.1,191183336,486,393381.3,3706,13172674,1355699.8,CUDA_API,cuMemAlloc_v2
0.0,88289288,144,613120.1,6477,10076737,1705325.1,CUDA_API,cuMemAllocHost_v2
0.0,83295302,4500,18510.1,1568,59872,14734.1,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,81958456,26316,3114.4,1768,35351,1530.5,CUDA_API,cuEventRecord
0.0,56218155,1818,30923.1,23871,40575,1782.2,CUDA_KERNEL,k_eam_fast
0.0,49780149,4320,11523.2,4310,56080,5363.1,CUDA_API,cuLaunchKernel
0.0,40089429,1818,22051.4,18112,39008,2219.9,CUDA_KERNEL,k_energy_fast
0.0,37285855,4338,8595.2,3712,40348,3519.8,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,26073400,3888,6706.1,3685,29333,2470.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,20655098,162,127500.6,17830,278656,109958.5,CUDA_API,cuMemcpyHtoD_v2
0.0,17302188,3924,4409.3,1696,26911,2400.0,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,15001135,252,59528.3,53055,66464,3200.0,CUDA_KERNEL,calc_neigh_list_cell
0.0,13664656,72,189786.9,80019,334265,71119.4,CUDA_API,cuModuleLoadDataEx
0.0,8933520,18,496306.7,149935,1012385,281749.4,CUDA_API,cuMemGetInfo_v2
0.0,6029279,396,15225.5,2117,299894,38514.6,CUDA_API,cuStreamSynchronize
0.0,1661996,36,46166.6,32051,104885,13546.5,CUDA_API,cuMemcpyDtoH_v2
0.0,1442208,396,3641.9,2784,5024,557.7,CUDA_KERNEL,kernel_zero
0.0,868940,720,1206.9,481,13083,1002.1,CUDA_API,cuEventCreate
0.0,423169,720,587.7,321,18272,700.2,CUDA_API,cuEventDestroy_v2
0.0,327038,18,18168.8,13682,22116,3061.0,CUDA_API,cuMemsetD8Async
0.0,133664,36,3712.9,3552,3872,72.4,CUDA_KERNEL,kernel_info
0.0,104235,18,5790.8,5452,6294,266.4,CUDA_API,cuInit
0.0,34784,18,1932.4,1824,2081,93.9,MEMORY_OPER,[CUDA memset]

