Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
64.6,89451765049,24,3727156877.0,3650030246,3760533457,29492155.8,CUDA_API,cuCtxCreate_v2
33.6,46462600217,24,1935941675.7,1828658734,2024676189,62807302.5,CUDA_API,cuCtxDestroy_v2
0.8,1105511746,11064,99919.7,1515,1270313,206257.2,CUDA_API,cuEventSynchronize
0.3,429308367,120,3577569.7,6522,35104810,9276674.9,CUDA_API,cuMemHostAlloc
0.2,310027481,216,1435312.4,6153,16730115,3594485.2,CUDA_API,cuMemFreeHost
0.1,155919077,324,481231.7,3516,8804276,1670860.3,CUDA_API,cuMemAlloc_v2
0.1,145959686,324,450492.9,4810,5942436,1331435.2,CUDA_API,cuMemFree_v2
0.0,51455586,17544,2932.9,1760,24266,1602.0,CUDA_API,cuEventRecord
0.0,34947635,96,364037.9,5390,3774279,962575.2,CUDA_API,cuMemAllocHost_v2
0.0,34035404,1212,28082.0,19201,37024,2206.3,CUDA_KERNEL,k_eam_fast
0.0,32573335,3000,10857.8,1536,30400,6197.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,30863254,2880,10716.4,3967,46610,4745.3,CUDA_API,cuLaunchKernel
0.0,23361617,1212,19275.3,13056,37952,2675.8,CUDA_KERNEL,k_energy_fast
0.0,23330852,2892,8067.4,3717,33211,3343.8,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,15354768,2592,5923.9,3720,23978,1956.6,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,12939896,108,119813.9,16233,273844,79775.1,CUDA_API,cuMemcpyHtoD_v2
0.0,11543036,2616,4412.5,1888,15520,1436.4,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,9319844,168,55475.3,50624,64448,2602.9,CUDA_KERNEL,calc_neigh_list_cell
0.0,8461291,12,705107.6,454342,947761,172148.9,CUDA_API,cuMemGetInfo_v2
0.0,8099181,48,168732.9,77209,414735,59017.1,CUDA_API,cuModuleLoadDataEx
0.0,6507224,264,24648.6,1980,579959,69670.2,CUDA_API,cuStreamSynchronize
0.0,1116067,24,46502.8,31329,119639,22012.1,CUDA_API,cuMemcpyDtoH_v2
0.0,875500,264,3316.3,2625,4385,359.8,CUDA_KERNEL,kernel_zero
0.0,500008,480,1041.7,415,6730,870.3,CUDA_API,cuEventCreate
0.0,299860,480,624.7,268,3224,349.3,CUDA_API,cuEventDestroy_v2
0.0,177849,12,14820.8,11211,24963,3888.1,CUDA_API,cuMemsetD8Async
0.0,88993,24,3708.0,3423,4384,237.9,CUDA_KERNEL,kernel_info
0.0,69206,12,5767.2,5505,6206,236.6,CUDA_API,cuInit
0.0,22273,12,1856.1,1760,2112,111.8,MEMORY_OPER,[CUDA memset]

