Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.4,651461735891,64,10179089623.3,9570782934,10349127877,131970531.3,CUDA_API,cuCtxCreate_v2
36.0,375449052484,64,5866391445.1,5419426528,5931601006,72970723.9,CUDA_API,cuCtxDestroy_v2
0.6,6229724375,29760,209332.1,1569,2666453,473431.8,CUDA_API,cuEventSynchronize
0.3,3568347349,320,11151085.5,5922,114284606,30668958.7,CUDA_API,cuMemHostAlloc
0.2,2554376806,580,4404097.9,5858,62387754,11532029.4,CUDA_API,cuMemFreeHost
0.1,1214406859,870,1395870.0,4972,49692721,4395064.1,CUDA_API,cuMemFree_v2
0.1,1180546785,870,1356950.3,3295,50716443,5075136.2,CUDA_API,cuMemAlloc_v2
0.1,538493306,8128,66251.6,1472,197726,65082.2,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,163267957,3232,50516.1,32448,138560,6040.8,CUDA_KERNEL,k_eam_fast
0.0,145315707,47296,3072.5,1681,164853,1891.2,CUDA_API,cuEventRecord
0.0,138134347,6976,19801.4,2016,162975,15211.5,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,130589851,3232,40405.3,21664,98112,14886.8,CUDA_KERNEL,k_energy_fast
0.0,109667377,260,421797.6,5491,5514901,1159027.1,CUDA_API,cuMemAllocHost_v2
0.0,98318210,7744,12696.0,4071,562802,8714.0,CUDA_API,cuLaunchKernel
0.0,73882966,7840,9423.8,4007,124792,4400.1,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,43977389,6912,6362.5,3776,36079,2283.2,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,34858876,512,68083.7,61088,113760,7878.1,CUDA_KERNEL,calc_neigh_list_cell
0.0,33878321,288,117633.1,17106,262947,102144.2,CUDA_API,cuMemcpyHtoD_v2
0.0,27307156,32,853348.6,160626,1675193,452839.4,CUDA_API,cuMemGetInfo_v2
0.0,22691326,128,177276.0,82095,256249,41995.3,CUDA_API,cuModuleLoadDataEx
0.0,21400388,704,30398.3,2034,719284,83233.2,CUDA_API,cuStreamSynchronize
0.0,3290232,64,51409.9,32544,195745,27320.5,CUDA_API,cuMemcpyDtoH_v2
0.0,2686965,704,3816.7,2624,5696,667.4,CUDA_KERNEL,kernel_zero
0.0,1327146,1280,1036.8,406,11215,1074.2,CUDA_API,cuEventCreate
0.0,885202,1280,691.6,270,3776,441.5,CUDA_API,cuEventDestroy_v2
0.0,434571,32,13580.3,10978,17278,1650.3,CUDA_API,cuMemsetD8Async
0.0,244126,64,3814.5,3360,4255,228.4,CUDA_KERNEL,kernel_info
0.0,186898,32,5840.6,5217,7686,502.9,CUDA_API,cuInit
0.0,66658,32,2083.1,1696,3040,313.2,MEMORY_OPER,[CUDA memset]

