Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.6,1478934111842,96,15405563665.0,14919096843,15605641851,160629784.8,CUDA_API,cuCtxCreate_v2
37.1,890588163360,96,9276960035.0,9107686137,9489646923,133656626.5,CUDA_API,cuCtxDestroy_v2
0.4,9665534886,480,20136531.0,5946,212579856,55757481.7,CUDA_API,cuMemHostAlloc
0.4,9002962998,868,10372077.2,5969,108395634,24463990.9,CUDA_API,cuMemFreeHost
0.2,4415356276,44640,98910.3,1568,1520833,218939.6,CUDA_API,cuEventSynchronize
0.1,2988929153,1302,2295644.5,4850,66321433,7840112.6,CUDA_API,cuMemFree_v2
0.1,2598029199,1302,1995414.1,3244,66193353,8009508.2,CUDA_API,cuMemAlloc_v2
0.0,282094602,388,727047.9,6169,10291488,2052116.3,CUDA_API,cuMemAllocHost_v2
0.0,272551008,12192,22354.9,1568,75744,18628.7,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,230431635,70944,3248.1,1637,350447,2467.0,CUDA_API,cuEventRecord
0.0,167835734,4848,34619.6,21760,57952,2249.0,CUDA_KERNEL,k_eam_fast
0.0,156600049,11616,13481.4,3931,75905,7022.3,CUDA_API,cuLaunchKernel
0.0,118157936,11760,10047.4,4030,47492,5251.7,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,113061422,4848,23321.3,15072,73409,5230.7,CUDA_KERNEL,k_energy_fast
0.0,77343940,10464,7391.4,1887,51104,4523.8,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,72711838,10368,7013.1,3648,46223,3559.6,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,55213968,432,127810.1,17575,299136,84593.3,CUDA_API,cuMemcpyHtoD_v2
0.0,54520299,48,1135839.6,81994,2284059,708587.5,CUDA_API,cuMemGetInfo_v2
0.0,46968165,768,61156.5,56129,69056,2386.7,CUDA_KERNEL,calc_neigh_list_cell
0.0,39253217,192,204443.8,91926,508982,57063.6,CUDA_API,cuModuleLoadDataEx
0.0,27705171,1056,26236.0,2057,628109,72476.8,CUDA_API,cuStreamSynchronize
0.0,4468724,96,46549.2,31987,131132,17139.5,CUDA_API,cuMemcpyDtoH_v2
0.0,4039485,1056,3825.3,2783,5089,599.5,CUDA_KERNEL,kernel_zero
0.0,2424550,1920,1262.8,404,16134,1269.9,CUDA_API,cuEventCreate
0.0,1579286,1920,822.5,298,4538,576.1,CUDA_API,cuEventDestroy_v2
0.0,928192,48,19337.3,12632,30599,4237.0,CUDA_API,cuMemsetD8Async
0.0,375972,96,3916.4,3520,4480,197.6,CUDA_KERNEL,kernel_info
0.0,283274,48,5901.5,5348,7526,520.4,CUDA_API,cuInit
0.0,98847,48,2059.3,1793,2528,200.0,MEMORY_OPER,[CUDA memset]

