Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.1,1480695929841,96,15423915935.8,15055749503,15579299311,111826533.1,CUDA_API,cuCtxCreate_v2
36.9,894056759039,96,9313091240.0,9104006329,9592873349,182155874.1,CUDA_API,cuCtxDestroy_v2
0.5,11472986884,44640,257011.4,1467,4533421,634678.4,CUDA_API,cuEventSynchronize
0.3,8267445715,864,9568802.9,5422,112024565,22225558.0,CUDA_API,cuMemFreeHost
0.3,7828047950,480,16308433.2,6122,184232600,45058526.0,CUDA_API,cuMemHostAlloc
0.3,7100811436,1296,5479021.2,3751,139311447,14893263.6,CUDA_API,cuMemAlloc_v2
0.3,6487043474,1296,5005434.8,4898,34211589,10177269.7,CUDA_API,cuMemFree_v2
0.1,2568064164,384,6687667.1,6072,68845325,16903086.9,CUDA_API,cuMemAllocHost_v2
0.1,1417236211,12192,116243.1,1504,388767,123830.3,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,712284086,10464,68070.0,1855,500542,57785.8,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,450929945,4848,93013.6,64192,213376,14436.5,CUDA_KERNEL,k_eam_fast
0.0,327484130,70944,4616.1,1560,1125664,6770.7,CUDA_API,cuEventRecord
0.0,319792598,4848,65963.8,35520,146336,18917.3,CUDA_KERNEL,k_energy_fast
0.0,240913339,11616,20739.8,3836,112141,13890.0,CUDA_API,cuLaunchKernel
0.0,218386689,11760,18570.3,3999,101567,11671.3,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,170654990,768,222207.0,186015,274432,10450.7,CUDA_KERNEL,calc_neigh_list_cell
0.0,143455056,48,2988647.0,1765568,4189531,700090.1,CUDA_API,cuMemGetInfo_v2
0.0,78236720,10368,7546.0,3578,44878,3117.8,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,53239409,432,123239.4,16648,289101,80310.1,CUDA_API,cuMemcpyHtoD_v2
0.0,38931676,192,202769.1,84961,472446,58257.9,CUDA_API,cuModuleLoadDataEx
0.0,31755532,1056,30071.5,1848,703822,83929.9,CUDA_API,cuStreamSynchronize
0.0,4654454,96,48483.9,32426,133051,19535.9,CUDA_API,cuMemcpyDtoH_v2
0.0,3818171,1056,3615.7,2592,5056,548.3,CUDA_KERNEL,kernel_zero
0.0,2454218,1920,1278.2,400,13199,1415.1,CUDA_API,cuEventCreate
0.0,1362557,1920,709.7,253,12145,568.6,CUDA_API,cuEventDestroy_v2
0.0,794801,48,16558.4,11758,26524,3688.2,CUDA_API,cuMemsetD8Async
0.0,364130,96,3793.0,3327,4320,216.5,CUDA_KERNEL,kernel_info
0.0,301976,48,6291.2,4089,7921,801.5,CUDA_API,cuInit
0.0,98910,48,2060.6,1696,2688,266.3,MEMORY_OPER,[CUDA memset]

