Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.3,1553659691888,96,16183955123.8,15069235472,16868188984,606911622.0,CUDA_API,cuCtxCreate_v2
35.3,880208203341,96,9168835451.5,8988065681,9359128401,121557924.9,CUDA_API,cuCtxDestroy_v2
1.1,27211742734,44640,609582.1,1467,14313391,1366819.8,CUDA_API,cuEventSynchronize
0.3,8554855270,864,9901452.9,5225,111284444,23575094.9,CUDA_API,cuMemFreeHost
0.3,7666991045,480,15972898.0,5439,182765479,46367905.9,CUDA_API,cuMemHostAlloc
0.3,7032767202,1296,5426517.9,4957,43134627,10715504.0,CUDA_API,cuMemFree_v2
0.2,4707986752,1296,3632705.8,3370,81772059,10723754.7,CUDA_API,cuMemAlloc_v2
0.1,2200357942,10464,210278.9,2080,10092894,462110.1,MEMORY_OPER,[CUDA memcpy DtoH]
0.1,1856289862,12192,152254.7,1472,385984,134248.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,602683278,4848,124315.9,74080,270560,25195.2,CUDA_KERNEL,k_eam_fast
0.0,352995625,4848,72812.6,36704,148607,20358.7,CUDA_KERNEL,k_energy_fast
0.0,316937101,70944,4467.4,1576,134655,5077.6,CUDA_API,cuEventRecord
0.0,295606969,384,769809.8,5514,6335233,1427299.0,CUDA_API,cuMemAllocHost_v2
0.0,238418579,11616,20525.0,3923,103070,13471.5,CUDA_API,cuLaunchKernel
0.0,208160121,11760,17700.7,3966,89133,11331.7,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,173009443,768,225272.7,183776,280192,14661.4,CUDA_KERNEL,calc_neigh_list_cell
0.0,76995243,10368,7426.2,3583,45405,3030.5,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,56379035,48,1174563.2,130282,2289538,629600.4,CUDA_API,cuMemGetInfo_v2
0.0,50905723,432,117837.3,16458,266426,78086.5,CUDA_API,cuMemcpyHtoD_v2
0.0,46544182,1056,44075.9,1844,1055144,125251.7,CUDA_API,cuStreamSynchronize
0.0,36571832,192,190478.3,88884,438654,48181.7,CUDA_API,cuModuleLoadDataEx
0.0,4533300,96,47221.9,32619,123338,16241.5,CUDA_API,cuMemcpyDtoH_v2
0.0,3891516,1056,3685.1,2592,5760,630.7,CUDA_KERNEL,kernel_zero
0.0,2257705,1920,1175.9,397,30031,1743.4,CUDA_API,cuEventCreate
0.0,1714255,1920,892.8,253,27299,1082.4,CUDA_API,cuEventDestroy_v2
0.0,688605,48,14345.9,11430,27939,2939.8,CUDA_API,cuMemsetD8Async
0.0,370623,96,3860.7,3392,6624,362.4,CUDA_KERNEL,kernel_info
0.0,294550,48,6136.5,4387,12560,1203.9,CUDA_API,cuInit
0.0,111009,48,2312.7,1792,2849,200.8,MEMORY_OPER,[CUDA memset]

