Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.2,1601112347993,96,16678253624.9,16113235158,17091179484,329809794.7,CUDA_API,cuCtxCreate_v2
35.7,903939858073,96,9416040188.3,9009352960,9841903479,365489324.8,CUDA_API,cuCtxDestroy_v2
0.4,9590282282,480,19979754.8,6332,211075523,55205486.5,CUDA_API,cuMemHostAlloc
0.3,8336691008,868,9604482.7,6301,105208799,22861964.9,CUDA_API,cuMemFreeHost
0.2,4400083033,44640,98568.2,1564,1438769,217815.8,CUDA_API,cuEventSynchronize
0.1,2945999135,1302,2262672.1,4581,52829123,7455244.2,CUDA_API,cuMemFree_v2
0.1,2508393449,1302,1926569.5,3765,69699379,7570146.7,CUDA_API,cuMemAlloc_v2
0.0,273128499,12192,22402.3,1600,75680,18360.5,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,264700958,388,682219.0,6688,8271168,1872849.4,CUDA_API,cuMemAllocHost_v2
0.0,226373835,70944,3190.9,1609,120467,2046.2,CUDA_API,cuEventRecord
0.0,172529156,4848,35587.7,24544,61888,3149.9,CUDA_KERNEL,k_eam_fast
0.0,153731739,11616,13234.5,4075,105657,7046.8,CUDA_API,cuLaunchKernel
0.0,122565615,10464,11713.1,1888,77504,8747.8,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,116916336,11760,9941.9,3962,111128,5146.5,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,113954890,4848,23505.5,15296,76160,5187.4,CUDA_KERNEL,k_energy_fast
0.0,71879096,10368,6932.8,3642,42053,3275.9,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,55609066,432,128724.7,18329,308041,85505.5,CUDA_API,cuMemcpyHtoD_v2
0.0,54530131,48,1136044.4,86345,2237750,669261.3,CUDA_API,cuMemGetInfo_v2
0.0,46689711,768,60793.9,55968,71487,2588.9,CUDA_KERNEL,calc_neigh_list_cell
0.0,40465812,192,210759.4,81117,490220,64192.5,CUDA_API,cuModuleLoadDataEx
0.0,27408413,1056,25954.9,1987,602568,71493.4,CUDA_API,cuStreamSynchronize
0.0,4437139,96,46220.2,32583,129427,14826.2,CUDA_API,cuMemcpyDtoH_v2
0.0,4061535,1056,3846.2,2848,9152,634.0,CUDA_KERNEL,kernel_zero
0.0,2423883,1920,1262.4,480,22315,1314.2,CUDA_API,cuEventCreate
0.0,1623883,1920,845.8,262,6139,625.1,CUDA_API,cuEventDestroy_v2
0.0,903046,48,18813.5,13398,29945,4099.4,CUDA_API,cuMemsetD8Async
0.0,378978,96,3947.7,3616,4544,191.3,CUDA_KERNEL,kernel_info
0.0,278497,48,5802.0,5412,7658,488.5,CUDA_API,cuInit
0.0,98881,48,2060.0,1824,2496,194.0,MEMORY_OPER,[CUDA memset]

