Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.6,827790613564,72,11497091855.1,10814923990,11671784342,150374257.4,CUDA_API,cuCtxCreate_v2
35.9,482830448760,72,6705978455.0,6477562321,6795338961,55535811.9,CUDA_API,cuCtxDestroy_v2
1.1,14712398228,33480,439438.4,1471,6043232,970796.3,CUDA_API,cuEventSynchronize
0.3,4652643994,360,12924011.1,5685,135659285,36132791.4,CUDA_API,cuMemHostAlloc
0.3,4045445249,648,6242971.1,4996,76370292,14773267.6,CUDA_API,cuMemFreeHost
0.2,2819764988,972,2900992.8,4616,46103917,6709040.8,CUDA_API,cuMemFree_v2
0.2,2414451963,972,2484004.1,3293,54456976,7365736.9,CUDA_API,cuMemAlloc_v2
0.1,1633031654,9144,178590.5,1504,464318,180345.7,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,655741374,7848,83555.2,2113,571872,60321.9,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,484405693,3636,133224.9,100256,240159,11282.7,CUDA_KERNEL,k_eam_fast
0.0,298898254,288,1037841.2,6438,8171206,1962136.9,CUDA_API,cuMemAllocHost_v2
0.0,283917350,3636,78085.1,40960,142144,20966.6,CUDA_KERNEL,k_energy_fast
0.0,198102155,53208,3723.2,1592,74643,3304.9,CUDA_API,cuEventRecord
0.0,149385224,8712,17147.1,3867,82500,9599.4,CUDA_API,cuLaunchKernel
0.0,128643765,8820,14585.5,3958,1061079,13443.0,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,70998761,576,123261.7,104704,178336,16050.9,CUDA_KERNEL,calc_neigh_list_cell
0.0,54894592,7776,7059.5,3571,34835,2631.6,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,39064460,324,120569.3,17124,276700,104246.9,CUDA_API,cuMemcpyHtoD_v2
0.0,34032138,36,945337.2,99316,1842080,497242.7,CUDA_API,cuMemGetInfo_v2
0.0,28530359,792,36023.2,1836,833608,101545.4,CUDA_API,cuStreamSynchronize
0.0,28030655,144,194657.3,86035,496037,53781.1,CUDA_API,cuModuleLoadDataEx
0.0,3192341,72,44338.1,32302,128709,17371.1,CUDA_API,cuMemcpyDtoH_v2
0.0,2950724,792,3725.7,2624,5408,652.1,CUDA_KERNEL,kernel_zero
0.0,1750595,1440,1215.7,374,28564,1569.4,CUDA_API,cuEventCreate
0.0,1033283,1440,717.6,263,4549,512.8,CUDA_API,cuEventDestroy_v2
0.0,566576,36,15738.2,11142,33736,4429.8,CUDA_API,cuMemsetD8Async
0.0,271681,72,3773.3,3327,4129,184.7,CUDA_KERNEL,kernel_info
0.0,212917,36,5914.4,5394,9978,799.9,CUDA_API,cuInit
0.0,78435,36,2178.8,1729,2720,280.8,MEMORY_OPER,[CUDA memset]

