Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.2,362735171363,48,7556982736.7,7376975311,7634679843,63544515.8,CUDA_API,cuCtxCreate_v2
35.8,205398739969,48,4279140416.0,4144200869,4323912700,48292687.9,CUDA_API,cuCtxDestroy_v2
0.5,2635399478,120,21961662.3,15388,105484054,35815675.3,CUDA_API,cuMemHostAlloc
0.3,1620629221,272,5958195.7,8097,48812696,11994648.1,CUDA_API,cuMemFreeHost
0.1,510665025,444,1150146.5,5526,20873287,3525003.3,CUDA_API,cuMemFree_v2
0.1,384044115,444,864964.2,4516,32491452,3057810.6,CUDA_API,cuMemAlloc_v2
0.1,359538703,11400,31538.5,1588,599351,73839.5,CUDA_API,cuEventSynchronize
0.0,183771920,152,1209025.8,7010,8930431,2828491.3,CUDA_API,cuMemAllocHost_v2
0.0,81303821,3048,26674.5,1568,59776,13875.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,65497260,18336,3572.1,1778,26763,1548.0,CUDA_API,cuEventRecord
0.0,47199405,2424,19471.7,17312,49856,3351.8,CUDA_KERNEL,k_lj_fast
0.0,40871582,2880,14191.5,5628,50881,5565.5,CUDA_API,cuLaunchKernel
0.0,35365790,2976,11883.7,4219,942839,28201.0,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,21435289,2736,7834.5,3985,30235,2316.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,20443621,96,212954.4,78850,450599,86034.6,CUDA_API,cuModuleLoadDataEx
0.0,16345790,24,681074.6,177974,1299849,358663.0,CUDA_API,cuMemGetInfo_v2
0.0,13589585,2784,4881.3,1727,43680,2496.3,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,8856838,144,61505.8,60096,67136,1838.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,7171324,528,13582.1,2066,298490,30068.8,CUDA_API,cuStreamSynchronize
0.0,4590947,72,63763.2,10775,103595,35833.6,CUDA_API,cuMemcpyHtoD_v2
0.0,2596150,48,54086.5,32906,132480,26784.0,CUDA_API,cuMemcpyDtoH_v2
0.0,1326746,768,1727.5,481,17734,1619.9,CUDA_API,cuEventCreate
0.0,1061910,264,4022.4,3296,4959,492.3,CUDA_KERNEL,kernel_zero
0.0,614349,768,799.9,304,4148,456.5,CUDA_API,cuEventDestroy_v2
0.0,537392,24,22391.3,17685,26089,1762.3,CUDA_API,cuMemsetD8Async
0.0,194496,48,4052.0,3647,10848,1020.1,CUDA_KERNEL,kernel_info
0.0,136321,24,5680.0,5340,6599,279.8,CUDA_API,cuInit
0.0,48991,24,2041.3,1824,2400,177.0,MEMORY_OPER,[CUDA memset]

