Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.1,162060346807,32,5064385837.7,4914510507,5173508634,80687813.1,CUDA_API,cuCtxCreate_v2
34.9,89756453135,32,2804889160.5,2715901033,2854044651,31273686.3,CUDA_API,cuCtxDestroy_v2
1.0,2609266300,7600,343324.5,1594,4687941,751341.5,CUDA_API,cuEventSynchronize
0.3,808188011,80,10102350.1,7746,54254292,19131622.3,CUDA_API,cuMemHostAlloc
0.2,576568351,176,3275956.5,6621,23416865,6093425.4,CUDA_API,cuMemFreeHost
0.2,387603489,288,1345845.4,5485,8464770,2773069.5,CUDA_API,cuMemFree_v2
0.1,255922458,288,888619.6,4615,12120919,2674754.7,CUDA_API,cuMemAlloc_v2
0.1,145554859,2032,71631.3,1568,106816,33223.3,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,83065598,1616,51402.0,31135,69440,5727.8,CUDA_KERNEL,k_lj_fast
0.0,75523252,1856,40691.4,2112,70240,16200.5,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,38718122,12224,3167.4,1788,31873,1780.2,CUDA_API,cuEventRecord
0.0,28043210,96,292116.8,4495,2309132,638335.4,CUDA_API,cuMemAllocHost_v2
0.0,26105980,1920,13596.9,5377,46965,5255.4,CUDA_API,cuLaunchKernel
0.0,20695773,1984,10431.3,4416,36321,4046.5,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,20530522,352,58325.3,2125,1523285,185164.0,CUDA_API,cuStreamSynchronize
0.0,11263699,1824,6175.3,4098,18389,1943.8,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,10525828,64,164466.1,74717,234547,46207.8,CUDA_API,cuModuleLoadDataEx
0.0,9322174,16,582635.9,337637,872049,169417.0,CUDA_API,cuMemGetInfo_v2
0.0,8417164,96,87678.8,79168,98720,5221.0,CUDA_KERNEL,calc_neigh_list_cell
0.0,2656541,48,55344.6,8397,90179,33132.3,CUDA_API,cuMemcpyHtoD_v2
0.0,1376836,32,43026.1,33459,124575,16029.8,CUDA_API,cuMemcpyDtoH_v2
0.0,657788,512,1284.7,484,9983,1406.0,CUDA_API,cuEventCreate
0.0,598712,176,3401.8,3008,4832,253.3,CUDA_KERNEL,kernel_zero
0.0,352430,512,688.3,305,3711,427.3,CUDA_API,cuEventDestroy_v2
0.0,204917,16,12807.3,11190,16591,1390.9,CUDA_API,cuMemsetD8Async
0.0,123648,32,3864.0,3584,4544,201.9,CUDA_KERNEL,kernel_info
0.0,88289,16,5518.1,3098,6622,722.5,CUDA_API,cuInit
0.0,36192,16,2262.0,2208,2336,32.5,MEMORY_OPER,[CUDA memset]

