Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.6,1478671056383,96,15402823504.0,15132820359,15528014668,104372930.5,CUDA_API,cuCtxCreate_v2
37.2,893114449543,96,9303275516.1,9088631192,9528698529,190497735.9,CUDA_API,cuCtxDestroy_v2
0.4,9843027206,288,34177177.8,7642,217013974,69795921.7,CUDA_API,cuMemHostAlloc
0.3,7396981312,580,12753416.1,7125,108954515,25901905.6,CUDA_API,cuMemFreeHost
0.2,4403413327,870,5061394.6,5255,55217578,13543970.8,CUDA_API,cuMemFree_v2
0.1,2676869089,870,3076861.0,4395,68640501,9888893.5,CUDA_API,cuMemAlloc_v2
0.1,1751008359,22800,76798.6,1578,1335312,179443.4,CUDA_API,cuEventSynchronize
0.0,325654723,292,1115255.9,6630,12028746,2693061.2,CUDA_API,cuMemAllocHost_v2
0.0,222930620,6096,36570.0,1568,80448,19420.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,137856982,36672,3759.2,1680,120312,2555.3,CUDA_API,cuEventRecord
0.0,114301919,4848,23577.1,14304,68544,5504.2,CUDA_KERNEL,k_lj_fast
0.0,96201230,5760,16701.6,5159,139009,7853.0,CUDA_API,cuLaunchKernel
0.0,75409044,5952,12669.5,4207,102652,6108.1,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,59961228,5568,10768.9,1824,57025,7659.2,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,55928649,48,1165180.2,77802,2362879,691133.6,CUDA_API,cuMemGetInfo_v2
0.0,43604778,5472,7968.7,3956,61130,3429.2,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,41453047,192,215901.3,90611,602450,65229.1,CUDA_API,cuModuleLoadDataEx
0.0,25828005,1056,24458.3,2046,593834,65658.0,CUDA_API,cuStreamSynchronize
0.0,18075704,288,62762.9,54111,67872,2158.5,CUDA_KERNEL,calc_neigh_list_cell
0.0,6510891,144,45214.5,16875,84901,17647.7,CUDA_API,cuMemcpyHtoD_v2
0.0,4620570,96,48130.9,32510,133157,19827.5,CUDA_API,cuMemcpyDtoH_v2
0.0,2357328,1536,1534.7,455,16841,1559.6,CUDA_API,cuEventCreate
0.0,2118785,528,4012.9,3008,10655,557.6,CUDA_KERNEL,kernel_zero
0.0,1505959,1536,980.4,269,17542,836.9,CUDA_API,cuEventDestroy_v2
0.0,991371,48,20653.6,13562,38749,4220.3,CUDA_API,cuMemsetD8Async
0.0,375642,96,3912.9,3520,4384,213.8,CUDA_KERNEL,kernel_info
0.0,287037,48,5979.9,5382,7434,519.4,CUDA_API,cuInit
0.0,99457,48,2072.0,1823,3232,254.3,MEMORY_OPER,[CUDA memset]

