Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
60.9,1482065897478,96,15438186432.1,15167011903,15551454223,104761006.6,CUDA_API,cuCtxCreate_v2
36.5,888192752459,96,9252007838.1,8976336421,9426455064,97336528.4,CUDA_API,cuCtxDestroy_v2
0.7,18003599875,240,75014999.5,8632,224026462,86446512.8,CUDA_API,cuMemHostAlloc
0.5,11991002969,528,22710232.9,7302,113826566,31959299.4,CUDA_API,cuMemFreeHost
0.5,10977770223,22800,481481.2,1463,4921466,1077102.9,CUDA_API,cuEventSynchronize
0.4,8718722375,864,10091113.9,5146,105541657,18762624.3,CUDA_API,cuMemFree_v2
0.2,5243881223,864,6069307.0,4362,64004979,12205297.8,CUDA_API,cuMemAlloc_v2
0.1,3414061506,6096,560049.5,1568,1314014,299560.4,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,1660182516,5568,298165.0,1824,657824,155426.7,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,705653518,288,2450185.8,6662,14119976,3913115.2,CUDA_API,cuMemAllocHost_v2
0.0,562799687,4848,116089.0,76832,239040,22440.5,CUDA_KERNEL,k_lj_fast
0.0,231007299,36672,6299.3,1667,72397,7656.4,CUDA_API,cuEventRecord
0.0,213842178,48,4455045.4,3240266,5686607,733612.4,CUDA_API,cuMemGetInfo_v2
0.0,180794839,5760,31388.0,4980,113173,17591.3,CUDA_API,cuLaunchKernel
0.0,155576779,5952,26138.6,3957,87246,13862.7,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,65750269,288,228299.5,195681,398910,24036.4,CUDA_KERNEL,calc_neigh_list_cell
0.0,49034842,5472,8961.0,3596,55150,4259.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,43208878,192,225046.2,89237,506554,75232.4,CUDA_API,cuModuleLoadDataEx
0.0,26221421,1056,24830.9,1871,603331,65510.3,CUDA_API,cuStreamSynchronize
0.0,8868649,144,61587.8,8434,112166,34666.1,CUDA_API,cuMemcpyHtoD_v2
0.0,4629770,96,48226.8,32208,118420,17488.8,CUDA_API,cuMemcpyDtoH_v2
0.0,2646992,1536,1723.3,433,24625,2023.6,CUDA_API,cuEventCreate
0.0,2117573,528,4010.6,3008,10496,566.7,CUDA_KERNEL,kernel_zero
0.0,1419382,1536,924.1,295,11951,899.4,CUDA_API,cuEventDestroy_v2
0.0,870196,48,18129.1,11044,25196,4120.8,CUDA_API,cuMemsetD8Async
0.0,374212,96,3898.0,3520,4384,202.2,CUDA_KERNEL,kernel_info
0.0,284679,48,5930.8,5408,7886,549.6,CUDA_API,cuInit
0.0,97635,48,2034.1,1792,2337,165.3,MEMORY_OPER,[CUDA memset]

