Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.6,1499828553825,96,15623214102.3,15094591396,16005586821,284162629.5,CUDA_API,cuCtxCreate_v2
36.6,892283320829,96,9294617925.3,8998885702,9469192757,111762749.5,CUDA_API,cuCtxDestroy_v2
0.6,14597166748,22800,640226.6,1459,10996304,1425040.6,CUDA_API,cuEventSynchronize
0.3,8199962241,288,28472091.1,6736,188182252,62590808.0,CUDA_API,cuMemHostAlloc
0.3,6746129848,576,11712031.0,5843,94374062,22636087.4,CUDA_API,cuMemFreeHost
0.2,5989260726,864,6932014.7,4921,51266189,12608206.5,CUDA_API,cuMemFree_v2
0.2,4729175301,864,5473582.5,3768,69572664,13670370.9,CUDA_API,cuMemAlloc_v2
0.0,870740838,6096,142838.1,1504,254207,69226.0,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,473942093,5568,85118.9,2112,190368,42407.0,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,332652396,288,1155043.0,5451,33965049,4793324.2,CUDA_API,cuMemAllocHost_v2
0.0,275709664,4848,56870.8,42816,106880,10271.8,CUDA_KERNEL,k_lj_fast
0.0,216026341,36672,5890.8,1555,73777,6545.3,CUDA_API,cuEventRecord
0.0,171865739,5760,29837.8,4981,351139,15921.6,CUDA_API,cuLaunchKernel
0.0,149284604,5952,25081.4,3989,566293,14434.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,89865597,1056,85100.0,1872,2247046,269630.9,CUDA_API,cuStreamSynchronize
0.0,63960553,288,222085.3,192064,262302,9820.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,53999632,48,1124992.3,127514,2314036,639424.9,CUDA_API,cuMemGetInfo_v2
0.0,47580653,5472,8695.3,3548,42291,3476.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,35032400,192,182460.4,90190,479028,50229.2,CUDA_API,cuModuleLoadDataEx
0.0,5488205,144,38112.5,15532,63214,14900.2,CUDA_API,cuMemcpyHtoD_v2
0.0,4194322,96,43690.9,32223,116703,14397.6,CUDA_API,cuMemcpyDtoH_v2
0.0,1865625,1536,1214.6,401,20603,1448.1,CUDA_API,cuEventCreate
0.0,1754456,528,3322.8,2784,4481,237.3,CUDA_KERNEL,kernel_zero
0.0,1273927,1536,829.4,257,19856,909.2,CUDA_API,cuEventDestroy_v2
0.0,632240,48,13171.7,11205,19358,1462.8,CUDA_API,cuMemsetD8Async
0.0,358112,96,3730.3,3424,4448,246.8,CUDA_KERNEL,kernel_info
0.0,280701,48,5847.9,5354,8320,583.1,CUDA_API,cuInit
0.0,104290,48,2172.7,2080,2496,68.7,MEMORY_OPER,[CUDA memset]

