Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.3,1537152997786,96,16012010393.6,15003612565,16832638925,723804154.1,CUDA_API,cuCtxCreate_v2
35.9,885945460142,96,9228598543.1,8944433425,9649874623,220572271.4,CUDA_API,cuCtxDestroy_v2
0.4,9821167407,288,34101275.7,7158,209866334,68379263.0,CUDA_API,cuMemHostAlloc
0.3,8177219477,576,14196561.6,6874,106009558,25372320.2,CUDA_API,cuMemFreeHost
0.3,7127789430,864,8249756.3,5161,67051408,12489059.5,CUDA_API,cuMemFree_v2
0.3,7047668802,22800,309108.3,1457,3447642,699024.8,CUDA_API,cuEventSynchronize
0.2,5527801448,864,6397918.3,4140,78660801,12368483.4,CUDA_API,cuMemAlloc_v2
0.1,1837953492,6096,301501.6,1568,1166589,185414.3,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,1690625003,5568,303632.4,1888,1640666,183655.1,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,626305559,288,2174672.1,5842,11349860,3197171.3,CUDA_API,cuMemAllocHost_v2
0.0,403272958,4848,83183.4,44128,264608,21725.1,CUDA_KERNEL,k_lj_fast
0.0,221285324,36672,6034.2,1580,84849,6844.2,CUDA_API,cuEventRecord
0.0,206292604,48,4297762.6,3113768,5555642,724764.6,CUDA_API,cuMemGetInfo_v2
0.0,182503480,5760,31684.6,5069,114321,16345.8,CUDA_API,cuLaunchKernel
0.0,153671076,5952,25818.4,3804,107884,12758.6,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,67364104,288,233903.1,201184,312448,16281.9,CUDA_KERNEL,calc_neigh_list_cell
0.0,49542799,5472,9053.9,3462,48494,3794.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,43715863,192,227686.8,90697,719653,87799.5,CUDA_API,cuModuleLoadDataEx
0.0,25309770,1056,23967.6,1788,508564,62482.8,CUDA_API,cuStreamSynchronize
0.0,6431514,144,44663.3,16637,77820,17605.9,CUDA_API,cuMemcpyHtoD_v2
0.0,4616814,96,48091.8,31573,126893,15068.1,CUDA_API,cuMemcpyDtoH_v2
0.0,2454039,1536,1597.7,412,52313,2333.3,CUDA_API,cuEventCreate
0.0,2114848,528,4005.4,3393,4960,468.9,CUDA_KERNEL,kernel_zero
0.0,1276273,1536,830.9,266,13814,721.5,CUDA_API,cuEventDestroy_v2
0.0,953026,48,19854.7,11123,41978,5484.9,CUDA_API,cuMemsetD8Async
0.0,380820,96,3966.9,3679,4384,205.7,CUDA_KERNEL,kernel_info
0.0,274003,48,5708.4,5218,7084,314.5,CUDA_API,cuInit
0.0,101439,48,2113.3,1823,2687,247.7,MEMORY_OPER,[CUDA memset]

