Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
65.0,171350337348,32,5354698042.1,5003593627,5605581772,237589693.2,CUDA_API,cuCtxCreate_v2
33.3,87806987180,32,2743968349.4,2512986741,2806670935,53443699.4,CUDA_API,cuCtxDestroy_v2
0.7,1832244254,7600,241084.8,1590,4015846,542579.4,CUDA_API,cuEventSynchronize
0.3,746558473,96,7776650.8,7846,50172543,16423187.4,CUDA_API,cuMemHostAlloc
0.2,605864807,192,3155545.9,7005,26319466,6267468.2,CUDA_API,cuMemFreeHost
0.2,462934938,288,1607413.0,4406,18562037,3948304.6,CUDA_API,cuMemAlloc_v2
0.2,431791843,288,1499277.2,5270,16129983,3074553.1,CUDA_API,cuMemFree_v2
0.0,79571457,2032,39159.2,1536,60832,17016.9,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,72469599,1856,39046.1,2048,61664,14916.4,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,41412783,1616,25626.7,17952,41408,3497.2,CUDA_KERNEL,k_lj_fast
0.0,37982204,12224,3107.2,1744,28799,1764.6,CUDA_API,cuEventRecord
0.0,27707194,96,288616.6,5327,2349187,629857.2,CUDA_API,cuMemAllocHost_v2
0.0,26701662,1920,13907.1,5959,596005,14695.0,CUDA_API,cuLaunchKernel
0.0,21128107,352,60023.0,2014,1533658,191592.1,CUDA_API,cuStreamSynchronize
0.0,20141318,1984,10151.9,4202,35876,3897.6,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,11250872,1824,6168.2,3996,20589,1821.7,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,10395545,64,162430.4,79223,332751,47357.1,CUDA_API,cuModuleLoadDataEx
0.0,7758985,96,80822.8,73632,90304,4246.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,5887382,16,367961.4,115063,612788,158587.5,CUDA_API,cuMemGetInfo_v2
0.0,1816649,48,37846.9,15530,56759,14997.9,CUDA_API,cuMemcpyHtoD_v2
0.0,1532401,32,47887.5,31915,117618,20142.3,CUDA_API,cuMemcpyDtoH_v2
0.0,592223,176,3364.9,2944,3968,197.4,CUDA_KERNEL,kernel_zero
0.0,567681,512,1108.8,522,15266,1154.6,CUDA_API,cuEventCreate
0.0,402487,512,786.1,312,14535,784.7,CUDA_API,cuEventDestroy_v2
0.0,205716,16,12857.3,10673,22171,2656.6,CUDA_API,cuMemsetD8Async
0.0,123870,32,3870.9,3648,4256,193.3,CUDA_KERNEL,kernel_info
0.0,91641,16,5727.6,5410,6547,306.3,CUDA_API,cuInit
0.0,35135,16,2195.9,2143,2209,20.2,MEMORY_OPER,[CUDA memset]

