Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
73.2,24805271020,12,2067105918.3,1921944192,2187433099,112244512.4,CUDA_API,cuCtxCreate_v2
25.1,8518110119,12,709842509.9,667466337,752185413,26124900.3,CUDA_API,cuCtxDestroy_v2
0.8,257774426,2850,90447.2,1480,1159365,193374.5,CUDA_API,cuEventSynchronize
0.3,99792604,36,2772016.8,7363,16547162,5383781.3,CUDA_API,cuMemHostAlloc
0.2,69342447,72,963089.5,6283,8539899,1951256.0,CUDA_API,cuMemFreeHost
0.1,28225732,108,261349.4,4479,2559951,612174.9,CUDA_API,cuMemFree_v2
0.1,24306493,108,225060.1,4656,2684988,564563.7,CUDA_API,cuMemAlloc_v2
0.0,14128999,762,18542.0,1600,31936,7261.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,12943127,4584,2823.5,1611,27135,1315.3,CUDA_API,cuEventRecord
0.0,12375010,606,20420.8,14592,30209,1378.3,CUDA_KERNEL,k_lj_fast
0.0,9860655,696,14167.6,2208,25184,4695.5,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,9598581,36,266627.3,5957,1603476,584396.9,CUDA_API,cuMemAllocHost_v2
0.0,8208026,720,11400.0,4809,38971,3983.1,CUDA_API,cuLaunchKernel
0.0,6536445,744,8785.5,3479,35087,3191.9,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,3937872,684,5757.1,3107,32118,1802.8,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,3696627,24,154026.1,74318,541669,93974.0,CUDA_API,cuModuleLoadDataEx
0.0,3576442,132,27094.3,1938,593606,79337.0,CUDA_API,cuStreamSynchronize
0.0,2263548,36,62876.3,59424,65664,1856.5,CUDA_KERNEL,calc_neigh_list_cell
0.0,917058,6,152843.0,74037,222942,57979.6,CUDA_API,cuMemGetInfo_v2
0.0,660849,18,36713.8,15536,52603,14987.1,CUDA_API,cuMemcpyHtoD_v2
0.0,493416,12,41118.0,34817,48362,3972.1,CUDA_API,cuMemcpyDtoH_v2
0.0,234553,66,3553.8,3231,4192,184.3,CUDA_KERNEL,kernel_zero
0.0,185061,192,963.9,532,4647,707.4,CUDA_API,cuEventCreate
0.0,101081,192,526.5,267,2284,255.7,CUDA_API,cuEventDestroy_v2
0.0,70904,6,11817.3,10566,13680,1079.4,CUDA_API,cuMemsetD8Async
0.0,46016,12,3834.7,3712,4128,138.3,CUDA_KERNEL,kernel_info
0.0,31777,6,5296.2,3251,5768,1004.1,CUDA_API,cuInit
0.0,11710,6,1951.7,1823,2176,174.0,MEMORY_OPER,[CUDA memset]

