Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
60.5,88415160291,24,3683965012.1,3372249028,3745665947,77980172.2,CUDA_API,cuCtxCreate_v2
31.3,45703158835,24,1904298284.8,1780923630,2024164784,95755761.0,CUDA_API,cuCtxDestroy_v2
2.8,4024874666,99096,40615.9,1468,3028588,209011.6,CUDA_API,cuEventSynchronize
1.1,1545227146,25692,60144.3,1568,182303,57240.5,MEMORY_OPER,[CUDA memcpy HtoD]
1.0,1423841647,7212,197426.7,184383,245120,7409.0,CUDA_KERNEL,k_charmm_long
0.6,837503900,7212,116126.4,102240,156895,8686.1,CUDA_KERNEL,make_rho
0.4,609106654,2448,248818.1,11445,1295768,135391.9,CUDA_API,cuMemcpyHtoD_v2
0.4,574865959,804,715007.4,691390,833823,34777.8,CUDA_KERNEL,calc_neigh_list_cell
0.3,462418203,183936,2514.0,1575,40258,1075.4,CUDA_API,cuEventRecord
0.3,440140915,84,5239772.8,8104,33188148,10397076.1,CUDA_API,cuMemHostAlloc
0.2,253142935,31416,8057.8,4181,1037714,6680.2,CUDA_API,cuLaunchKernel
0.2,231564799,216,1072059.3,4480,12582922,2709885.3,CUDA_API,cuMemFreeHost
0.1,199735882,36216,5515.1,1696,51583,3598.4,MEMORY_OPER,[CUDA memcpy DtoH]
0.1,192717697,420,458851.7,3983,5689726,1288807.2,CUDA_API,cuMemFree_v2
0.1,182507134,7212,25306.0,22912,35488,1605.5,CUDA_KERNEL,interp
0.1,174834305,23244,7521.7,3254,265048,3328.1,CUDA_API,cuMemcpyHtoDAsync_v2
0.1,166585871,36192,4602.8,2959,26130,1380.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.1,150720104,420,358857.4,3214,7326765,1249020.9,CUDA_API,cuMemAlloc_v2
0.1,132845658,804,165230.9,155168,195168,7273.9,CUDA_KERNEL,kernel_special
0.1,89351595,7248,12327.8,1568,85600,15521.2,MEMORY_OPER,[CUDA memset]
0.0,69362050,7212,9617.6,4224,67072,11155.7,CUDA_KERNEL,particle_map
0.0,62698549,4808,13040.5,10627,74110,2353.6,CUDA_API,cuMemsetD32Async
0.0,30669753,2440,12569.6,4668,46385,1895.1,CUDA_API,cuMemsetD8Async
0.0,28165944,132,213378.4,4931,2674951,652005.6,CUDA_API,cuMemAllocHost_v2
0.0,10071367,60,167856.1,78173,240004,51112.7,CUDA_API,cuModuleLoadDataEx
0.0,6427022,24,267792.6,54558,488009,121734.9,CUDA_API,cuMemGetInfo_v2
0.0,4788697,804,5956.1,5279,11231,694.7,CUDA_KERNEL,transpose
0.0,4609705,264,17461.0,2145,316205,45071.2,CUDA_API,cuStreamSynchronize
0.0,983636,24,40984.8,31698,70769,8651.3,CUDA_API,cuMemcpyDtoH_v2
0.0,539294,132,4085.6,3008,6304,575.0,CUDA_KERNEL,kernel_zero
0.0,506844,504,1005.6,403,7981,967.5,CUDA_API,cuEventCreate
0.0,307964,504,611.0,299,12766,969.9,CUDA_API,cuEventDestroy_v2
0.0,91778,24,3824.1,3456,4224,207.2,CUDA_KERNEL,kernel_info
0.0,67045,12,5587.1,3070,6618,855.0,CUDA_API,cuInit

