Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.1,494972304135,56,8838791145.3,8594830920,9048027095,131088560.5,CUDA_API,cuCtxCreate_v2
35.0,279261359599,56,4986809992.8,4767986735,5077946078,54872495.6,CUDA_API,cuCtxDestroy_v2
1.3,10410506915,39984,260366.8,1473,17028616,1370066.1,CUDA_API,cuEventSynchronize
0.3,2542127330,980,2594007.5,5058,15834905,5232645.9,CUDA_API,cuMemFree_v2
0.3,2375435100,196,12119566.8,9230,90289914,28647156.9,CUDA_API,cuMemHostAlloc
0.3,2139121467,504,4244288.6,6346,56412383,10320849.0,CUDA_API,cuMemFreeHost
0.2,1354120050,980,1381755.2,4162,23994876,4661592.1,CUDA_API,cuMemAlloc_v2
0.1,959920589,1092,879048.2,10647,2193406,534911.4,CUDA_API,cuMemcpyHtoD_v2
0.1,825862497,10248,80587.7,1472,192704,58139.0,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,436093127,2828,154205.5,144735,182624,3336.4,CUDA_KERNEL,k_charmm_long
0.0,368881005,2828,130438.8,121408,160097,6207.8,CUDA_KERNEL,make_rho
0.0,272702533,14504,18801.9,1727,88224,16610.5,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,258283601,74704,3457.4,1568,81258,3063.9,CUDA_API,cuEventRecord
0.0,251515060,336,748556.7,718369,776001,13624.5,CUDA_KERNEL,calc_neigh_list_cell
0.0,159963273,12684,12611.4,4680,77361,6780.7,CUDA_API,cuLaunchKernel
0.0,125100244,9156,13663.2,4073,73690,6865.1,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,117835111,308,382581.5,5863,3809835,815885.6,CUDA_API,cuMemAllocHost_v2
0.0,117486101,2828,41543.9,24032,74496,10816.1,CUDA_KERNEL,interp
0.0,88377761,14448,6117.0,3347,23508,2025.7,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,70494833,336,209806.1,192831,236287,8751.8,CUDA_KERNEL,kernel_special
0.0,70091453,2912,24069.9,6834,103085,6783.1,CUDA_API,cuMemsetD8Async
0.0,31683532,616,51434.3,1803,1259340,156202.9,CUDA_API,cuStreamSynchronize
0.0,28481220,56,508593.2,81469,1134630,274855.9,CUDA_API,cuMemGetInfo_v2
0.0,27609794,2828,9763.0,4512,48000,7614.2,CUDA_KERNEL,particle_map
0.0,26589215,2912,9130.9,1504,56703,10134.9,MEMORY_OPER,[CUDA memset]
0.0,26363790,140,188312.8,87672,349009,44944.3,CUDA_API,cuModuleLoadDataEx
0.0,3822884,336,11377.6,9760,25696,1715.7,CUDA_KERNEL,transpose
0.0,2534366,56,45256.5,32270,122217,20729.3,CUDA_API,cuMemcpyDtoH_v2
0.0,1295610,1176,1101.7,399,11902,1147.9,CUDA_API,cuEventCreate
0.0,1086694,1176,924.1,254,19747,1831.8,CUDA_API,cuEventDestroy_v2
0.0,1036539,308,3365.4,2720,4288,239.5,CUDA_KERNEL,kernel_zero
0.0,205343,56,3666.8,3328,4385,266.4,CUDA_KERNEL,kernel_info
0.0,154182,28,5506.5,3170,6209,536.1,CUDA_API,cuInit

