Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.0,204892238306,36,5691451064.1,5368026759,5819249625,102264766.6,CUDA_API,cuCtxCreate_v2
33.3,110092604172,36,3058127893.7,2938812745,3192468984,102265376.5,CUDA_API,cuCtxDestroy_v2
1.6,5385213129,148644,36228.9,1454,3294748,207638.3,CUDA_API,cuEventSynchronize
0.4,1389808756,38538,36063.3,1568,117120,26926.9,MEMORY_OPER,[CUDA memcpy HtoD]
0.4,1238917917,10818,114523.7,95776,132928,3774.8,CUDA_KERNEL,k_charmm_long
0.3,1105736995,126,8775690.4,7633,57502547,18066269.2,CUDA_API,cuMemHostAlloc
0.2,776742792,1206,644065.3,602076,744895,32877.4,CUDA_KERNEL,calc_neigh_list_cell
0.2,754753226,275904,2735.6,1586,74950,1350.0,CUDA_API,cuEventRecord
0.2,726528663,10818,67159.2,57472,88383,4177.9,CUDA_KERNEL,make_rho
0.2,586660679,324,1810681.1,5133,21153270,4727949.7,CUDA_API,cuMemFreeHost
0.2,502615906,3672,136878.0,11260,538406,77482.8,CUDA_API,cuMemcpyHtoD_v2
0.1,441292816,47124,9364.5,5320,74143,3447.6,CUDA_API,cuLaunchKernel
0.1,426789002,630,677442.9,3891,24829778,2177751.7,CUDA_API,cuMemFree_v2
0.1,373992708,630,593639.2,3323,15751888,2187697.5,CUDA_API,cuMemAlloc_v2
0.1,302384196,34866,8672.8,3955,49519,3360.6,CUDA_API,cuMemcpyHtoDAsync_v2
0.1,286338108,54288,5274.4,3288,97936,1321.0,CUDA_API,cuMemcpyDtoHAsync_v2
0.1,286117285,10818,26448.3,22240,72640,5553.7,CUDA_KERNEL,interp
0.1,279576363,54324,5146.5,1696,56192,3528.9,MEMORY_OPER,[CUDA memcpy DtoH]
0.1,177794677,1206,147425.1,133601,177632,8407.4,CUDA_KERNEL,kernel_special
0.1,171169730,10872,15744.1,6128,74690,2877.8,CUDA_API,cuMemsetD8Async
0.0,54161917,10872,4981.8,1568,43904,2961.4,MEMORY_OPER,[CUDA memset]
0.0,51249041,10818,4737.4,3776,40736,1122.9,CUDA_KERNEL,particle_map
0.0,45193980,198,228252.4,5266,3630345,710908.3,CUDA_API,cuMemAllocHost_v2
0.0,14371940,90,159688.2,83078,247187,36223.5,CUDA_API,cuModuleLoadDataEx
0.0,13181047,36,366140.2,53962,743191,184533.0,CUDA_API,cuMemGetInfo_v2
0.0,6474143,1206,5368.3,4641,14208,673.4,CUDA_KERNEL,transpose
0.0,6468845,396,16335.5,2082,314499,42599.1,CUDA_API,cuStreamSynchronize
0.0,1428322,36,39675.6,32012,63797,7206.2,CUDA_API,cuMemcpyDtoH_v2
0.0,773510,198,3906.6,2816,4992,491.3,CUDA_KERNEL,kernel_zero
0.0,763011,756,1009.3,408,8731,959.3,CUDA_API,cuEventCreate
0.0,518694,756,686.1,298,15278,1199.1,CUDA_API,cuEventDestroy_v2
0.0,137852,36,3829.2,3552,4256,171.5,CUDA_KERNEL,kernel_info
0.0,105715,18,5873.1,5292,7026,487.6,CUDA_API,cuInit

