Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
49.3,1493837850655,96,15560810944.3,14055061527,15864724078,268474734.6,CUDA_API,cuCtxCreate_v2
29.4,891627877878,96,9287790394.6,9107354621,9379575890,48804878.7,CUDA_API,cuCtxDestroy_v2
9.1,275106921722,68544,4013581.4,1463,61935185,13601503.6,CUDA_API,cuEventSynchronize
8.2,249423066507,17568,14197578.9,1696,54313981,21555255.7,MEMORY_OPER,[CUDA memcpy HtoD]
0.8,25593941877,1680,15234489.2,5560,86651887,17731394.5,CUDA_API,cuMemFree_v2
0.7,21828880622,864,25264908.1,7815,188634647,36571565.8,CUDA_API,cuMemFreeHost
0.5,16492678121,336,49085351.6,9142,208236583,76723419.0,CUDA_API,cuMemHostAlloc
0.5,13888222742,576,24111497.8,2584363,39748622,5233493.4,CUDA_KERNEL,calc_neigh_list_cell
0.4,12549895467,1872,6704004.0,10863,20457229,7010038.7,CUDA_API,cuMemcpyHtoD_v2
0.4,11336966593,1680,6748194.4,4171,63602817,14231757.5,CUDA_API,cuMemAlloc_v2
0.3,10328716595,24864,415408.5,2080,12641518,875239.7,MEMORY_OPER,[CUDA memcpy DtoH]
0.1,3282708937,4848,677126.4,624477,869081,22403.7,CUDA_KERNEL,k_charmm_long
0.1,2204307612,4848,454683.9,412414,703546,26914.8,CUDA_KERNEL,make_rho
0.0,1427344208,528,2703303.4,8040,19159981,3346789.4,CUDA_API,cuMemAllocHost_v2
0.0,1080211407,4848,222815.9,184862,411548,21818.1,CUDA_KERNEL,interp
0.0,536094142,128064,4186.1,1550,521478,5658.5,CUDA_API,cuEventRecord
0.0,502556073,576,872493.2,561311,15393344,1694154.2,CUDA_KERNEL,kernel_special
0.0,337342546,21744,15514.3,4684,116045,10900.1,CUDA_API,cuLaunchKernel
0.0,284116915,96,2959551.2,266623,6082023,1961560.0,CUDA_API,cuMemGetInfo_v2
0.0,279536334,15696,17809.4,4207,79417,10188.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,253936585,4848,52379.7,18528,263006,25776.1,CUDA_KERNEL,particle_map
0.0,237925264,4992,47661.3,1632,216096,28102.0,MEMORY_OPER,[CUDA memset]
0.0,160474446,24768,6479.1,3331,39660,2387.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,147738778,4992,29595.1,7045,112415,12542.0,CUDA_API,cuMemsetD8Async
0.0,47457939,240,197741.4,88969,484136,50268.6,CUDA_API,cuModuleLoadDataEx
0.0,47304969,1056,44796.4,1806,1097748,129515.2,CUDA_API,cuStreamSynchronize
0.0,22990249,576,39913.6,34048,74560,7434.9,CUDA_KERNEL,transpose
0.0,4819689,96,50205.1,32384,129294,20430.8,CUDA_API,cuMemcpyDtoH_v2
0.0,3622823,2016,1797.0,250,38196,3092.3,CUDA_API,cuEventDestroy_v2
0.0,2328065,2016,1154.8,393,30738,1686.5,CUDA_API,cuEventCreate
0.0,2027855,528,3840.6,2848,5375,626.4,CUDA_KERNEL,kernel_zero
0.0,365729,96,3809.7,3297,4704,249.2,CUDA_KERNEL,kernel_info
0.0,290339,48,6048.7,5298,7865,769.5,CUDA_API,cuInit

