Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.1,23703869930,12,1975322494.2,1945872485,1990407798,15310289.7,CUDA_API,cuCtxCreate_v2
23.1,8956766804,12,746397233.7,657060741,853232181,92007592.6,CUDA_API,cuCtxDestroy_v2
8.1,3136419132,49548,63300.6,1476,5665606,402706.1,CUDA_API,cuEventSynchronize
1.2,478790420,3606,132776.0,123551,152352,3135.4,CUDA_KERNEL,k_charmm_long
1.1,445983549,3606,123678.2,113888,150240,5351.6,CUDA_KERNEL,make_rho
0.7,286427766,12846,22297.0,1600,55264,12071.5,MEMORY_OPER,[CUDA memcpy HtoD]
0.7,266741297,1224,217925.9,12540,664742,145476.2,CUDA_API,cuMemcpyHtoD_v2
0.7,256544918,402,638171.4,620702,748030,23328.6,CUDA_KERNEL,calc_neigh_list_cell
0.7,253845546,91968,2760.2,1785,65761,1264.4,CUDA_API,cuEventRecord
0.4,139882963,15708,8905.2,5229,69042,3172.7,CUDA_API,cuLaunchKernel
0.3,110567364,42,2632556.3,7513,17568790,5425689.1,CUDA_API,cuMemHostAlloc
0.3,110322609,3606,30594.2,28320,43840,1837.6,CUDA_KERNEL,interp
0.3,102256027,18108,5647.0,1824,26529,2816.2,MEMORY_OPER,[CUDA memcpy DtoH]
0.3,98266974,11622,8455.3,3980,48817,3074.9,CUDA_API,cuMemcpyHtoDAsync_v2
0.2,94250883,18096,5208.4,3680,16061,1248.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.2,72444985,402,180211.4,173312,205119,5711.7,CUDA_KERNEL,kernel_special
0.2,70223033,108,650213.3,4832,8141143,1676094.3,CUDA_API,cuMemFreeHost
0.1,54290278,210,258525.1,3997,2840804,681018.7,CUDA_API,cuMemFree_v2
0.1,42432802,210,202061.0,2365,2737113,549414.1,CUDA_API,cuMemAlloc_v2
0.1,36091139,2404,15013.0,11058,71643,2563.5,CUDA_API,cuMemsetD32Async
0.0,18595176,3606,5156.7,4063,15584,883.2,CUDA_KERNEL,particle_map
0.0,18563436,1220,15215.9,5330,73013,2509.2,CUDA_API,cuMemsetD8Async
0.0,16185741,3624,4466.3,1567,20639,1555.4,MEMORY_OPER,[CUDA memset]
0.0,15235567,66,230841.9,4434,3031456,718547.7,CUDA_API,cuMemAllocHost_v2
0.0,4636816,30,154560.5,73797,222178,43869.9,CUDA_API,cuModuleLoadDataEx
0.0,3560005,132,26969.7,2088,602762,80916.9,CUDA_API,cuStreamSynchronize
0.0,3365243,402,8371.3,6944,16864,1462.9,CUDA_KERNEL,transpose
0.0,1970777,12,164231.4,87924,259103,59535.6,CUDA_API,cuMemGetInfo_v2
0.0,480718,12,40059.8,33918,49670,4273.6,CUDA_API,cuMemcpyDtoH_v2
0.0,269859,252,1070.9,471,14655,1219.1,CUDA_API,cuEventCreate
0.0,236959,66,3590.3,3328,4065,165.9,CUDA_KERNEL,kernel_zero
0.0,140085,252,555.9,297,6353,780.4,CUDA_API,cuEventDestroy_v2
0.0,46176,12,3848.0,3679,4192,184.7,CUDA_KERNEL,kernel_info
0.0,31133,6,5188.8,3291,5732,941.2,CUDA_API,cuInit

