Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.7,1495366752684,96,15576737007.1,15193736446,15737307473,123813671.6,CUDA_API,cuCtxCreate_v2
36.7,889911450740,96,9269910945.2,8989354084,9508502078,173593238.0,CUDA_API,cuCtxDestroy_v2
0.4,9172813425,336,27300040.0,9245,197837646,61667199.9,CUDA_API,cuMemHostAlloc
0.3,6390663474,864,7396601.2,5059,106344396,20255835.5,CUDA_API,cuMemFreeHost
0.2,5940031799,68544,86660.1,1459,7235637,504502.7,CUDA_API,cuEventSynchronize
0.2,4835053688,1680,2878008.1,3829,48794123,7681225.6,CUDA_API,cuMemFree_v2
0.2,4542903851,1680,2704109.4,3179,67056093,9181676.4,CUDA_API,cuMemAlloc_v2
0.1,1665430311,4848,343529.4,319199,427681,17006.7,CUDA_KERNEL,k_charmm_long
0.1,1523671740,17568,86729.9,1568,277246,81210.9,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,1258945877,1872,672513.8,10595,1744166,452795.7,CUDA_API,cuMemcpyHtoD_v2
0.0,663379407,4848,136835.7,117216,208671,14108.3,CUDA_KERNEL,make_rho
0.0,460709838,128064,3597.5,1576,178517,3302.6,CUDA_API,cuEventRecord
0.0,455743596,576,791221.5,741855,903935,46256.0,CUDA_KERNEL,calc_neigh_list_cell
0.0,275120433,528,521061.4,4662,10168826,1787621.0,CUDA_API,cuMemAllocHost_v2
0.0,272983824,21744,12554.4,4738,79109,5868.8,CUDA_API,cuLaunchKernel
0.0,267527550,24864,10759.6,1888,121184,8626.1,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,220644021,15696,14057.3,3986,59968,7453.2,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,158302859,24768,6391.4,3430,32376,2255.8,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,135004208,4848,27847.4,23264,64543,3886.7,CUDA_KERNEL,interp
0.0,121361413,4848,25033.3,12219,95829,7197.9,CUDA_API,cuMemsetD32Async
0.0,106077113,576,184161.7,169024,222559,10016.1,CUDA_KERNEL,kernel_special
0.0,89540264,96,932711.1,97680,1881502,451424.0,CUDA_API,cuMemGetInfo_v2
0.0,66982074,4992,13417.9,1568,87232,15595.1,MEMORY_OPER,[CUDA memset]
0.0,54910206,4848,11326.4,4351,90465,11396.2,CUDA_KERNEL,particle_map
0.0,46336622,240,193069.3,89210,440538,48215.3,CUDA_API,cuModuleLoadDataEx
0.0,28275863,1056,26776.4,1890,626702,74515.0,CUDA_API,cuStreamSynchronize
0.0,5188632,576,9008.0,7232,26528,2026.7,CUDA_KERNEL,transpose
0.0,4516740,96,47049.4,32705,134867,17412.7,CUDA_API,cuMemcpyDtoH_v2
0.0,2132743,528,4039.3,3328,6111,494.5,CUDA_KERNEL,kernel_zero
0.0,2077460,2016,1030.5,396,13937,1093.5,CUDA_API,cuEventCreate
0.0,1405449,144,9760.1,4334,29878,4809.8,CUDA_API,cuMemsetD8Async
0.0,1332304,2016,660.9,253,12105,934.8,CUDA_API,cuEventDestroy_v2
0.0,374918,96,3905.4,3552,4320,198.4,CUDA_KERNEL,kernel_info
0.0,287154,48,5982.4,5056,7510,590.6,CUDA_API,cuInit

