Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
62.3,498629285533,56,8904094384.5,8591353083,9073825681,130027175.9,CUDA_API,cuCtxCreate_v2
34.9,279104036820,56,4984000657.5,4784804831,5094045217,63144286.6,CUDA_API,cuCtxDestroy_v2
1.4,10954758927,39984,273978.6,1468,17584118,1365775.6,CUDA_API,cuEventSynchronize
0.3,2394387886,196,12216264.7,8788,90871848,28593325.7,CUDA_API,cuMemHostAlloc
0.2,1959050518,980,1999031.1,4735,22388656,4723126.5,CUDA_API,cuMemFree_v2
0.2,1843908534,504,3658548.7,5669,57644136,10062542.3,CUDA_API,cuMemFreeHost
0.2,1454939768,980,1484632.4,3699,39796048,5237247.4,CUDA_API,cuMemAlloc_v2
0.1,975178629,1092,893020.7,10574,2147900,539355.8,CUDA_API,cuMemcpyHtoD_v2
0.1,483416014,10248,47171.7,1472,165983,35564.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,417273821,2828,147550.9,137375,182272,5245.4,CUDA_KERNEL,k_charmm_long
0.0,384939893,2828,136117.4,124544,166432,5900.0,CUDA_KERNEL,make_rho
0.0,252168897,336,750502.7,719900,798909,15997.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,250565393,74704,3354.1,1606,71535,2472.6,CUDA_API,cuEventRecord
0.0,151287558,12684,11927.4,4796,77384,5470.9,CUDA_API,cuLaunchKernel
0.0,125794685,14504,8673.1,1920,47775,5366.3,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,115985016,9156,12667.7,4067,45833,6078.6,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,92680484,2828,32772.4,28576,67296,2215.5,CUDA_KERNEL,interp
0.0,89598944,14448,6201.5,3391,23537,2006.7,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,70898557,336,211007.6,191230,237919,8553.1,CUDA_KERNEL,kernel_special
0.0,68111698,2912,23390.0,6652,71171,6282.9,CUDA_API,cuMemsetD8Async
0.0,50841355,308,165069.3,5028,1932612,489528.9,CUDA_API,cuMemAllocHost_v2
0.0,32066855,616,52056.6,1887,1282105,158790.1,CUDA_API,cuStreamSynchronize
0.0,30097875,56,537462.1,82035,1091462,264448.4,CUDA_API,cuMemGetInfo_v2
0.0,27080099,2912,9299.5,1664,48576,10754.4,MEMORY_OPER,[CUDA memset]
0.0,25653971,2828,9071.4,4352,44608,6755.7,CUDA_KERNEL,particle_map
0.0,24504367,140,175031.2,74229,437609,41180.8,CUDA_API,cuModuleLoadDataEx
0.0,3947937,336,11749.8,9503,39392,2833.6,CUDA_KERNEL,transpose
0.0,2466433,56,44043.4,32218,117082,15978.8,CUDA_API,cuMemcpyDtoH_v2
0.0,1226855,1176,1043.2,400,10791,1111.7,CUDA_API,cuEventCreate
0.0,1011127,308,3282.9,2784,3999,222.6,CUDA_KERNEL,kernel_zero
0.0,887002,1176,754.3,260,17159,1356.4,CUDA_API,cuEventDestroy_v2
0.0,205377,56,3667.4,3296,4320,259.9,CUDA_KERNEL,kernel_info
0.0,159663,28,5702.3,5136,6603,304.1,CUDA_API,cuInit

