Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
59.2,1493171153762,96,15553866185.0,15172214453,15730260235,130186472.2,CUDA_API,cuCtxCreate_v2
35.1,884026522919,96,9208609613.7,9044922521,9357606855,63903227.0,CUDA_API,cuCtxDestroy_v2
0.9,23111818720,1680,13757035.0,5799,136153141,19641885.4,CUDA_API,cuMemFree_v2
0.9,22563038949,17568,1284326.0,1792,10565202,2255228.8,MEMORY_OPER,[CUDA memcpy HtoD]
0.7,18863097257,336,56140170.4,9932,228367721,83929111.0,CUDA_API,cuMemHostAlloc
0.7,16700984007,68544,243653.5,1463,33301898,1747895.5,CUDA_API,cuEventSynchronize
0.6,16301083210,864,18866994.5,10661,145105538,27782348.0,CUDA_API,cuMemFreeHost
0.5,11345702292,1680,6753394.2,4046,54681916,13385598.2,CUDA_API,cuMemAlloc_v2
0.4,9693417277,576,16828849.4,2732761,20276077,3402375.1,CUDA_KERNEL,calc_neigh_list_cell
0.4,9399304126,1872,5020995.8,10767,17476830,4119816.8,CUDA_API,cuMemcpyHtoD_v2
0.3,7761732242,4848,1601017.4,1534264,1859838,47227.1,CUDA_KERNEL,k_charmm_long
0.1,2297441956,24864,92400.3,1727,1720055,126034.5,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,1213266035,528,2297852.3,8381,17758076,2984216.6,CUDA_API,cuMemAllocHost_v2
0.0,938975023,4848,193683.0,175648,300416,15546.3,CUDA_KERNEL,make_rho
0.0,637557709,576,1106871.0,574111,16262855,2257557.7,CUDA_KERNEL,kernel_special
0.0,550532912,128064,4298.9,1550,315550,5743.3,CUDA_API,cuEventRecord
0.0,340721709,4848,70280.9,40320,243007,23627.5,CUDA_KERNEL,interp
0.0,331561703,96,3453767.7,155123,7192444,2566665.7,CUDA_API,cuMemGetInfo_v2
0.0,327025568,21744,15039.8,4850,100391,10387.4,CUDA_API,cuLaunchKernel
0.0,281078639,15696,17907.7,4000,80659,10817.9,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,157045653,24768,6340.7,3401,49221,2751.8,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,135447212,4992,27132.9,7501,268930,13254.5,CUDA_API,cuMemsetD8Async
0.0,96718366,4992,19374.7,1568,90656,19809.1,MEMORY_OPER,[CUDA memset]
0.0,95086424,4848,19613.5,8576,89664,14507.4,CUDA_KERNEL,particle_map
0.0,49415100,240,205896.3,90928,461548,50176.1,CUDA_API,cuModuleLoadDataEx
0.0,36597086,1056,34656.3,1831,808860,100688.2,CUDA_API,cuStreamSynchronize
0.0,21388463,576,37132.7,33825,68864,5457.8,CUDA_KERNEL,transpose
0.0,4680508,96,48755.3,32072,307673,31623.7,CUDA_API,cuMemcpyDtoH_v2
0.0,3128618,2016,1551.9,253,32971,2830.0,CUDA_API,cuEventDestroy_v2
0.0,2371921,2016,1176.5,393,36655,1779.2,CUDA_API,cuEventCreate
0.0,2036722,528,3857.4,3040,5536,453.0,CUDA_KERNEL,kernel_zero
0.0,369440,96,3848.3,3552,4352,164.6,CUDA_KERNEL,kernel_info
0.0,290470,48,6051.5,5266,8334,747.3,CUDA_API,cuInit

