Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
64.8,713149487158,64,11142960736.8,10754271851,11253850274,110501694.7,CUDA_API,cuCtxCreate_v2
33.5,368321714337,64,5755026786.5,5544535694,5814857060,43059072.2,CUDA_API,cuCtxDestroy_v2
0.4,4610922610,45696,100904.3,1467,9456812,643154.6,CUDA_API,cuEventSynchronize
0.3,3083040782,224,13763574.9,9369,100331072,31601198.7,CUDA_API,cuMemHostAlloc
0.2,2617466655,1120,2337023.8,4781,40855234,5620430.1,CUDA_API,cuMemFree_v2
0.2,2479652854,576,4304952.9,6138,65463303,11929796.7,CUDA_API,cuMemFreeHost
0.2,1872566739,1120,1671934.6,3843,25673143,5687551.3,CUDA_API,cuMemAlloc_v2
0.1,1035275230,1248,829547.5,10514,2054607,512788.2,CUDA_API,cuMemcpyHtoD_v2
0.1,792828404,11712,67693.7,1568,287902,55633.1,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,501668775,3232,155219.3,144607,202942,7155.3,CUDA_KERNEL,k_charmm_long
0.0,452084290,3232,139877.6,124863,199168,11583.6,CUDA_KERNEL,make_rho
0.0,283505583,85376,3320.7,1579,65455,2470.6,CUDA_API,cuEventRecord
0.0,278660074,384,725677.3,694238,826779,31200.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,234694696,16576,14158.7,2079,91360,12859.7,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,171518722,14496,11832.1,4840,1151630,10842.2,CUDA_API,cuLaunchKernel
0.0,130832467,10464,12503.1,4222,58250,6084.3,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,102446682,16512,6204.4,3338,31622,2076.5,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,95700137,3232,29610.2,23424,86432,7181.1,CUDA_KERNEL,interp
0.0,82349906,352,233948.6,5218,4010020,743965.2,CUDA_API,cuMemAllocHost_v2
0.0,78768510,384,205126.3,191936,239295,9682.1,CUDA_KERNEL,kernel_special
0.0,74743099,3232,23126.0,11645,85628,5154.8,CUDA_API,cuMemsetD32Async
0.0,39698003,3328,11928.5,1568,89536,15461.6,MEMORY_OPER,[CUDA memset]
0.0,38003898,3232,11758.6,4800,84960,12428.5,CUDA_KERNEL,particle_map
0.0,34410362,64,537661.9,68647,1278878,314590.5,CUDA_API,cuMemGetInfo_v2
0.0,29241142,160,182757.1,83748,485128,50205.1,CUDA_API,cuModuleLoadDataEx
0.0,23987470,704,34073.1,1815,802836,97036.9,CUDA_API,cuStreamSynchronize
0.0,4473780,384,11650.5,8992,40736,2895.5,CUDA_KERNEL,transpose
0.0,2837284,64,44332.6,32868,127860,17023.4,CUDA_API,cuMemcpyDtoH_v2
0.0,1430071,352,4062.7,2848,11296,642.5,CUDA_KERNEL,kernel_zero
0.0,1380029,1344,1026.8,392,11337,1095.5,CUDA_API,cuEventCreate
0.0,1023362,1344,761.4,255,22459,1332.1,CUDA_API,cuEventDestroy_v2
0.0,919493,96,9578.1,6242,21215,3124.3,CUDA_API,cuMemsetD8Async
0.0,252925,64,3952.0,3615,6304,360.1,CUDA_KERNEL,kernel_info
0.0,182619,32,5706.8,5180,7005,383.9,CUDA_API,cuInit

