Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.1,823775639624,72,11441328328.1,11014715495,11587122496,119271205.3,CUDA_API,cuCtxCreate_v2
35.8,482138633214,72,6696369905.8,6506948488,6841377249,80043342.9,CUDA_API,cuCtxDestroy_v2
0.7,8906461030,51408,173250.5,1465,17290933,1134215.8,CUDA_API,cuEventSynchronize
0.6,7802102167,1260,6192144.6,5588,36561591,9801498.6,CUDA_API,cuMemFree_v2
0.4,4989710305,1260,3960087.5,3875,44461885,9809414.0,CUDA_API,cuMemAlloc_v2
0.4,4761258257,252,18893882.0,10077,131042618,41996460.6,CUDA_API,cuMemHostAlloc
0.3,4123997041,648,6364193.0,7629,76792583,14562624.0,CUDA_API,cuMemFreeHost
0.3,3430712011,1404,2443527.1,10787,8238447,2488401.4,CUDA_API,cuMemcpyHtoD_v2
0.2,2256592506,13176,171265.4,1504,7645859,187654.6,MEMORY_OPER,[CUDA memcpy HtoD]
0.1,1401795310,3636,385532.3,364829,459677,11336.3,CUDA_KERNEL,k_charmm_long
0.0,671127679,432,1553536.3,1346640,1700403,97220.5,CUDA_KERNEL,calc_neigh_list_cell
0.0,567746924,3636,156146.0,137247,228767,14593.8,CUDA_KERNEL,make_rho
0.0,516854744,18648,27716.4,2080,169950,28874.3,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,352983655,96048,3675.1,1583,1355466,5691.3,CUDA_API,cuEventRecord
0.0,227494527,432,526607.7,359837,17508384,1198804.3,CUDA_KERNEL,kernel_special
0.0,214402944,16308,13147.1,4795,81234,7835.2,CUDA_API,cuLaunchKernel
0.0,176128408,11772,14961.6,4059,64413,7929.4,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,165708358,396,418455.4,5181,3697996,887759.6,CUDA_API,cuMemAllocHost_v2
0.0,165560239,3636,45533.6,32128,154270,13325.6,CUDA_KERNEL,interp
0.0,111566294,18576,6005.9,3332,34412,2255.1,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,88160927,3744,23547.3,1503,95935,22053.4,MEMORY_OPER,[CUDA memset]
0.0,87678838,3744,23418.5,6421,86682,6961.3,CUDA_API,cuMemsetD8Async
0.0,77234335,3636,21241.6,5920,100382,18916.0,CUDA_KERNEL,particle_map
0.0,47671941,72,662110.3,91826,1487269,360474.6,CUDA_API,cuMemGetInfo_v2
0.0,33681665,180,187120.4,81882,469539,49378.4,CUDA_API,cuModuleLoadDataEx
0.0,29748289,792,37561.0,1873,922732,108637.0,CUDA_API,cuStreamSynchronize
0.0,10465646,432,24226.0,20352,66111,7095.4,CUDA_KERNEL,transpose
0.0,3308634,72,45953.3,32323,123234,17653.5,CUDA_API,cuMemcpyDtoH_v2
0.0,1962593,1512,1298.0,253,34991,2331.5,CUDA_API,cuEventDestroy_v2
0.0,1810438,1512,1197.4,374,61014,2081.6,CUDA_API,cuEventCreate
0.0,1540244,396,3889.5,2847,5023,588.4,CUDA_KERNEL,kernel_zero
0.0,276574,72,3841.3,3424,4255,215.2,CUDA_KERNEL,kernel_info
0.0,205878,36,5718.8,4529,7024,386.4,CUDA_API,cuInit

