Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
61.9,201280252674,36,5591118129.8,5504464792,5664158989,48180579.7,CUDA_API,cuCtxCreate_v2
33.6,109320250996,36,3036673638.8,2884149844,3199783678,126650169.9,CUDA_API,cuCtxDestroy_v2
1.6,5083982872,148644,34202.4,1465,3327103,212944.7,CUDA_API,cuEventSynchronize
0.4,1218914146,10818,112674.6,78464,137535,3595.8,CUDA_KERNEL,k_charmm_long
0.4,1200904639,10818,111009.9,99296,138688,6163.8,CUDA_KERNEL,make_rho
0.3,1055910400,126,8380241.3,8404,54368140,16984220.4,CUDA_API,cuMemHostAlloc
0.3,865503427,38538,22458.4,1568,79424,15179.5,MEMORY_OPER,[CUDA memcpy HtoD]
0.2,761177453,1206,631158.8,601985,743806,31016.2,CUDA_KERNEL,calc_neigh_list_cell
0.2,744856081,275904,2699.7,1564,83460,1559.9,CUDA_API,cuEventRecord
0.2,549853451,324,1697078.6,4421,20768918,4413003.0,CUDA_API,cuMemFreeHost
0.1,483808090,3672,131756.0,10973,961594,72837.1,CUDA_API,cuMemcpyHtoD_v2
0.1,423476897,47124,8986.4,4334,102056,3709.8,CUDA_API,cuLaunchKernel
0.1,356747557,630,566266.0,3644,18516326,2050034.0,CUDA_API,cuMemFree_v2
0.1,354187629,630,562202.6,2827,13759244,2186646.6,CUDA_API,cuMemAlloc_v2
0.1,286963533,54288,5285.9,2911,29746,2537.5,CUDA_API,cuMemcpyDtoHAsync_v2
0.1,278214258,34866,7979.5,3162,68039,3073.4,CUDA_API,cuMemcpyHtoDAsync_v2
0.1,249887360,10818,23099.2,21951,33535,924.0,CUDA_KERNEL,interp
0.1,218691370,54324,4025.7,1727,25024,1862.2,MEMORY_OPER,[CUDA memcpy DtoH]
0.1,174090292,1206,144353.5,129024,177632,7888.8,CUDA_KERNEL,kernel_special
0.0,144479473,9616,15024.9,10559,59343,3224.0,CUDA_API,cuMemsetD32Async
0.0,61703587,198,311634.3,3957,6057827,1091186.7,CUDA_API,cuMemAllocHost_v2
0.0,55743143,10872,5127.2,1568,48224,3762.2,MEMORY_OPER,[CUDA memset]
0.0,52620129,10818,4864.1,3839,46976,1711.1,CUDA_KERNEL,particle_map
0.0,17858783,1256,14218.8,4630,31076,2991.6,CUDA_API,cuMemsetD8Async
0.0,13934391,90,154826.6,79604,206194,35894.5,CUDA_API,cuModuleLoadDataEx
0.0,13823082,36,383974.5,63472,759542,188498.7,CUDA_API,cuMemGetInfo_v2
0.0,6320405,1206,5240.8,4640,15040,599.8,CUDA_KERNEL,transpose
0.0,6080710,396,15355.3,2134,298678,39217.4,CUDA_API,cuStreamSynchronize
0.0,1708456,36,47457.1,31005,129755,21232.6,CUDA_API,cuMemcpyDtoH_v2
0.0,769353,198,3885.6,2848,5792,500.4,CUDA_KERNEL,kernel_zero
0.0,764271,756,1010.9,415,10316,968.0,CUDA_API,cuEventCreate
0.0,468698,756,620.0,297,9172,846.0,CUDA_API,cuEventDestroy_v2
0.0,136383,36,3788.4,3296,4160,227.1,CUDA_KERNEL,kernel_info
0.0,102493,18,5694.1,5288,6189,316.7,CUDA_API,cuInit

